A;B
The city's annual arts festival is seeking artists and performers...;Apply by next month to secure a spot.
Public safety notice: Please remember to lock your vehicles and...;Public Safety Notice: Theft from Cars in Area
Calling all musicians! The community orchestra is holding auditions next...;Calling all musicians!
Does anyone in the neighborhood offer piano lessons? My daughter...;Does anyone offer piano lessons?
We are excited to announce the opening of the new...;Opening of the new bike lanes on 3rd Avenue
Lost and Found: A pair of glasses was found in...;A Pair of Glasses Found in the Public Library
The Environmental Committee is hosting a workshop on sustainable living...;Learn how to reduce your carbon footprint
Join us for the grand unveiling of the new mural...;Join Us for the Grand Unveiling of the New Mural
PSA: A reminder to all residents that the disposal of...;PSA: Reminder to Dispose Electronics Properly
A heartfelt thank you to all who participated in last...;Your efforts have made a significant difference in the appearance...
The Historical Society is offering guided tours of the old...;The Historical Society is offering guided tours of the old...
Public Notice: The annual water quality report is now available...;The annual water quality report is now available online.
Looking to start a regular game night focusing on strategy...;Looking to Start a Regular Game Night
I'm organizing a series of cooking demos featuring local chefs...;I'm organizing a series of cooking demos featuring local chefs...
I've noticed a lot of litter around the community park...;I've noticed a lot of litter around the community park...
Urgent: Our local animal shelter is at capacity. If you've...;Urgent: Animal Shelter at Capacity
The city park department is looking for volunteers to help...;The City Park Department Needs Your Help
Lost: A small drone in the Riverside Park area, last...;Lost: A small drone in the Riverside Park area, last...
The local jazz band will be performing live at the...;The local jazz band will be performing live at the...
We're thrilled to announce the launch of a new local...;We're thrilled to announce the launch of a new local...
Public Health Notice: A free vaccination clinic for influenza will...;FREE Vaccination Clinic for Influenza
Found a set of keys near the fountain downtown. They...;Found a set of keys near the fountain downtown
I’m launching a neighborhood composting program to reduce waste and...;Iâ€™m Launching a Neighborhood Composting Program
"The annual ""Books on the Boulevard"" event is coming up....";"The annual ""Books on the Boulevard"" event is coming up."
Attention all tech enthusiasts: We're starting a coding bootcamp for...;Coding Bootcamp for Beginners Next Month
The community center's annual bake sale to support local homeless...;The Community Center's Annual Bake Sale This Saturday
Lost: Prescription glasses in a black case, possibly left on...;Lost Prescription Glasses in Black Case
I’m organizing a winter clothing drive for the homeless shelter...;Iâ€™m Organizing a Winter Clothing Drive for the Homeless Shelter
Is anyone interested in a weekly game night? I was...;Is Anyone Interested In A Weekly Game Night
I’m offering lawn mowing services this summer. I have my...;I'm offering lawn mowing services this summer.
The local art club is holding an outdoor painting session...;The Local Art Club is Holding an Outdoor Painting Session
The neighborhood council is hosting a forum to discuss upcoming...;Join us at the community hall next Tuesday at 6...
The local university extension is offering a series of lectures...;The Local University Extension Offers Free Lectures on Environmental Conservation
The local symphony orchestra will be giving a free concert...;Free Concert in the Park This Sunday at 5 PM
Volunteers needed for our annual river regatta next month. We...;Volunteers Needed for Our Annual River Regatta
Reminder: The community center will be closed this Monday for...;The Community Center Will Be Closed This Monday
A local bakery is celebrating its 5th anniversary with free...;FREE Cupcakes for Everyone!
Attention gardeners! The annual flower show is happening next weekend...;Attention gardeners! The annual flower show is happening next weekend...
Free yoga classes are being offered at the park every...;Free yoga classes at the park every Sunday morning this...
This Saturday, a vintage car parade will be held on...;This Saturday, Vintage Car Parade
Lost: a small, white and grey kitten near Elm Street....;LOST: Small, White and Grey Kitten Near Elm Street
This month, the local theater group is putting on performances...;The Great Gatsby Performances
A job fair will be hosted at the convention center...;A job fair will be hosted at the convention center...
The annual charity run will take place this Sunday at...;The Annual Charity Run
Book lovers! The library is hosting an author talk next...;Meet Bestselling Author
A reminder to all residents that street cleaning will occur...;Street Cleaning This Week - Move Your Vehicles
Upcoming workshop on personal finance management offered by our local...;Learn How to Budget, Save, and Invest Wisely
The local high school's music department will be giving a...;Free Concert This Friday Evening
For any local artisans, there's a craft fair this Sunday...;Craft Fair This Sunday
Neighborhood watch meeting scheduled for next Tuesday at the town...;Neighborhood Watch Meeting Scheduled for Next Tuesday
New Italian restaurant 'Bella Cucina' is having its grand opening...;Bella Cucina's Grand Opening Next Week!
Lost: A gold wristwatch near the fitness center. It holds...;A Gold Wristwatch Lost Near the Fitness Center
For sports enthusiasts, a ping pong tournament will be held...;For Sports Enthusiasts, Ping Pong Tournament at Recreation Center
Coffee and cake meetup at the senior center this Thursday....;Coffee and Cake Meetup This Thursday
Dog owners! There will be a pet adoption day next...;Dog owners, consider adding a furry friend to your family.
Wellness weekend coming up at the spa resort. Special rates...;Wellness Weekend Coming Up
Reminder: Please collect your post from the mail room regularly....;Reminder: Please Collect Your Post
Jazz night at the Blue Moon Café this Saturday from...;Jazz Night at the Blue Moon CafÃ©
Notice of road closure: Maple Street will be repaved next...;MAPLE STREET ROAD CLOSURE
History buffs! Join us for a guided tour of the...;Join Us for a Guided Tour of the Old Fortress
Call for volunteers at the food bank this Friday. Help...;Call for volunteers at the food bank this Friday
Lost: An e-reader device at the town beach. It has...;Lost E-reader Device at Town Beach
Kids' movie night at the public library this Friday. Showing...;The Jungle Book
Upcoming home improvement workshop at the local hardware store. Learn...;Upcoming Home Improvement Workshop
Annual winter carnival announced! Mark your calendars for a fun-filled...;Annual Winter Carnival Announced!
The neighborhood watch group is seeking new members. If you're...;Neighborhood Watch Group Seeking New Members
I’m offering lawn mowing services this summer. I have my...;I'm Offering Lawn Mowing Services This Summer
Urgent: Our local animal shelter is at capacity. If you've...;Urgent: Adoption fees waived this month
"The annual ""Books for Kids"" drive is happening now. We're...";"The annual ""Books for Kids"" drive is happening now."
Lost: a small, black leather wallet near the high school...;Lost: Small, Black Leather Wallet
Attention gardeners! This weekend, the community center will host a...;This Weekend's Plant Swap Event
Are you looking to refresh your wardrobe without breaking the...;Are you looking to refresh your wardrobe without breaking the...
Needing a babysitter? Several local teens have completed the certified...;Needing a Babysitter? Local Teens Available
The local library invites children ages 4-8 to join the...;Saturday Morning Story Hour
The city council will hold a public hearing on the...;Public Hearing on New Park Proposal Next Wednesday
Fresh produce alert: The farmers' market will be open this...;Fresh Produce Alert
Calling all musicians! There's an open mic night every Friday...;Calling All Musicians!
Reminder: Daylight saving time ends this weekend. Don't forget to...;Don't Forget to Turn Your Clocks Back
Yoga in the park is back! Free sessions every Sunday...;Yoga in the park is back!
Town hall meeting alert: A discussion on public transportation improvements...;Town Hall Meeting Alert
Driveway sale happening in Greenwood Lane this Saturday. Great bargains...;Driveway Sale This Saturday
Found: A small cat with a blue collar near Maple...;Found: A Small Cat with a Blue Collar near Maple...
The community theater group announces auditions for 'The Sound of...;The community theater group announces auditions for 'The Sound of...
Cleaning out your attic? Consider donating unwanted items to the...;Consider Donating Unwanted Items to the Annual Community Garage Sale
Book club meeting notice: This month's read is 'The Great...;This Month's Read Is 'The Great Gatsby'
For rent: One-bedroom apartment overlooking the community park. Perfect for...;One-Bedroom Apartment Overlooking the Community Park
Volunteers needed! The annual river clean-up project is next month....;Volunteers Needed!
Reminder: Pet registration renewal is due at the end of...;Pet Registration Renewal Due
Piano lessons offered by experienced teacher in the area. Suitable...;Piano Lessons Offered in the Area
The sports complex is offering summer memberships at a discount....;Summer Memberships at a Discount
The high school marching band will perform at the city...;The High School Marching Band
Garage band competition at the community fair next month. Sign...;GARAGE BAND COMPETITION AT THE COMMUNITY FAIR
Road closure notice: Main Street will be partially closed for...;Road Closure Notice
Job alert: Local cafe is hiring part-time baristas. Great work...;Job Alert: Local Cafe Hiring Part-Time Baristas
Free art workshop at the community arts center this Sunday....;Free Art Workshop at the Community Arts Center
Reminder: The annual pet vaccination drive is happening this Saturday...;Protect Your Pets and Keep Them Healthy!
I'm offering guitar lessons in the evenings and weekends. Whether...;Guitar Lessons Available
The community center is offering free CPR and first aid...;FREE CPR and First Aid Training
Our community garden plots are now available for the coming...;Our community garden plots are now available for the coming...
If anyone is interested in a weekly knitting and crochet...;If anyone is interested in a weekly knitting and crochet...
