A;B
Don't miss our annual summer sale on July 21st from...;Don't Miss Our Annual Summer Sale
The book club will meet this Wednesday at 7:30 PM...;The book club will meet this Wednesday at 7:30 PM...
Get ready for a night of stargazing with our astronomy...;Get Ready for a Night of Stargazing
Our weekly farmers' market is open every Thursday from 3:30-6:30...;Our weekly farmers' market is open every Thursday from 3:30-6:30...
Join us for a free movie night on June 29th...;Join Us for a Free Movie Night
"The local animal shelter is hosting a ""Furry Friends"" adoption...";Furry Friends Adoption Event This Weekend!
Get ready to groove at the upcoming dance competition on...;Get Ready to Groove at the Upcoming Dance Competition
The town's annual Earth Day celebration is just around the...;The town's annual Earth Day celebration is just around the...
Calling all bookworms! Our library is hosting an author reading...;Author Reading Series
The community center is offering free yoga classes every Saturday...;Free Yoga Classes Every Saturday Morning
I'm organizing a charity walk/run for next Saturday morning to...;I'm Organizing a Charity Walk/Run for Local Animal Shelters
My friend is offering free yoga classes at the community...;FREE Yoga Classes Every Wednesday
The neighborhood pool is hosting an adult swim night this...;Adult Swim Night This Friday
I'm collecting canned goods for the local food bank. If...;I'm Collecting Canned Goods for the Local Food Bank
The school is seeking volunteers to help with their annual...;Annual Spring Fair on April 15th
Join us for a free yoga class this Saturday at...;Join us for a free yoga class this Saturday
Get ready to rock out with our local music group...;Get Ready to Rock Out
Calling all bookworms! Our summer reading program is now open...;Earn Rewards and Prizes by Meeting Your Reading Goals
Don't miss our free movie screening this Wednesday at 6...;Don't Miss Our Free Movie Screening This Wednesday!
Learn how to knit with us on Tuesday nights from...;Learn How to Knit with Us
Join the library's book club for a discussion of [insert...;Join the library's book club next Thursday at 2 PM!
Take your photography skills to the next level with our...;Take Your Photography Skills to the Next Level
Public Museum hosting a lecture on 'Ancient Civilizations' this Friday...;Ancient Civilizations
Free Yoga Classes at the park every Saturday morning starting...;Free Yoga Classes at the park every Saturday morning
Looking for someone to practice conversational Spanish with? Post an...;Looking for someone to practice conversational Spanish with?
Local Art Gallery hosting a painting class this Sunday from...;Local Art Gallery hosting a painting class
Free Language Exchange at the coffee shop every Wednesday evening...;Free Language Exchange every Wednesday evening
Community Garden offering free gardening workshops for beginners on the...;FREE Gardening Workshops for Beginners
The school's book club is meeting next Wednesday to discuss...;The school's book club is meeting next Wednesday to discuss...
Attention all artists and crafty folks! Our art show is...;Attention all artists and crafty folks!
The school's soccer team is hosting a car wash fundraiser...;The School's Soccer Team Hosting Car Wash Fundraiser
Calling all music lovers! Our school choir will be performing...;Auditions for Talent Show
Join us for a free yoga class this Sunday at...;Join us for a free yoga class this Sunday at
The local animal shelter is hosting an adoption fair this...;This Saturday from 11 AM-3 PM - Come meet some...
Learn how to cook international cuisine with our new cooking...;Cook International Cuisine Starting Next Wednesday
