Posts;Subject Line A;Subject Line B;Subject Line C
Join us for a free yoga class on Saturday morning at 9am! All levels welcome.;Yoga class on Saturday morning;Join us for a free yoga class on Saturday morning...;Join us for a free yoga class on Saturday morning
The local library is hosting an author reading series this month. Don't miss out!;Don't Miss Out! Author Reading Series This Month;The local library is hosting an author reading series this...;Don't Miss Out!
We're looking for volunteers to help with the annual charity walk/run on June 22nd. Contact us if you can participate or donate.;Join the Charity Walk/Run;We're looking for volunteers to help with the annual charity...;We're Looking for Volunteers
Get ready for a summer of fun at our community pool! Opening day is May 25th, and we'll have special events throughout the season.;Fun at our community pool;Get ready for a summer of fun at our community...;Get Ready for Summer Fun at Our Community Pool
The neighborhood book club meets every third Thursday to discuss new releases. Join us this month!;Book club meets every;The neighborhood book club meets every third Thursday to discuss...;Join Us This Month
We're hosting a free movie night in the park on July 12th. Bring your favorite snacks and enjoy some outdoor cinema!;Outdoor Cinema in the Park;We're hosting a free movie night in the park on...;FREE Movie Night in the Park
Our local farmers market is open every Saturday from May to October, featuring fresh produce and handmade goods.;Fresh produce and handmade goods;Our local farmers market is open every Saturday from May...;Every Saturday from May to October, featuring fresh produce
The school's robotics team is hosting a hackathon this Saturday from 9 AM-3 PM in room C204. Join us for some coding fun and prizes! #robotics #hackathon;Robotics team hackathon;The school's robotics team is hosting a hackathon this Saturday...;Join us for the school's robotics hackathon this Saturday
Our local animal shelter is seeking donations of pet food, toys, and blankets. Drop off your contributions at the main office by Friday to support our furry friends.;Support Our Furry Friends;Our local animal shelter is seeking donations of pet food,...;Our Local Animal Shelter Seeks Donations
The school's art club will be hosting a pottery night this Thursday from 6-8 PM in room A101. Join us for some creative fun and take home your masterpiece! #artclub;Art club pottery night;The school's art club will be hosting a pottery night...;Join us for pottery night this Thursday
"Our monthly book club meeting is scheduled for next Wednesday at the library from 7:30-9 PM. We'll be discussing ""The Great Gatsby"" by F. Scott Fitzgerald.";Wednesday at the Library;Our monthly book club meeting is scheduled for next Wednesday...;The Great Gatsby by F. Scott Fitzgerald.
The school's soccer team will be hosting a charity game this Saturday at 2 PM on the field. Come out and support our athletes while helping raise funds;This Saturday at 2 PM on the field;The school's soccer team will be hosting a charity game...;The school's soccer team will be hosting a charity game...
Join us for a free yoga class on the town square this Friday at 6 PM! All levels welcome, and we'll provide mats and blocks.;Yoga Class this Friday;Join us for a free yoga class on the town...;Free Yoga Class on the Town Square this Friday at...
The local farmers market is looking for volunteers to help set up and manage their weekly events. Contact them if you're interested in getting involved!;Local Farmers Market Seeking Volunteers;The local farmers market is looking for volunteers to help...;The local farmers market is looking for volunteers to help...
Our community center is hosting a movie night featuring classic films from the 80s this Saturday at 7 PM. Bring your favorite snacks and enjoy some nostalgic fun!;Classic Films this Saturday;Our community center is hosting a movie night featuring classic...;Classic Films from the 80s
The town's annual charity walk/run will take place on April 15th, starting at 9 AM. Register now to support local causes and get fit with friends!;Support Local Causes with the Annual Charity Walk/Run;The town's annual charity walk/run will take place on April...;Annual Charity Walk/Run on April 15th
Learn how to cook a new cuisine with our cooking class series! This month we're exploring the flavors of India. Sign up for one or all three classes.;Explore the flavors of India;Learn how to cook a new cuisine with our cooking...;Cooking Class Series: Explore the Flavors of India
The local gardening club is hosting a workshop on composting this Saturday from 9-11 AM at the community center. All skill levels welcome! Bring your own materials and questions.;Composting Workshop This Saturday;The local gardening club is hosting a workshop on composting...;Composting Workshop This Saturday
Join us for a free yoga class every Wednesday evening from 6:30-7:30 PM at the town park. No experience necessary, just bring yourself and a mat.;Free yoga class at the town park;Join us for a free yoga class every Wednesday evening...;Yoga Class Every Wednesday Evening
The annual charity walk/run is scheduled for next Saturday starting at 8 AM in front of City Hall. Register by this Friday to participate or donate to support our local non-profit organizations.;Annual Charity Walk/Run;The annual charity walk/run is scheduled for next Saturday starting...;ANNUAL CHARITY WALK/RUN SCHEDULED FOR NEXT SATURDAY
Learn how to cook international cuisine with Chef Maria's cooking class every Thursday from 6-7:30 PM at the community center. Cost $10 per session, all skill levels welcome!;International cuisine cooking class;Learn how to cook international cuisine with Chef Maria's cooking...;Cook International Cuisine with Chef Maria's Class
The town library is hosting a book club meeting this Wednesday evening at 7 PM to discuss our latest selection. All are welcome to join and share their thoughts.;Book club tonight;The town library is hosting a book club meeting this...;This Wednesday evening at 7 PM
Join us for a night of stargazing at the observatory next Friday! Learn about constellations and get tips on how to spot celestial bodies in our galaxy.;Night of stargazing at the observatory;Join us for a night of stargazing at the observatory...;Join us for a night of stargazing at the observatory...
"Get ready to groove with our free dance class for adults this Thursday evening! No experience necessary â€"" just bring your favorite moves and a friend or two!";Get ready to groove with our free dance class;Get ready to groove with our free dance class for...;Get Ready to Groove
