Subject Line A;Subject Line B
Neighborhood Watch Update: Keep an eye out for suspicious activities...;Keep an eye out for suspicious activities
Free Painting Lessons: Offered by the community center every Wednesday....; Every Wednesday
Carpool Opportunity: Anyone interested in carpooling from Pine Street to...; Share costs and reduce commute stress
Lost: Green scarf with a floral pattern, sentimental value. Lost...; If found, please contact
Piano Recital: Join us at the local church next Thursday...; Join us for a piano recital
Tree Planting Day: Help beautify our neighborhood this coming Sunday....; Help Beautify Neighborhood
Lost: A small drone with a camera attachment was last...; Drone with camera attachment missing
Volunteers needed! The community garden is looking for extra hands...; All ages welcome
Reminder: The quarterly homeowner's association meeting will be held next...; Quarterly Meeting Scheduled
Does anyone have a ladder I can borrow for a...; I need to clean out my gutters
Found: A set of keys near the playground. They have...; Keys Found near Playground
The local school is collecting gently used books for their...; School Book Drive
Can anyone recommend a good electrician? My porch lights need...; Urgent repairs
For sale: A barely-used mountain bike, suitable for teens or...; For Sale: Suitable for Teens or Adults
The neighborhood watch alerts you to a recent increase in...;Increase in Car Break-ins
Pet adoption day this Saturday at the animal shelter! Come...; Find your new best friend this Saturday
The local jazz club is featuring a new band this...;New band this Friday night
Annual charity run benefitting the children's hospital is coming up....; Sign up to participate or volunteer
Garage sale! This Sunday from 8 AM to 12 PM...;Garage Sale! This Sunday
Lost: A silver wristwatch near the tennis courts. It has...; Silver Wristwatch Found
I'm offering a reward for anyone who can help find...; Reward for lost drone
The town council is seeking input on the new park...; Share Your Thoughts
Reminder: Next week's waste collection will be on Wednesday, not...;Reminder
Found Cat: An orange tabby with no collar was found...;Found Cat
Local art exhibition this weekend at the community center. Come...; Support Our Talented Artists
For rent: A two-bedroom apartment with a lovely view of...;For Rent: A Two-Bedroom Apartment with a Lovely View
Yoga classes starting next month at the park. Experienced instructors,...;Experienced instructors
The library is extending its hours for finals week. Students...; Extended Library Hours
Neighborhood BBQ this Saturday! Bring your favorite dish and join...; Join us for a potluck dinner
Lost dog: A black Labrador, last seen near the grocery...; Call if you see him
Safety tip: With the recent storms, ensure that all outdoor...; Avoid potential damages and injuries
Just a heads up, the water department will be conducting...; Water pressure may be low
Traveling book club meets next Monday. This month's book is...;Traveling book club meets next Monday
Hiking group! Interested in exploring local trails with fellow outdoor...; Explore Trails with Fellow Enthusiasts
Found bicycle near the community hall. It's a children's bike,...; Please claim found children's bike near community hall
Health awareness workshop on managing stress, hosted by the wellness...;Health Awareness Workshop
Artisans market! Local craftspeople will be selling homemade goods this...; Local Craftspeople
Traffic note: Roadworks on Main St. starting next week. Expect...;Roadworks on Main St. starting next week. Expect detours and...
Community cooking class: Learn how to make Italian dishes from...;The local animal shelter is seeking donations of pet food,...
The local animal shelter is seeking donations of pet food,...;The Local Animal Shelter Seeks Donations
Reminder for all gardening enthusiasts! Join our monthly gardening club...;Join Our Monthly Gardening Club This Saturday
Community Potluck! Bring your favorite dish and join us at...;Bring your favorite dish and join us at the park...
We're excited to announce the grand opening of the new...;GRAND OPENING OF THE NEW COMMUNITY CENTER
Fitness Challenge: We are starting a community fitness challenge next...;Fitness Challenge
Opportunity to Volunteer! Local food bank needs volunteers this weekend....;Opportunity to Volunteer! Local food bank needs volunteers this weekend.
Book Club Alert: Our neighborhood book club is reading 'The...;Book Club Alert: Our neighborhood book club is reading 'The...
Jazz Nights are back at the local cafe! Come enjoy...;Jazz Nights are back at the local cafe!
Lost Dog: A golden retriever named Buddy has gone missing...;Lost Dog: Golden Retriever Buddy Missing
Tech Workshop: Learn the basics of computer programming at our...;Learn the basics of computer programming at our free workshop...
Yard Sale this Saturday! Multiple houses participating on Maple Street....;Yard Sale this Saturday!
Photography Club: Join us for a photography walk next Sunday....;Capture the beauty of our community
Cycling Group: Interested in joining a weekend cycling group? Meet...;Cycling Group: Meet Us At The Community Center This Saturday...
Neighborhood Watch Meeting: Keep our community safe by joining the...;Neighborhood Watch Meeting
I'm on the lookout for a Tai Chi class close...;I'm on the lookout for Tai Chi class
Reminder: The annual pet vaccination drive is happening this Saturday...;Protect Your Pets and Keep Them Healthy
Karaoke Night at the local bar this Thursday! Show off...;Karaoke Night at the local bar this Thursday!
Reminder: School registration is open. Please register your children for...;School Registration Open
DIY Workshop: Learn how to create your own home decorations...;Create Your Own Home Decorations
Road Closure Alert: Main Street will be closed this weekend...;Road Closure Alert
Puppet Show for Kids: Bring your kids to the community...;Bring your kids to the community theater this weekend for...
Historical Society Lecture: Join us for a lecture on the...;Join us for a lecture on the history of our...
Fitness Bootcamp: Get in shape with our morning fitness boot...;Get in shape with our morning fitness boot camp at...
Garden Exchange: Swap plants and gardening tips with fellow garden...;Garden Exchange: Swap plants and gardening tips
Volunteer at the Senior Center: Spend time with our senior...;Spend Time with Senior Citizens
Art Exhibition: Local artists will be showcasing their work at...;Local Artists Showcase Work
Lost: a small, black leather wallet near the high school...;Lost: Small, Black Leather Wallet
Cleanup Day: Join us for a community cleanup day next...;Join us for a community cleanup day next month.
Comedy Night: Enjoy a night of laughs at the comedy...;Enjoy a night of laughs at the comedy club this...
Health Fair: Free health screenings and wellness tips available at...;Free Health Screenings and Wellness Tips Available
Lost Phone: A recent model smartphone was found near the...;Lost Phone: Recent Model Smartphone Found
Seasonal Flu Shots: Get your flu shot at the local...;Get Your Flu Shot This Weekend
Bake Sale: Support our high school band by buying some...;Bake Sale
Tree Planting: Help green our neighborhood by joining the tree...;Tree Planting: Help green our neighborhood by joining the tree...
A wallet was found near the outdoor gym in Central...;Wallet Found Near Central Park Outdoor Gym
Lost cat: My grey tabby, Misty, has been missing since...;LOST CAT: Grey Tabby Missing
The annual food drive for the local pantry starts next...;The annual food drive for the local pantry starts next...
The local fire department will be offering a free course...;FREE Home Fire Safety Course this Weekend
Lost: A small black notebook containing important research notes, last...;Lost: A Small Black Notebook
Our community garden has a few plots available for the...;Our community garden has a few plots available for the...
Found: Set of keys in Lincoln Park. Includes a keychain...;Found: Set of keys in Lincoln Park
For sale: Children's bicycles in good condition. Available in sizes...;For Sale: Children's Bicycles
Hunting Season Reminder: Please be aware of increased hunting activity...;Hunting Season Reminder
Community Yoga Meetup: Join us every Saturday at 10 AM...;Join us every Saturday at 10 AM
Garage Sale: Multiple families on Maple Street are coming together...;Multiple Families Garage Sale this Saturday and Sunday
Missing: Blue parakeet named 'Sky'. Last seen around North Plaza....;Blue Parakeet Named 'Sky' Missing
Babysitter Needed: Seeking a reliable babysitter for Tuesday and Thursday...;Babysitter Needed
Neighborhood Watch Update: Keep an eye out for suspicious activities...;Keep an eye out for suspicious activities and report any...
Attention, gardeners! The community garden is now accepting applications for...;Attention, gardeners! The community garden is now accepting applications for...
Free Painting Lessons: Offered by the community center every Wednesday....;Free Painting Lessons
Carpool Opportunity: Anyone interested in carpooling from Pine Street to...;Carpool Opportunity: Reduce Commute Stress
Lost: Green scarf with a floral pattern, sentimental value. Lost...;Lost: Green scarf with a floral pattern, sentimental value.
Piano Recital: Join us at the local church next Thursday...;Join us at the local church next Thursday evening for...
Tree Planting Day: Help beautify our neighborhood this coming Sunday....;Tree Planting Day: Help beautify our neighborhood this coming Sunday
Notice: Road closure next Friday on Elm Street from 8...;Road Closure Next Friday on Elm Street
Volunteer Call: Assistance needed at the senior center for weekly...;Bring Joy to Our Elders
For Rent: One-bedroom apartment on Birch Street. Great condition, close...;One-Bedroom Apartment for Rent on Birch Street
Lost Dog: Black Labrador, named Rocky. Last seen in the...;LOST DOG: Black Labrador, named Rocky
Pool Opening: The community pool will open next month. Season...;Pool Opening
We've noticed an increase in graffiti and vandalism at the...;Increase in Graffiti and Vandalism at Local Park
Lost Drone: A white drone lost during a test flight...;Lost Drone
