Subject Line A;Subject Line B
Join us for a FREE outdoor concert this Friday at...;FREE outdoor concert this Friday
Get ready to sweat with our new fitness class starting...;Get Ready to Sweat with Our New Fitness Class!
Calling all bookworms! Our town's library is hosting an author...;Author reading series every Thursday evening
It's time to get creative! Join our art workshop this...;Learn new techniques from local artists
Don't miss out on our annual farmers' market, happening every...;Don't miss out on our annual farmers' market
Calling all history buffs! Our town museum is hosting a...;Mark your calendars for an afternoon of learning
Join us for a FREE outdoor movie night this Friday...;Bring Your Blankets
The local animal shelter is hosting a pet adoption fair...;Pet Adoption Fair This Saturday
Our favorite yoga instructor, Sarah, will be offering free classes...;Join Free Yoga Classes
The school's robotics team is hosting a fundraiser car wash...;Support the Robotics Team
Our local bookstore will be offering a free book club...;Free Book Club Meeting
The community garden is hosting an open house this Saturday...;Community garden open house this Saturday
Bookworms! Join us for a book club meeting at the...;Join us for a book club meeting at the library
Get ready to groove with us at the town's annual...;Annual summer concert
Calling all gardeners! Our community garden is looking for volunteers...;Our Community Garden Needs Help
Attention shoppers! The local farmers market will be open every...;Farmers market every Saturday
Join the fun at our town's annual 4th of July...;Join the Fun
Are you an artist or crafty person? We're hosting a...;Create Unique Gifts
Attention cyclists! Our town is launching a new bike-share program...;Attention Cyclists
Looking for a new hobby? Join our local photography club...;Learn From Experienced Photographers
Need help with yard work this spring? Our community gardening...;Need help with yard work this spring? Our community gardening...
Get ready to groove! The annual summer concert series kicks...;Summer concert series
Are you an avid reader looking for new book recommendations?...;Join our library's book club this Thursday evening
Want to make a difference in your community? Our volunteer...;Want to make a difference in your community?
Calling all art lovers! The local art museum is hosting...;Exclusive exhibit previews
Join us for a free yoga class this Saturday at...;Join us for a free yoga class this Saturday at...
Calling all book lovers! Our monthly book club meets next...;New members welcome
Get ready for summer with a free swim lesson this...;Free Swim
Join us for a community clean-up day on June 15th...;Meet new friends along the way
Calling all artists! Our local art studio is offering free...;Free painting classes
Explore the world of pottery with our upcoming workshop at...;Create your own pottery masterpieces
Get ready for a night out on the town! Our...;Live music event this Friday
Calling all book lovers! Join us at the library's used...;Calling all book lovers
Take your fitness routine to new heights with our aerial...;Take your fitness routine to new heights
It's time to get creative! Our art studio is offering...;Painting Classes for Adults
Join us at the farmers market this Saturday to support...;Support Local Growers
"The local animal shelter is hosting a ""Paws and Relax""...";This Saturday at the Town Square
Join us for a free outdoor yoga class on the...;Free yoga every month
The community choir is holding auditions this week at the...;Sing with us
We're hosting a town-wide garage sale on May 15th. Register...;Register for Town-Wide Garage Sale
Join us for a free movie night under the stars...;Join us for a free movie night
The local library is hosting a book drive to benefit...;Benefit Our Town's Literacy Program
Join us for a free yoga class every Thursday morning,...;Free yoga class every Thursday morning
Our town's food bank needs donations of non-perishable items, such...;Our town needs food bank donations
The community garden is seeking volunteers to help with planting...;Seeking volunteers for community garden
The local museum is offering free admission for all residents...;Free Admission Opportunity
Our town's animal control department needs donations of pet supplies,...;Pet supplies needed for our town
Join us for a free movie night at the community...;Free Movie
Join us for a beach cleanup this Saturday and help...;Beach Cleanup this Saturday
The local food bank is in need of canned goods,...;Drop off your donations during business hours
Our community garden needs volunteers to help with planting, weeding,...;Every Saturday morning for gardening
The animal shelter is hosting an adoption fair next weekend...;Adoption Fair Next Weekend
Join us for a bike safety workshop this Sunday where...;Bike Safety Workshop
Free Knitting Circle: Join us at the library every Thursday...;Join us every Thursday evening
Free Zumba Class: Get moving and grooving with our high-energy...;Zumba Class Every Saturday
Free Book Club Meeting: Discuss your favorite books with fellow...;Free Book Club Meeting
Free Language Exchange: Practice speaking a new language or help...;Free Language Exchange
Free Birdwatching Walk: Join us for a leisurely walk around...;Free Birdwatching Walk: Join us for a leisurely walk around...
Free Cooking Class: Learn how to prepare healthy meals on...;Free Cooking Class
The town's annual Easter egg hunt is just around the...;The town's annual Easter egg hunt
"Get ready to rock out with our local band, ""Electric...";Electric Storm Performance
The town's library is hosting an author reading series featuring...;March 22nd at 7 PM
Don't miss out on our annual summer concert series, kicking...;The Groove Syndicate Performance
The town's animal shelter is in need of donations and...;The town needs donations and volunteers
Join us for the annual fireworks display at City Park...;Join us for fireworks display this July 4th
Join us this Friday at 10:00 AM for our free...;Free yoga class this Friday
Calling all book lovers! Our summer reading program is just...;Calling all book lovers
Did you know that we have a makerspace with 3D...;Did You Know That We Have A Makerspace With 3D...
We're excited to announce the arrival of new e-books on...;Check out what's new today
Join us for a free movie night next Wednesday at...;Join Us for a Free Movie Night
Are you looking for a great read? Our staff recommends...;'The Nightingale' - a great read
Want to learn a new language? Join our conversation club...;Practice your skills with fellow learners
The town's summer concert series is back! Enjoy live music...;Saturday Evening Concerts
Our community garden needs volunteers for a workday this Saturday...;This Saturday from 9 AM to 12 PM
Looking for a book club or discussion group? Join our...;Monthly Meetups Starting
The town's annual farmers' market is happening every Sunday from...;Every Sunday from May 1st to October 31st
Want to get creative? Our art class for adults meets...;Every Wednesday evening from 7 PM
Looking to declutter your garage? Consider donating unwanted tools and...;Support Local Youth Programs
My friend is raising money for her dance studio by...;Support a Local Dance Studio
The library is hosting a book sale next Saturday from...;All Proceeds to New Books and Programs
Need help with your yard work? Consider hiring one of...;Support Your School's Sports Teams
The animal shelter is in need of donations to support...;The animal shelter is in need of donations
