Subject Line A;Subject Line B
Don't miss our annual summer sale on July 21st from...;Summer sale at local boutique on July 21st
The book club will meet this Wednesday at 7:30 PM...;The Nightingale Book Club
Get ready for a night of stargazing with our astronomy...;Join us for a night of stargazing
Our weekly farmers' market is open every Thursday from 3:30-6:30...;Every Thursday from 3:30-6:30 PM
Join us for a free movie night on June 29th...;Join us for a free movie night
"The local animal shelter is hosting a ""Furry Friends"" adoption...";Learn about volunteering opportunities
Get ready to groove at the upcoming dance competition on...;Dance competition on March 21st
The town's annual Earth Day celebration is just around the...;Earth Day celebration is coming
Calling all bookworms! Our library is hosting an author reading...;Local writers sharing their latest works
The community center is offering free yoga classes every Saturday...;Yoga classes every Saturday
I'm organizing a charity walk/run for next Saturday morning to...;Charity Walk/Run
My friend is offering free yoga classes at the community...;Free Yoga Classes
The neighborhood pool is hosting an adult swim night this...;Join us for Adult Swim
I'm collecting canned goods for the local food bank. If...;Food Bank Donations
The school is seeking volunteers to help with their annual...;Help Us Make Our Spring Fair a Success
Join us for a free yoga class this Saturday at...;Free Yoga Class This Saturday
Get ready to rock out with our local music group...;Live music at the library
Calling all bookworms! Our summer reading program is now open...;Bookworms unite
Don't miss our free movie screening this Wednesday at 6...;Don't miss our free movie screening this Wednesday at 6...
Learn how to knit with us on Tuesday nights from...;Tuesday nights for knitting
Join the library's book club for a discussion of [insert...;Join the library's book club
Take your photography skills to the next level with our...;Reserve your spot
Public Museum hosting a lecture on 'Ancient Civilizations' this Friday...;Ancient Civilizations this Friday
Free Yoga Classes at the park every Saturday morning starting...;Free Yoga Classes
Looking for someone to practice conversational Spanish with? Post an...;Find Someone to Practice
Local Art Gallery hosting a painting class this Sunday from...;Painting class this weekend
Free Language Exchange at the coffee shop every Wednesday evening...;Meet new people
Community Garden offering free gardening workshops for beginners on the...;Free Gardening Workshops for Beginners
The school's book club is meeting next Wednesday to discuss...;Book club meeting at 3:15 PM
Attention all artists and crafty folks! Our art show is...;Submit your art
The school's soccer team is hosting a car wash fundraiser...;Support Our Athletes
Calling all music lovers! Our school choir will be performing...;Don't miss your chance to shine
Join us for a free yoga class this Sunday at...;Yoga Class this Sunday
The local animal shelter is hosting an adoption fair this...;Come Meet Some Furry Friends
Learn how to cook international cuisine with our new cooking...;Cooking international cuisine with new class series
The city's environmental committee is hosting a clean-up event this...;This Saturday from 9 AM-12 PM
Join us for a free meditation session this Thursday at...;Meditation session at the library
Join us for a free outdoor movie night on Friday...;Join us for a free outdoor movie
Calling all book lovers! Our library is hosting an author...;Author reading series
Get ready to groove with us at our annual summer...;Summer Concert on Saturday
The community garden is hosting a workshop on organic gardening...;Grow Your Own Herbs
Join us for our annual holiday market next Saturday at...;Join us for our annual holiday market
Calling all cyclists! Our bike club is hosting a group...;All levels welcome
The local library is hosting a book club for adults...;Read and discuss with fellow book lovers
Our community garden is looking for volunteers to help with...;Community Garden Needs Your Help
The annual charity walk/run will take place on September 22nd....;Support a Great Cause
The city's art museum is featuring an exhibit of local...;The city's art museum exhibits local artists' work
Our school district is seeking donations of gently used backpacks,...;Donations of gently used backpacks and supplies needed
Join us for a book club meeting on Thursday at...;Join us for a book club meeting
Get ready for a fun night out with friends! The...;Friday Night Comedy
Calling all gardeners! Join our community gardening group on Saturday...;Share Tips, Swap Seeds
Are you a music lover? Come jam with us this...;Come sing-along this Sunday
Join our photography club for a sunset hike on Wednesday...;Enjoy the views!
Join us for a free yoga class on the town...;Free yoga this Saturday
Calling all bookworms! Our summer reading program is now open...;Earn Rewards and Prizes
Get ready to groove at our annual music festival next...;Featuring local bands and DJs
Attention gardeners! Join us for a workshop on organic gardening...;Grow Your Own Herbs and Veggies
Calling all art lovers! Our town's first-ever mural painting event...;Art lovers unite this Sunday!
Take a break from the hustle and bustle with our...;Take a break from the hustle and bustle
Join us for a fun night of trivia at the...;Join us for a fun night of trivia at the...
The community garden is looking for volunteers to help with...;Sign Up for Community Garden Work
Join us for a free yoga class every Saturday morning...;Yoga class every Saturday morning
"Our book club will be discussing ""The Nightingale"" by Kristin...";Book Club Meeting
The local animal shelter is hosting a pet adoption fair...;The local animal shelter is hosting a pet adoption fair...
I'm offering free tax preparation services to low-income individuals this...;Offer of Free Tax Services
Join us for our monthly art class every Wednesday from...;Every Wednesday from 7-9 PM
Join us for a free yoga class on Saturday mornings...;Saturday Morning Yoga
The local animal shelter is hosting an adoption fair this...;Adoption Fair This Weekend
Get creative with our adult coloring book club every Thursday...;Adult coloring book club meets every Thursday
Don't miss out on our annual summer concert series, featuring...;Don't Miss Out on Our Annual
Calling all bookworms - join us for a literary discussion...;Calling all bookworms
Join our beginner's photography class every Monday evening from 7-9...;Learn how to capture stunning shots
The local food bank is in need of donations -...;Donate today
Join us for a free yoga class on Wednesday evenings...;Yoga class on Wednesday evenings
The local library is hosting an author reading series this...;Bestsellers and Debut Authors Featured
Calling all bookworms! Our town's annual book sale is just...;Bookworms, mark your calendars
Get ready to groove with our community band at their...;Free Admission
The local animal shelter needs volunteers to help care for...;The local animal shelter needs volunteers
Join the fun and get creative at our town's art...;Join the fun and get creative at our town's art...
Attention all foodies! Our annual Taste of Town event is...;June 1st event
The local park is hosting a free outdoor concert series...;Free concert series
Iâ€™m organizing a volunteer day at the animal shelter for...;Join Us for a Day of Helping Our Furry Friends
The community center is offering a free yoga class series...;Free yoga classes every Wednesday
Our office is participating in the annual charity walk/run next...;Annual Charity Walk/Run
The school's art department is hosting an open house event...;Art Department Open House
Bookworms! Join us for a book club meeting this Wednesday...;Join us for a book club meeting
The local art museum is hosting an exhibit on impressionist...;Don't Miss Opening Night Reception
Calling all volunteers! Our community garden needs help with planting...;This Saturday starting at 9 AM
The town's annual charity golf tournament is scheduled for April...;Support a Great Cause
History buffs! Join us for a guided tour of our...;History Buffs Rejoice
Join us for a movie night at the town hall...;Movie Night at the Town Hall This Friday!
Calling all bookworms! Our library is hosting an author reading...;Local writers share their latest works
Get ready to groove at our town's annual music festival...;Enjoy live performances by local bands
Attention all gardeners! Our community garden is hosting a workshop...;Attention All Gardeners
Join us for a game night at the town hall...;Join us for a game night at the town hall...
Join us for a morning yoga session on Saturdays at...;Join us for yoga on Saturdays
Calling all bookworms! Our library is hosting an open house...;Book Signings
Get ready for a night of music and laughter at...;Tickets available now
Don't miss out on the annual summer festival happening this...;Don't miss out on the annual summer festival happening this...
Take your fitness to the next level with our new...;Every Wednesday at 6:30 PM
