Subject Line A;Subject Line B
The local library is hosting a book drive to benefit...;Drop off gently used books for all ages
Our town's annual SummerFest celebration will take place on July...;Mark your calendars
The community garden is seeking volunteers to help with spring...;The community garden needs volunteers
Join the local art league for a painting class this...;This Saturday from 1-3 PM at the town hall
The local gardening club is hosting a spring plant sale...;Expert Advice
Calling all bookworms! The library is hosting a used bookstore...;Literacy Programs
Free Yoga Session at Sunrise: Join us for a free...;Free yoga session at park entrance
Calling all bookworms! The library is hosting a used bookstore...;Support local literacy programs
Attention all gardeners! The city's community gardening program is looking...;Get involved in neighborhood gardening
Community Potluck: Join fellow neighbors for a potluck dinner at...;Join us for a potluck dinner
The annual town fair is just around the corner! This...;Mark your calendars for Saturday, April 15th
Calling all gardeners! The community garden is looking for new...;Expand Your Gardening Experience
For Sale: Gently used baby equipment (stroller, car seat, high...;For Sale: Gently used baby equipment
Attention all book lovers! The local library is hosting a...;Support literacy programs
Attention all book lovers! The library's annual book sale will...;Attention all book lovers
Community Alert: A neighborhood clean-up initiative is scheduled for this...;This Saturday from 9 AM - 12 PM
Calling all musicians! The local music school is hosting an...;Share Your Skills
"Local Business News: Our favorite coffee shop, ""The Daily Grind,""...";Buy-One-Get-One-Free
Reminder: The annual town fair is just around the corner!...;Fun Activities
The local food bank is hosting a drive to collect...;Let's Make a Difference
The local library is hosting a book club for adults,...;Join us every third Thursday of the month
Attention all gardeners! The city is hosting a free composting...;Nutrient-Rich Soil for Your Plants
Calling all book lovers! Our annual Book Sale will be...;Find new reads
Get ready to groove with us! The city's summer concert...;Local bands to play rock, jazz, country
Attention all artists! Our annual Art Show will be held...;Meet the Creators
Don't miss out on our free Yoga Day event next...;Don't miss out on our free Yoga Day event
Movie Night at the Park: Join us for a free...;Join Us for a Free Movie
The local farmers' market is looking for vendors to sell...;Join Our Community of Small Business Owners
The local library is hosting an author reading and book...;RSVP for Book Signing
Free Books: A collection of gently used books available for...;Free Books Available
Community Garden Plot Available: We have an open plot in...;Open Plot in Community Garden for Adoption
Lost Cat: A friendly cat named Whiskers has gone missing...;Lost Cat
Local Artisans Wanted: We're looking for local artisans who create...;Local Artisans Wanted
For sale: A gently used bicycle with a comfortable seat...;For Sale: A Gently Used Bicycle
The local library is hosting a book club meeting this...;All are welcome to join in on the discussion
The local library is hosting a book club for adults...;Science Fiction and Fantasy Book Club Meetings
We are seeking donations of gently used bicycles to support...;Tune-up for Donated Bikes
The city is organizing a neighborhood clean-up event this Saturday...;Register Online for Supplies
I'm looking for recommendations on local hiking trails suitable for...;Local hiking trails for families
Does anyone know of any upcoming concerts or music festivals...;Find out about new artists and events
The local farmers' market is looking for vendors to sell...;Join the community
Garage Sale Alert! This Saturday, come find some amazing deals...;Meet us at the corner of Main St. and Elm...
Community event: The annual SummerFest is coming up on July...;SummerFest: Live music, food trucks, and games
The town's annual holiday market is just around the corner!...;We're looking for volunteers
Attention all residents: The annual community clean-up event is scheduled...;Join Your Neighbors for the Annual Community Clean-up
The local library is hosting a book club discussion on...;Join Fellow Readers
Reminder: The annual town clean-up event is scheduled for next...;Keep our community beautiful
New Book Club starting soon! Join fellow book lovers every...;Discuss a new title with fellow book lovers
Community Garden plots available! If you're interested in growing your...;Reserve Your Community Garden Plot Today!
"Local Business Spotlight: Our very own ""The Daily Grind"" coffee...";One-Year Anniversary Celebration
Movie Night at the Community Center this Friday! Join us...;Movie Night at the Community Center this Friday!
Join us for a free yoga class at the park...;All levels welcome
Volunteer Opportunity: Help clean up our local beach on Sunday...;Clean up our local beach on Sunday
Book Club Meeting: Discuss the latest bestseller over coffee and...;Learn a new skill or hobby
Community Event: Join us for an evening of live music,...;Friday evening of live music
Language Exchange: Practice your language skills with native speakers while...;Language Exchange
The annual Holiday Market is just around the corner! Join...;December 10th at City Hall
Job alert: Local bookstore is hiring part-time book handlers. If...;Book Handlers Wanted
The town's annual Christmas tree lighting ceremony will take place...;Kick off the holiday season with us
This month, the local art studio is offering a series...;Create something beautiful
Reminder: The town's parking garage will be closed on December...;Plan ahead and use alternative parking options
Lost: A set of keys containing a house key, car...;Lost: keys containing house key, car key, and office key
Community Clean-Up Day: Join us on Saturday to help keep...;Community Clean-Up Day: Join us on Saturday
The town's annual Christmas parade is just around the corner!...;Join us for the town's annual Christmas parade
Neighborhood Yard Sale: Join our community-wide yard sale on Saturday,...;Neighborhood Yard Sale
Found: A small, black wallet with a few credit cards...;Found: A Small, Black Wallet with Credit Cards and Cash
Community clean-up event: Join us this Saturday at the park...;Make a Difference with Your Neighbors
The annual summer festival is just around the corner! Join...;Mark your calendars for this Saturday from 11 AM
The local library is hosting a book club discussion on...;All Welcome to Join
The community garden is looking for volunteers to help with...;Planting and maintenance required
Join our book club next month as we discuss the...;Join Our Book Club
Our local animal shelter needs donations of pet food, toys,...;Donate to local animal shelter
The city is hosting a free concert series this summer...;Mark Your Calendars for Summer Concerts
Learn how to cook international cuisine at our cooking class...;Learn international cuisine this Saturday
Found: A set of keys with a small flashlight attached...;Keys with flashlight found
Creative Corner: Join our art class this Friday at the...;Learn various painting techniques
The library is hosting a free author reading and book...;Author Book Signing
Book club alert: Our next meeting is scheduled for Thursday...;Book Club Alert
For Sale: Gently used exercise equipment - treadmill, stationary bike,...;For Sale: Exercise equipment
Volunteer Opportunity: Join us at the local animal shelter this...;Join us at the local animal shelter this Saturday
The local farmers market is happening this Saturday from 9:00...;Pick up delicious produce
The neighborhood association will be hosting a clean-up event next...;We'll provide gloves and trash bags for the clean-up event
The town's annual BookFest celebration is just around the corner!...;Mark your calendars for BookFest
The town's annual Easter egg hunt is just around the...;Don't miss out on the excitement
Calling all music lovers! The local community center is hosting...;Tickets Available Online
The town's community center is hosting a free yoga class...;No Registration Required for Yoga
The annual town festival is scheduled for this weekend from...;If you're interested in participating as an exhibitor or performer,...
Iâ€™m organizing a neighborhood clean-up day for next Saturday morning....;Join us for neighborhood clean-up
Get ready for our annual Halloween Haunt! This year's event...;Get Ready for Halloween Haunt
The annual Harvest Festival is just around the corner! Join...;Live Music
Calling all artists! Our town's annual ArtFest will be held...;Show off your talents
Join us for our annual Christmas Parade and Tree Lighting...;Join us for our annual Christmas Parade
The annual FallFest celebration is just around the corner, taking...;Live music performances
Join us for a fun-filled evening of board games and...;Join us for a fun evening of board games
The local animal shelter is hosting an adoption fair this...;Find your new furry companion
Get ready to groove with us! Our annual summer concert...;Fun for All Ages
The town's summer concert series is back for another year...;Don't miss out on our special guest performers
The local community garden is seeking volunteers to help with...;Join the Gardening Club
Our school's robotics team needs donations of materials and supplies...;Support Local Education
The city park department is organizing a clean-up event this...;Prepare for the summer season
