Subject Line A;Subject Line B
Book Club: Meet fellow book lovers and discuss our latest...;Meet fellow book lovers
Community Clean-Up Day: Help keep our town beautiful by joining...;Community Clean-Up Day - Next Weekend
Reminder: The annual summer festival is just around the corner!...;Mark Your Calendars
Volunteer Opportunity: Help our local animal shelter by participating in...;Contact Us for More Information
Garage Sale Alert: We're having a massive garage sale this...;Garage Sale Alert
Attention all book lovers! The local library is hosting a...;Attention all book lovers
Community Clean-Up: Join us for a community clean-up event on...;Join us for a community clean-up event
Free Yoga Class: Start your week off right with a...;Limited spots available
"Local Business Grand Opening: Congratulations to ""The Daily Grind"" on...";"Check out ""The Daily Grind"" for new coffee shop"
Public Art Installation: The city is seeking submissions for a...;Submit Your Artwork
Volunteer Opportunity: Help make a difference by volunteering at our...;All skill levels welcome
Wanted: A friendly and reliable dog walker to take care...;Reliable dog walker needed
The local library is hosting an author reading series this...;Book Signing Event
Attention all cyclists! A new bike lane has been installed...;Safer and more enjoyable
Calling all artists! The city is hosting a mural competition...;Show off your creative skills and help
Reminder: Our annual Halloween party will be held at the...;Spooky fun ahead
For sale: Gently used baby equipment, including stroller, car seat,...;For sale: Gently used baby equipment
The annual neighborhood potluck dinner is scheduled for next weekend!...;RSVP by This Friday
The local library is hosting a book club for adults...;Classic novels and contemporary bestsellers
The local animal shelter is hosting a pet adoption fair...;Find Your New Best Buddy
Book Club: Join us this month as we discuss 'The...;Join our book club
Volunteer Opportunity: Help out with our annual clean-up event in...;Volunteer Opportunity
Local Artist Showcase: Join us for an evening of art,...;Local Artist Showcase this Friday
Yoga Class: Get flexible with our new yoga class every...;New yoga class every Wednesday
Garage Sale Alert!: Score some amazing deals on gently used...;Garage Sale this Saturday
Local Authors Invited: Join us at the Library this Thursday...;Join us at the Library this Thursday
Book Club: Join us for a discussion on our latest...;Book Club: Join us
Garage Sale: A family is having a garage sale this...;Garage Sale
Important update: The city is conducting a streetlight maintenance project...;Improving visibility and safety
Lost: A silver necklace with a small locket, last seen...;Lost: A silver necklace with a small locket
Lost Dog: A small white fluffy dog with a pink...;Dog with Pink Collar
Seeking volunteers for our annual charity walk/run on March 17th!...;Support local food banks and shelters
Attention all book lovers! Our library's annual used bookstore sale...;Supporting literacy programs
Film Buffs Unite! Join us every Thursday at 7 PM...;Movie nights with classic films
Community event: The annual SummerFest celebration will take place this...;SummerFest Celebration This Saturday
Job Opportunity: The local animal shelter is looking for volunteers...;Job Opportunity
Book Club Reminder: Don't forget to bring your copy of...;Refreshments will be provided at the meeting
Calling all gardeners! Our neighborhood gardening club is hosting a...;Bring your questions and plants
Wanted: A reliable used bike for a local charity event....;Bike Donation Needed
Attention all gardeners! The city's annual flower show is just...;Show your unique blooms
Don't miss out on our community's favorite event - the...;Mark your calendars for July 15th
Calling all bookworms! Our local library is hosting an author...;Summer Reads
Attention parents: The city's recreation department is offering a new...;Attention parents: The city's recreation department is offering a new...
Community Potluck: Join us for a potluck dinner at the...;Join us for a potluck dinner
Reminder: The annual town fair is coming up on June...;Mark Your Calendars
Local Artist Showcase: Support local talent by attending our artist...;Local Art Gallery Event
Volunteer Opportunity: Help us keep our parks clean! Join our...;Make a difference in your community
Important Notice: The town library will be closed for renovations...;Important Notice
Garage Sale: Saturday, April 15th from 8 AM to 2...;Find Some Great Deals
Neighborhood Potluck Dinner: Join us this Sunday evening at the...;Neighborhood Potluck
Free Yoga Class: This Wednesday from 6 PM to 7...;Free Yoga Class
Book Club Meeting: Join us this Thursday evening at 7...;The Alchemist by Paulo Coelho
Community Clean-Up Day: Saturday, April 22nd from 9 AM to...;Meet at the community
Community event alert: The annual SummerFest celebration is happening this...;SummerFest celebration this Saturday
Wanted: A reliable and responsible dog walker is needed for...;Energetic dogs need walker
Artistic Expression: The local art museum is hosting an open...;Share Your Talents
Local artist's studio open house this weekend! Meet the talented...;Meet talented artists and see latest works
Local Book Club: Join us every third Thursday of the...;Join us every third Thursday of the month
Reminder: The annual town-wide yard sale is just around the...;Mark your calendars for Saturday
Reminder: The annual community clean-up event is scheduled for this...;Tidy Up the Neighborhood
Community clean-up event! Join us this Saturday from 9 AM...;Meet new friends and enjoy
Calling all nature enthusiasts! Join us for a guided hike...;Don't forget your water bottle
Join us at the local library this Saturday for a...;Book lovers meet
Calling all bookworms! The library is hosting a summer reading...;Calling All Bookworms
"The local animal shelter is hosting a ""Clear the Shelters""...";Help Furry Friends
The local animal shelter is hosting an adoption fair this...;All adoptable pets will be available for viewing
Wanted: A reliable used car for sale, preferably with low...;Used Car for Sale with Low Mileage
Community Garage Sale: Calling all bargain hunters! Our neighborhood is...;Calling All Bargain Hunters
Reminder: The local library's summer reading program is ending soon!...;Don't forget to turn in your completed book logs
Job Opening: The local library is looking for a part-time...;Job Opening
Free concert series starts this weekend at the park! Join...;Join us for live music and food trucks
The local food bank is hosting a can drive this...;Stock Their Shelves
The annual neighborhood garage sale will be held this Saturday...;Community Center Sign Up
The local animal shelter is hosting a pet adoption fair...;All Pets are Spayed/Neutered
Lost: A set of keys with a red fob and...;Very important for daily routine
Neighborhood Watch: Reminder to lock your doors and keep valuables...;Reminder to lock your doors and keep valuables secure
Calling all book lovers: The local library is hosting a...;Calling all book lovers
The neighborhood's annual block party is just around the corner,...;Let's make this year's event
The annual holiday market is coming up on December 17th...;Enjoy festive food and drinks
Community Garden Update: The plot you reserved for this season...;Plot Ready for This Season
The annual charity bake sale will take place at the...;Charity Bake Sale
Lost: A set of keys with a house key, car...;Lost: a set of keys near Main St
Join us for a free outdoor movie night this Friday!...;Outdoor Movie Night
Calling all book lovers! Our local library is hosting an...;Calling all book lovers
Attention all gardeners and green thumbs! We're organizing a community...;Grow your own herbs and veggies
Reminder: Our annual town festival is just around the corner,...;Fun Activities for All Ages
Notice: The local dog park will be closed temporarily due...;The local dog park will be closed temporarily due to...
The local library is hosting a 'Book Exchange' event next...;Book Swap
The town's annual summer festival is just around the corner!...;Mark your calendars for July 17th
The local library is hosting a summer reading program for...;Join us for a summer reading program
Wanted: A responsible and reliable individual to walk my elderly...;Wanted: A responsible and reliable individual to walk my elderly...
Reminder: The annual neighborhood garage sale will take place this...;Find Great Deals
Join us for a free yoga class at the community...;All levels welcome
Found: A vintage camera with a broken lens, discovered on...;Found: A Vintage Camera
Art Gallery Opening: Join us this Friday at the local...;Art Gallery Opening this Friday
Attention all gardeners! The community gardening club is hosting a...;Learn Composting
A loving family is searching for their beloved golden retriever,...;Lost Golden Retriever
