Subject Line A;Subject Line B
Community Yard Sale: Join us this Saturday from 8 AM...;Join us this Saturday for a neighborhood-wide yard sale!
The local library is hosting a book club for mystery...;Mystery Enthusiasts
Join us for a morning of yoga on the beach!...;Join us for a morning of yoga on the beach
Attention all book lovers! Our local library is hosting an...;Author Reading Series
The local library is hosting an author reading series, featuring...;Connect with Talented Authors
Attention all book lovers! The library is hosting a used...;Support Literacy Programs
Calling all book lovers! The local bookstore is hosting a...;Used Book Sale for Literacy
The town's annual SummerFest celebration is just around the corner!...;SummerFest celebration
Community clean-up event: Join us this Saturday from 9 AM...;Join us this Saturday from 9 AM to 12 PM...
Free yoga classes for beginners every Saturday morning at 8:30...;Free Yoga Classes for Beginners Every Saturday
Attention all book lovers! The library is hosting a used...;Attention all book lovers
Reminder: Pet adoption fair tomorrow from 10 am to 4...;Find your new companion!
Community clean-up event scheduled for next Saturday. Meet us at...;Meet us at City Hall at 9 AM sharp!
Calling all musicians! The town's annual Music Festival is coming...;Calling all musicians
Calling all book lovers! The library is hosting a used...;Calling all book lovers
Calling all book lovers! The local library is hosting a...;Book Lovers Rejoice
The local library is hosting a book club meeting this...;RSVP for Book Club
A free yoga class for beginners is being offered at...;No Experience Necessary
The annual town fair is just around the corner! Join...;Saturday from 10 AM to 5 PM
Calling all gardeners! Our community gardening club meets every Thursday...;Every Thursday evening at
The local animal shelter is in need of volunteers to...;Animal shelter needs volunteers
Attention all artists! Our town's art league is hosting a...;Don't miss this opportunity
The town's annual Christmas tree lighting ceremony will take place...;Santa's coming to town - don't miss it!
Book Club Meeting: Join us for our monthly book club...;Join us for our monthly book club meeting
Calling all bookworms! The library is hosting an author reading...;Library Event Coordination
Book drive for local schools is underway! Donate gently used...;Shape Young Minds with Book Donation
Community Yoga: Join us for a free yoga session every...;All levels welcome
The annual town fair is just around the corner! This...;Delicious food vendors and activities for all ages
Found: A set of keys was lost on Maple Street,...;Unite lost keys
The local library is hosting a book club for young...;Book Club for Young Adults - Science Fiction and Fantasy...
Join the community garden's spring planting event this Saturday from...;Spring planting event this Saturday
The city is offering a free workshop on rainwater harvesting...;Sustainable Practices
This Friday, enjoy live music at the community center's open...;All Welcome to Perform
The neighborhood watch program is hosting a meeting this Tuesday...;Community Safety Tips
The local library is hosting a book club meeting this...;Join the Book Club
Job Opportunity: Our local library is hiring a part-time librarian...;Job Opportunity
Reminder: The community garden is open every Sunday from 1...;Every Sunday from 1 PM to 4 PM
Art Lovers Unite: Join us for a free painting class...;Art Lovers Unite
Attention all pet owners! The local animal shelter is hosting...;Spay or neuter your pets
Lost cat alert: I'm looking for my beloved feline friend,...;Cat with bright green eyes
Community potluck dinner and game night this Friday at 6...;Community potluck dinner and game night this Friday
The local library is hosting a book drive this month!...;Donate books to the library
A local artist is hosting a free painting class this...;Free Painting Class
Join us for a night of jazz and wine at...;Join us for a night of jazz and wine
Wanted: Reliable babysitter for occasional evening care of two children,...;Babysitter for occasional evening care of two children
Must be trustworthy and have experience with school-age kids. Contact...;Need someone with experience with school-age kids
Lost: A small black wallet containing cash, credit cards, and...;Found: A small black wallet containing cash
For sale: A gently used upright piano, perfect for music...;Proceeds Support Local Arts
Reminder: The annual community clean-up event is happening this Saturday...;Bring Your Friends and Family
Found wallet near the coffee shop on Main St. It...;Claim your lost wallet
The new library branch opening ceremony takes place next Wednesday...;Celebrate the new library branch with us!
Traffic note: Lane closures on Highway 12 starting Monday morning....;Highway 12 lane closures starting Monday
There's an upcoming concert by local musician, Emma Taylor, happening...;Tickets are available
Job Opportunity: Our local bookstore is hiring a part-time sales...;Apply Today
The local library is hosting an author reading series, featuring...;Author Reading Series
Meet the authors, ask questions, and get inspired by their...;Ask questions
Free Yoga Classes: Join us for a series of free...;Free Yoga Classes
Attention: The annual town cleanup event is scheduled for next...;Join Your Neighbors for Annual Town Cleanup
Local artist seeking volunteers to help with a mural project...;Local artist seeking volunteers
Community alert: Neighborhood watch meeting tonight! Join us at 7...;Join Us to Discuss Recent Incidents
Attention all book lovers! The library is hosting a used...;Support local literacy programs
The city's annual clean-up event is coming up on Saturday,...;Help Keep Our Streets and Parks Beautiful
The local farmer's market is hosting a special holiday event...;Support our community vendors at the holiday event
Our community's annual charity walk/run will take place on December...;Register for the Local Children's Hospital Fundraiser
Free computer classes are available at the library every Wednesday...;Learn basic skills with our expert instructors
The community garden is seeking volunteers to help prepare for...;Join us on Saturday, January 5th, and get hands-on experience
Don't miss the holiday concert at City Hall this Friday!...;Enjoy Festive Music
Wanted: A reliable babysitter for a family of four, available...;Babysitter required
Found: A small, white cat with a pink collar and...;"Cat with pink collar and name tag ""Mittens"""
The local library is hosting a book drive to benefit...;Spread Literacy Throughout Our Community
"The local animal shelter is hosting a ""Furry Friends"" adoption...";This weekend at town square
Attention all foodies! Our local farmers' market is looking for...;Our Local Farmers' Market
