Subject Line A;Subject Line B
Lost: A small black notebook containing important research notes, last...; Lost: Notebook with important research
The city's annual jazz festival is looking for volunteers. If...; Get involved in the community
The public library is discontinuing late fees on all children's...; Reading just got easier
If you're a homeowner interested in installing solar panels, the...;If you're a homeowner interested in installing solar panels
Found a set of hiking poles near the trailhead of...; Hiking poles lost near Mount Parker
The local theatre company is in need of old suitcases...; Suitcases and trunks wanted
A free e-waste recycling event will be held at the...; Bring your old electronics for safe disposal
The community center is hosting a workshop on budget management...; Personal Finance Tips
Notice for garden enthusiasts: The annual flower and garden show...;The annual flower and garden show is accepting last-minute entries
A local high school's robotics club is showcasing their projects...; Support Local Robotics Club
Our local theater group is looking for new members to...;Looking for new members to join our production
Attention parents: The community library is starting a new storytime...;Attention parents
If anyone is interested in participating in a community quilt...; Contribute Patches
Lost during last weekend's festival: a small, digital camera. It's...; Irreplaceable family photos
The downtown improvement committee is looking for volunteers to help...;The downtown improvement committee is looking for volunteers
Our local theater is looking for old 1920s-style costumes for...; Vintage Clothes Needed
The annual community clean-up day is fast approaching. Gather at...; Lunch Provided for All Volunteers
We have noticed an increase in litter in the park...; Keep our parks clean and pleasant
A reminder that the community potluck is happening this Sunday...; Sunday afternoon gathering
Local amateur astronomers are invited to join a night of...; Amateur Astronomers Invited
The youth center is in urgent need of sports equipment...; Sports Equipment Donations Required
Exciting news for young parents and tots! Our community center...; Coffee for grown-ups
I have a bunch of moving boxes in good condition...; Moving Boxes Available for Free
A set of keys was found this morning on Oak...; Lost Keys with Green Lanyard
To anyone with expertise in tree pruning: The community orchard...;Seeking Tree Pruning Experts
The local swim team is hosting tryouts next week for...;Local Swim Team Tryouts
If anyone is missing a drone, it was last seen...; If you're missing a drone
The Historical Society is offering guided tours of the old...; Historical Society guided tours
Volunteers needed: The food bank is looking for help sorting...; Help make a difference
Reminder: Please keep your pets on a leash at all...; Respect Our Community
The community garden is organizing a harvest festival next month....; Community Garden Festival
Lost: A small drone with red markings, last seen near...; Drone with red markings
Reminder to all residents: Leaf and brush pickup is scheduled...;Leaf and brush pickup scheduled for next Monday
I'm a retired librarian and would love to start a...; Organize weekly storytime
A reading group is forming at the local library for...; Discuss Mystery Novels
The high school's annual art show is this weekend. Come...; Support local students and artists
Free health clinic this Saturday at the community center from...; Free health clinic services include
Attention dog owners: A new dog park is opening next...; Dog owners rejoice
Found: A set of house keys with a novelty guitar...;Found: House keys with guitar keychain near public library
Local scout troops are holding a car wash fundraiser this...; Local Scout Troops Car Wash
The community choir is looking for new members. No audition...; Community choir seeking singers
If you're interested in learning how to make your own...; Create Your Own Soap
The local museum is seeking volunteers for their upcoming exhibit...;The local museum is seeking volunteers
An outdoor yoga class will be held every morning at...; Yoga classes start next week
I found a set of keys near the bus stop...; There's a red keychain with a car logo
Reminder: Parking will be restricted on Main Street this Friday...; Please use alternate parking areas provided on the event map
Lost: A child's teddy bear, near the fountain in Central...;...
The local veterans' association is organizing a community picnic next...; Honor Our Service Members
The neighborhood association is looking for articles and photos for...; Community newsletter - share your story
A bicycle was found locked to a bench at the...; Bicycle left at bus station
The community pottery studio is holding an open house event...; Meet local artists
Volunteers are needed for the downtown beautification project this spring....; Beautify Downtown Spaces
Lost: Prescription glasses in a black case, possibly left on...;Lost Prescription Glasses
The local astronomy club is hosting a night of stargazing...; Experts on Hand
Found a backpack containing school books and a lunchbox at...; Backpack found at Victory Park
I'm starting a fitness challenge group and looking for participants...; Commit to your health
A documentary film about the history of our town is...; Tickets are limited for documentary film
The annual River Run 5K is seeking sponsors. If your...; River Run 5K Sponsorship Opportunities
Reminder to all residents: The annual community survey is live....; Community Feedback Matters
Lost: A small drone, last seen flying over Maple Park...; Small drone with blue trim
The public library is starting a teen book club this...; Schedule for our book club
A workshop on native plants and their benefits to our...; Benefits to Local Ecosystem
If you've found a set of car keys with a...; Car keys lost during football game
The local animal shelter is offering discounted microchipping services this...;Protect Your Pets
Community Alert: We've noticed an increase in bicycle thefts in...;Increase in bicycle thefts
The community garden on Fifth Street is now accepting applications...; Community garden plots available
Anyone up for forming a local history club? We could...;Forming a local history club
A reminder that the annual street cleaning will begin next...; Vehicles to be Moved
The jazz ensemble from the community college will be performing...; Jazz Performance at City Park
Found: A small pouch containing various crafting tools, left behind...; Found: Tools at arts and crafts fair
The city's transit authority will be holding a public hearing...; Bus route changes discussed
Lost during the fun run: a digital sports watch, black...; Black with blue band
The local theater is seeking old newspapers and magazines for...; Donate newspapers for theater production
The high school robotics team is looking for local businesses...; High School Robotics Team Needs Sponsors
Free ESL classes will be offered every Monday and Wednesday...; Improve your English skills
The local beekeepers association is hosting a beginner's workshop on...; Beekeeping Workshop This Saturday
A wallet was found near the outdoor gym in Central...; Brown Leather Wallet Found
I make handmade jewelry and I'm thinking of setting up...; Advice on setting up a booth
Volunteers are needed to help set up and take down...; Sign Up Now
The high school's annual craft bazaar is next weekend. Come...; Support Our Students
Lost: a small drone with a red stripe, last seen...; Drone with a red stripe found near community college
Reminder: Dog licenses must be renewed by the end of...;Reminder: Dog licenses must be renewed by the end of...
The city is planning a reforestation day next month. We're...; We're looking for community members to help plant trees
A set of car keys with a novelty football keychain...; Car Keys with Football Keychain Found
The community orchestra is inviting local musicians to join their...; Local Musicians Invited
