A;B;C
Volunteers needed for our annual river regatta next;Volunteers needed for our annual river regatta next month. We...;Volunteers needed for our annual river regatta
The Community Pool is Now Open for the Season;Reminder: The community pool is now open for the season....;Check the posted schedule for swim times, lessons, and aqua-fitness...
Lost a precious silver locket at the downtown market;Lost a precious silver locket at the downtown market last...;Lost a precious silver locket at the downtown market last...
The local university extension is offering a series of lectures...;The local university extension is offering a series of lectures...;A series of lectures on environmental conservation
A Note to All Dog Owners;A note to all dog owners: Please clean up after...;Please clean up after your pets while in public areas
Found a pair of prescription glasses at the bus stop...;Found a pair of prescription glasses at the bus stop...;Found a pair of prescription glasses at the bus stop
I lost a small gold locket;I lost a small gold locket near the central plaza...;lost a small gold locket near the central plaza
Join us for our annual;"Join us for our annual ""Taste of the Town"" food...";"Join us for our annual ""Taste of the Town"" food..."
A stray dog has been seen roaming near the industrial...;A stray dog has been seen roaming near the industrial...;A stray dog has been seen roaming near the industrial...
The Amazing Talent Our Students Have to Offer;The high school's annual art show is open to the...;Come see the amazing talent our students have to offer
We're Organizing a Neighborhood Carpool System;We're organizing a neighborhood carpool system to help reduce traffic...;neighborhood carpool system to reduce traffic and pollution
The local library is starting;The local library is starting a series of bi-weekly workshops...;digital literacy workshops starting next month
Annual Maintenance of the Town's Water System;Please be advised that the annual maintenance of the town's...;Annual Maintenance of Town's Water System Scheduled Next Tuesday
A Brown Leather Briefcase Was Left;A brown leather briefcase was left in the cab of...;Brown leather briefcase left in downtown taxi Friday night
There is a community effort to restore the old;There's a community effort to restore the old mill and...;Community effort to restore old mill, volunteers needed for cleaning
The High School is Collecting Donations for Drama Production;The high school is collecting donations for their upcoming drama...;Collecting donations for upcoming drama production
Our Community Garden Plots Are Now Available;Our community garden plots are now available for the coming...;Our community garden plots are now available
We're Looking for Volunteers;We’re looking for volunteers to help with the spring festival...;volunteers to help with the spring festival planning committee
I Found a Set of Keys Near the Lake Trail;I found a set of keys near the lake trail,...;found a set of keys near the lake trail
There will be a CPR;There will be a CPR and first aid training session...;CPR and first aid training session at the community center
The monthly meeting;The monthly meeting of the town council will take place...;new park development plans
The local art club is holding;The local art club is holding an outdoor painting session...;Outdoor painting session this Sunday at City Park
Our town's historical society is looking;Our town's historical society is looking for volunteers to help...;looking for volunteers to help digitize old photographs and documents
Missing: a Small Drone;Missing: a small drone, last seen flying over Community Park....;Missing: a small drone, last seen flying over Community Park
Annual Bake Sale THIS Saturday!;The community center's annual bake sale to support local homeless...;annual bake sale to support local homeless shelters
The road will be partially closed;The road by the elementary school will be partially closed...;Partially closed next week for sidewalk repairs
The Local Veterans' Association Charity Run;The local veterans' association is organizing a charity run next...;charity run next month. They're looking for participants and volunteers
A Silver Locket was Found;A silver locket was found in the community hall following...;A silver locket found in the community hall
I Just Opened a Yoga Studio;I just opened a yoga studio downtown and am offering...;Offering free trial classes next week
The Community Orchestra Has Openings for Violinists and Cellists;The community orchestra has openings for violinists and cellists for...;openings for violinists and cellists for the upcoming concert season
"There is a recall on the ""Baker's Delight"" bread maker";There is a recall on the “Baker’s Delight” bread maker...;Recall on “Baker’s Delight” bread maker model X100 due to...
Lost Cat;Lost cat: an orange tabby with a white chest, very...;Lost cat: orange tabby with white chest, very friendly, named...
We Are Initiating a Neighborhood Carpool Program;We are initiating a neighborhood carpool program. If you're interested...;Neighborhood carpool program initiation: Informational meeting next Thursday
To Voice Your Opinions About a New Playground;There's a proposal to build a new playground at the...;new playground at the north end of the community park
The Annual Community Photo Contest;The annual community photo contest is now accepting entries. This...;Life in Our Town
Volunteers Needed for Downtown Clean-up Day;Volunteers are needed for the downtown clean-up day next Saturday....;Volunteers are needed for the downtown clean-up day
"This month's book is ""Where the Crawdads Sing""";The local book club is looking for new members to...;"This month's book is ""Where the Crawdads Sing"""
A Reminder to All Residents;A reminder to all residents to adhere to the recycling...;Adhere to the recycling guidelines set by the city council
High School Car Wash Fundraiser This Sunday;The high school track and field team is hosting a...;Car wash fundraiser this Sunday, 9 AM to 1 PM
Is Anyone Interested in a Weekly Game Night?;Is anyone interested in a weekly game night? I was...;A weekly game night: board games, card games, whatever you...
A New Exhibit on Regional Wildlife;There's a new exhibit on regional wildlife at the Natural...;new exhibit on regional wildlife at the Natural History Museum
The Community Health Clinic Will Be Closed Next;The community health clinic will be closed for renovations starting...;Community health clinic closed for renovations starting next Monday
An orange and white bicycle was found;An orange and white bicycle was found locked outside the...;Locked outside the library without any identification
The Annual Food Drive Starts Next Week;The annual food drive for the local pantry starts next...;annual food drive for the local pantry starts next week
If Anyone Has Expertise in Repairing;If anyone has expertise in repairing old radios, the school's...;repairing old radios, the school's drama club could use your...
The local animal shelter;The local animal shelter is offering discounted adoption fees this...;Discounted adoption fees this weekend
Reminder: Property taxes are due at the end of the...;Reminder: Property taxes are due at the end of the...;Property taxes are due at the end of the month
The community soccer league is looking;The community soccer league is looking for referees for the...;Looking for referees for the upcoming season
A Wallet Was Found;A wallet was found at the bus station on Main...;Wallet found at bus station on Main Street
We're launching a weekend farmers' market;We're launching a weekend farmers' market starting this Saturday in...;Launching a weekend farmers' market in the central square
