A;B;C
Hey Neighbors! Found;Hey neighbors! Just spotted a set of keys with a...;Keys with a cute turtle keychain near the playground
I’m trying to get a carpool group;I’m trying to get a carpool group together for daily...;Interested in joining a carpool group for daily commutes?
For rent: A small, two-bedroom house near the city park....;For rent: A small, two-bedroom house near the city park....;Pet-friendly, with a fenced yard. Available starting next month.
City Council to Discuss New Public Transportation Routes and Schedules;The city council will be discussing the new public transportation...;Discussing new public transportation routes and schedules
Calling all photographers!;Calling all photographers! The nature reserve is hosting its annual...;The nature reserve is hosting its annual photo contest
Garage Sale This Weekend!;Garage sale this weekend! We're downsizing and have furniture, tools,...;Garage sale this weekend! We're downsizing and have furniture, tools,...
We Need More Contributors for the Community Garden Blog;We need more contributors for the community garden blog. If...;More contributors needed for community garden blog
Thank you for helping me!;To the person who helped me jump-start my car near...;Your kindness was a big help
The Local Theatre is Seeking Donations;The local theatre is seeking donations of costumes and props...;Seeking donations of costumes and props for upcoming season
Our Beloved Siamese Luna Missing;Missing cat: Our beloved Siamese, Luna, has been missing since...;Our beloved Siamese, Luna, has been missing
Our local museum is offering;Our local museum is offering free admission this weekend to...;Free admission this weekend to celebrate new exhibit on regional...
A Gentle Reminder to All Residents;A gentle reminder to all residents: Please keep your lawns...;Keep your lawns trimmed and clear of debris
Thinking about starting a book club;I'm thinking about starting a book club here in town...;Starting a book club with a focus on modern fiction
A community-wide yard sale next month.;A group of us are organizing a community-wide yard sale...;a community-wide yard sale next month
We are looking;We are looking for volunteers to help with the senior...;volunteers to help with the senior center's weekly bingo night
Increased tick activity in local parks;Attention, pet owners! There have been reports of increased tick...;Increased tick activity in local parks - Check your pets
Found a pair of children's glasses;Found a pair of children's glasses near the playground at...;Children's glasses found near playground at Oak Grove Park
The Bridge on Jefferson Road Will Be Closed;Notice to all: The bridge on Jefferson Road will be...;Bridge on Jefferson Road will be closed for repairs
Join us for the community potluck dinner;Join us for the community potluck dinner next Friday at...;Join us for the community potluck dinner next Friday at...
Car Wash Fundraiser This Saturday;Our high school's music department is hosting a car wash...;Support our talented students at the car wash fundraiser
I'm collecting;I'm collecting old laptops and tablets to donate to local...;Collecting old laptops and tablets to donate to local schools
The Free Health Screenings;The community health clinic will be offering free health screenings...;Free health screenings next Tuesday from 1 PM to 5...
Our family's black Labrador;Lost dog notice: Our family's black Labrador, Max, wandered off...;Lost dog notice: Our family's black Labrador, Max, wandered off...
We're Missing a Friendly Orange Tabby Cat;We're missing a friendly orange tabby cat from our home...;Missing a friendly orange tabby cat named Simba
Calling all Amateur Astronomers;Calling all amateur astronomers! Join us for a night of...;Join us for a night of stargazing at Hilltop Park
The Annual River Cleanup;The annual river cleanup is happening this weekend. We're looking...;Volunteers needed for annual river cleanup
I'm offering my services free of charge this month;If anyone needs help setting up their new computers or...;offering my services free of charge this month
We are forming a new choir;We are forming a new choir group in town and...;forming a new choir group in town and looking for...
Found: A set of keys;Found: A set of keys in the parking lot of...;Found: A set of keys in the parking lot
The neighborhood watch group is seeking new members.;The neighborhood watch group is seeking new members. If you're...;Seeking new members for neighborhood watch group
Volunteers Needed for Community Garden Spring Planting Day;Volunteers needed for the community garden spring planting day next...;Community Garden Spring Planting Day
Community Pool Opens for the Season this Weekend!;Reminder: The community pool opens for the season this weekend!...;Season passes are available at a discount before opening day
I'm starting a casual meet-up group;If anyone is interested in learning about or discussing sustainable...;Starting a casual meet-up group for sustainable living practices
Celebrating its 5th anniversary with an open house next;The downtown art gallery is celebrating its 5th anniversary with...;Join us for live music, refreshments, and a showcase...
I'm offering lawn mowing services this summer.;I’m offering lawn mowing services this summer. I have my...;Offering lawn mowing services this summer
Thank you So Much;To anyone who helped push my car out of the...;Your kindness and teamwork were truly appreciated during that snowy...
Lost Cat Since Monday;Lost cat: Our family's gray tabby, Whiskers, has been missing...;Our family's gray tabby, Whiskers, has been missing
Our community library starting weekend reading program;Our community library is starting a weekend reading program for...;weekend reading program for kids, featuring story time, crafts, and...
Attention Cyclists: The City Will Be Adding Bike;Attention cyclists: The city will be adding bike racks at...;Adding bike racks at key locations downtown
Does Anyone Have Experience;Does anyone have experience with rainwater collection systems? I'm looking...;looking to install rainwater collection system
Calling all green thumbs!;Calling all green thumbs! We're looking for guest contributors to...;Looking for guest contributors for community garden newsletter
The Annual Community Yard Sale;The annual community yard sale is scheduled for next Saturday...;Annual community yard sale scheduled for next Saturday at Riverside...
Bulk Trash Pickup Happening Next Week;A reminder that bulk trash pickup is happening next week....;Bulk trash pickup is happening next week
I Found a Set of Car Keys;I found a set of car keys near the coffee...;Found car keys near coffee shop on Main Street
Starting a Community Cycling Group;We're starting a community cycling group that will meet every...;Community cycling group starting Sunday morning rides
I recently moved here;I recently moved here and I'm a professional carpenter looking...;I specialize in furniture and home repairs
"Auditions for Summer Production of ""Grease""";The local theater is holding auditions for its summer production...;Auditions for summer production of 'Grease' at local theater
I'm trying to get a weekly knitting and crochet group...;If anyone is interested in a weekly knitting and crochet...;Starting a weekly knitting and crochet group
Organizing a Meeting to Discuss Recent Concerns;Our neighborhood watch is organizing a meeting to discuss recent...;Discuss recent concerns about vehicle break-ins
I'm offering free piano lessons for beginners.;I'm offering free piano lessons for beginners. I have a...;offering free piano lessons for beginners
