A;B;C
The local high school's robotics team is hosting a car;The local high school's robotics team is hosting a car...;Car wash fundraiser this Saturday at local high school
Lost Cat: My Grey Tabby;Lost cat: My grey tabby, Misty, has been missing since...;Lost cat: My grey tabby, Misty, has been missing since...
I'm organizing a book;I'm organizing a book drive to help restock the library...;organizing a book drive to help restock the library
Organic pest control methods;The community garden is offering a workshop on organic pest...;workshop on organic pest control methods next Saturday
A black wallet was found in the park near the...;A black wallet was found in the park near the...;A black wallet was found in the park near the...
We're looking for local bands to perform;We're looking for local bands to perform at the upcoming...;submit a demo track and a brief bio via our...
I'd like to give them away;My kids have outgrown their bicycles, and I'd like to...;Give away bicycles suitable for children ages 5 to ...
Please keep your dogs;Reminder to all residents: Please keep your dogs on a...;Reminder to all residents: Please keep your dogs on a...
Seeking Volunteer Drivers for Weekly Grocery Shopping;The seniors' center is looking for volunteer drivers to help...;Looking for volunteer drivers for weekly grocery shopping trips
Found a small drone in Lincoln Park near the playground.;Found a small drone in Lincoln Park near the playground....;Found a small drone in Lincoln Park near the playground
The city council is hosting a public;The city council is hosting a public forum on the...;Public forum on new public transportation initiative
Anyone Missing a Green Parakeet?;Anyone missing a green parakeet? A little bird has been...;green parakeet visiting backyard feeder with leg band
The Annual Children's Book Fair;The annual children's book fair will be held at the...;Annual children's book fair at community center needs volunteers
I lost a silver bracelet;I lost a silver bracelet somewhere between Park Avenue and...;Lost silver bracelet between Park Avenue and 3rd Street
We're planning;We're planning a cleanup day for the community trails system....;Cleanup day for the community trails system
The local fire department will be conducting a controlled burn;The local fire department will be conducting a controlled burn...;Controlled burn in the north section of the old forest
The Community Pool Opens for the Season!;Reminder: The community pool opens for the season this weekend!...;Summer of fun in the water!
Please Message Me If;Please message me if interested....;Please message me if interested.
I'm starting a casual meet-up group;If anyone is interested in learning about or discussing sustainable...;Starting a casual meet-up group for sustainable living practices
Celebrating its 5th Anniversary with an Open House;The downtown art gallery is celebrating its 5th anniversary with...;5th anniversary with an open house next Friday
The Local Park Now Requires;Reminder for all pet owners: The local park now requires...;Reminder for all pet owners: The local park now requires...
The city is launching a new lecture;The city library is launching a new lecture series focused...;A new lecture series focused on local history is launching
Found a blue USB drive in the community center;Found a blue USB drive in the community center parking...;Found a blue USB drive in the community center parking...
Proper sorting helps reduce waste and keeps our;Reminder: Please adhere to the recycling guidelines posted on our...;adhere to the recycling guidelines posted on our town’s website
We Are Starting a Neighborhood Initiative;We are starting a neighborhood initiative to assist the elderly...;Starting a neighborhood initiative to assist the elderly with grocery...
There's a new art exhibition at the downtown gallery;There's a new art exhibition at the downtown gallery featuring...;New art exhibition at downtown gallery featuring contemporary artists
The Spring Fling Festival;The annual Spring Fling Festival is seeking local vendors. If...;Seeking local vendors for annual Spring Fling Festival
Missing: One small drone, last seen flying near;Missing: One small drone, last seen flying near Maple Street...;Missing: One small drone, last seen flying near Maple Street...
I’m organizing a winter;I’m organizing a winter clothing drive for the homeless shelter...;organizing a winter clothing drive for the homeless shelter downtown
Heads Up, the Annual Community Cleanup will;Heads up, the annual community cleanup will be this Saturday....;Annual community cleanup this Saturday, focusing on the riverbank
Be on the lookout for increased deer activity near;Community Alert: Be on the lookout for increased deer activity...;Increased deer activity near wooded areas of our neighborhood
I’m Offering Math Tutoring;I’m offering math tutoring for high school students. If your...;Math tutoring for high school students
If Finds a Set of Silver Hoop Earrings at;If anyone finds a set of silver hoop earrings at...;set of silver hoop earrings at the community gym
Notice: The Water Main on Jefferson Ave Will Be Shut...;Notice: The water main on Jefferson Ave will be shut...;Emergency Repairs Tomorrow From 10 AM Until About 3 PM
Found a Child's Stuffed Bear in the Park...;Found a child's stuffed bear in the park near the...;Found a child's stuffed bear in the park near the...
The local Theater Group Needs Your Help!;The local theater group is looking for props and vintage...;Looking for props and vintage clothing for 1920s play
Our community's annual book;Our community's annual book fair is returning! We’re currently accepting...;Accepting donations of books in good condition
Renew Pet Licenses by the End of This Month;A reminder that pet licenses need to be renewed by...;A reminder that pet licenses need to be renewed by...
Volunteers Needed for Community Garden’s Fall Planting Event Next Week;Volunteers needed for the community garden’s fall planting event next...;Volunteers needed for the community garden’s fall planting event
Let's ace these exams together!;Looking for a study buddy for German language exams. If...;Looking for a study buddy for German language exams
The high school jazz band will be giving a free...;The high school jazz band will be giving a free...;Free concert at the town square this Thursday at 7...
If you're an expert in crafting;If you’re an expert in crafting, consider leading a workshop...;looking for people to teach sewing, pottery, and more this...
The local food pantry is running;The local food pantry is running low on supplies. We're...;Running low on supplies. Urgent need of canned vegetables, peanut...
Free Yoga Classes;Free yoga classes are being offered at the park every...;Free yoga classes at the park every Sunday morning
Car-Free Day;Our neighborhood is organizing a car-free day next month to...;Join us in leaving your car at home
Lost: A gold bracelet;Lost: A gold bracelet in the vicinity of Pine Street...;Lost: A gold bracelet in the vicinity of Pine Street...
The local volunteer fire department;The local volunteer fire department is hosting an open house...;Local volunteer fire department hosting open house next weekend
Attention all tech enthusiasts;Attention all tech enthusiasts: We're forming a new club to...;Attention all tech enthusiasts: We're forming a new club to...
Heads Up! There Will Be a Temporary Road Closure on...;Heads up! There will be a temporary road closure on...;temporary road closure on Elm Street this weekend due to...
I Found a Set of House Keys Near the Fountain...;I found a set of house keys near the fountain...;Keys found near fountain downtown with red soccer ball keychain
