A;B;C
If anyone is interested in a weekly knitting and crochet...;If anyone is interested in a weekly knitting and crochet...;Weekly knitting and crochet group at community center lounge
Local School Board Meeting Alert;Local school board meeting alert: Join us this Thursday evening...;Local school board meeting alert: Join us this Thursday evening...
Increased patrols have begun in response;Neighbourhood watch update: Increased patrols have begun in response to...;Increased patrols have begun in response to recent nearby incidents.
I Looking for a running partner?;Looking for a running partner? I run three times a...;Looking for a running partner?
Are you a local artist or craftsperson?;Are you a local artist or craftsperson? We're setting up...;setting up a weekend market next month. Tables are first...
Yoga classes now available at the;Yoga classes now available at the fitness center! Beginners are...;Yoga classes now available at the fitness center!
The Great Believers;Library reminder: The book club meets next Tuesday to discuss...;Book club meets next Tuesday to discuss 'The Great Believers'
Anyone Lost a Grey Tabby Cat;Anyone lost a grey tabby cat in the Maple Street...;lost a grey tabby cat in the Maple Street area
Join our neighborhood cleanup day!;Join our neighborhood cleanup day!...;Join our neighborhood cleanup day!
Reminder: Dog Walking is Not Allowed;Reminder: Dog walking is not allowed on the artificial turf...;Dog walking is not allowed on the artificial turf field
Found: A pair of prescription glasses;Found: A pair of prescription glasses in a black case...;Found: A pair of prescription glasses in a black case
I’m Trying to Find a Home for a Friendly Stray...;I’m trying to find a home for a friendly stray...;Finding a Home for a Friendly Stray Cat
Local Youth Soccer Club is Looking for Sponsors;The local youth soccer club is looking for sponsors for...;Looking for sponsors for upcoming youth soccer club season
There's a new exhibit;There's a new exhibit on regional wildlife at the Natural...;New exhibit on regional wildlife at the Natural History Museum
I need to clean out my gutters;Does anyone have a ladder I can borrow for a...;borrow a ladder for a day or two?
A documentary film about the history of our town;A documentary film about the history of our town is...;A documentary film about the history of our town
Missing: One small drone;Missing: One small drone, last seen flying near Maple Street...;Missing: One small drone, last seen flying near Maple Street...
Donations of costumes and props needed for local theatre's season.;The local theatre is seeking donations of costumes and props...;Seeking donations of costumes and props for upcoming season
Annual Community Yard Sale;The annual community yard sale is scheduled for next Saturday...;Community Yard Sale Scheduled Next Saturday at Riverside Park
Join the community choir - fun, no auditions required!;The community choir is seeking enthusiastic voices! Join us for...;Seeking enthusiastic voices for community choir! Join us for fun
Urgent Requirement for Canned Food Donations;Urgent requirement for canned food donations at our local food...;Urgent requirement for canned food donations at our local food...
Exciting Opportunity for Creatives!;Exciting opportunity for creatives! A new arts magazine is looking...;Exciting opportunity for creatives! A new arts magazine is looking...
Experiencing Computer Troubles;Experiencing computer troubles? Any recommendations for a trusted local technician...;Experiencing computer troubles?
Found: Black hiking poles with blue grips at Mount Parker...;Found: Black hiking poles with blue grips at Mount Parker...;Found: Black hiking poles with blue grips at Mount Parker...
Neighborhood Watch Meeting This Thursday;Reminder: Neighborhood watch meeting this Thursday at 7 PM at...;Neighborhood watch meeting this Thursday at 7 PM
Free Yas Free Yoga;Free yoga classes this weekend at the park! Bring a...;Free yoga classes this weekend at the park! Bring a...
Looking for Volunteering Opportunities at Annual Town Festival;Looking for volunteers to help with the annual town festival....;annual town festival. It's a great way to meet people...
The Community Garden is Now Open for Registration;The community garden is now open for registration. Secure your...;Secure your plot to grow your own vegetables and flowers
Lost Dog Alert;Lost dog alert: Small brown terrier, last seen near Oak...;Lost dog alert: Small brown terrier, last seen near Oak...
Garage sale this Saturday on Elm St;Garage sale this Saturday on Elm St from 8 AM...;Garage sale this Saturday on Elm St from 8 AM...
Join Our Monthly Book Discussion Group;Book lovers unite! Join our monthly book discussion group. This...;Book lovers unite! Join our monthly book discussion group.
A New Craft Bakery in Town;Opening soon: A new craft bakery in town. We ......;A new craft bakery in town
Street Art Competition This Month. Artists Wanted!;Street art competition this month. Artists wanted! Showcase your skills...;Street art competition this month. Artists wanted!
Tree Planting Event;Tree planting event next month â€“ volunteers needed to help...;Tree planting event next month â€“ volunteers needed
Piano Teacher Offering Lessons for All Ages;Piano teacher offering lessons for all ages and skill levels....;Piano teacher offering lessons for all ages and skill levels.
Lost Cat: Grey with White Paws;Lost cat: Grey with white paws, very friendly. Last seen...;Lost cat: Grey with white paws, very friendly
Neighborhood Car Wash Fundraiser This Sunday;Neighborhood car wash fundraiser this Sunday at the high school...;Neighborhood car wash fundraiser this Sunday at the high school...
A Midsummer Night's Dream;Local theater group holding auditions for 'A Midsummer Night's Dream'....;Auditions for 'A Midsummer Night's Dream' - All talent levels...
Local Artisan Market this Sunday;Local artisan market this Sunday â€“ come support our talented...;Local artisan market this Sunday â€“ come support our talented...
Notice for Roadworks on Main St. starting next week.;Notice for roadworks on Main St. starting next week. Expect...;Roadworks on Main St. starting next week
Seasonal Flu Vaccinations Available;Seasonal flu vaccinations available at the community health center. Protect...;Seasonal flu vaccinations available at the community health center.
Lost Digital Camera Reward;Lost: Digital camera near the community center. Contains personal photos....;Lost: Digital camera near the community center
Meet Your Neighbors and Learn About Our Community Services;Coffee morning for new residents. Come meet your neighbors and...;Coffee morning for new residents
Free Computer Programming Workshop this Weekend;Free computer programming workshop this weekend at the library. Beginners...;Free computer programming workshop this weekend at the library.
Historical Society Lecture on the Town's Founding Pioneers;Historical society lecture on the town's founding pioneers. Join us...;Historical society lecture on the town's founding pioneers
Keep Our Parks Clean!;Keep our parks clean! Participate in the community cleanup this...;Community cleanup this Saturday. Equipment provided.
Thinking of Adopting a Pet? Visit Our Local Animal Shelter;Thinking of adopting a pet? Visit our local animal shelter...;adopting a pet? Visit our local animal shelter this weekend
Urgently Needed: Volunteers for the Community Soup Kitchen;Urgently needed: Volunteers for the community soup kitchen. Help provide...;Urgently needed: Volunteers for the community soup kitchen
Spice up your weekend with our international;Spice up your weekend with our international food fair at...;Spice up your weekend with our international food fair
Found: A small gold ring at the city park near...;Found: A small gold ring at the city park near...;A small gold ring at the city park near the...
