A;B;C
Craft Fair next weekend at Oakwood School!;Craft Fair next weekend at Oakwood School! Local artisans will...;Craft Fair next weekend at Oakwood School!
Have A Green Thumb?;Have a green thumb? Help plant new trees at Liberty...;Help plant new trees at Liberty Park next Saturday
Clean Water ProjectMeeting this Thursday;Clean Water Project meeting this Thursday at the community office....;keeping our waters clean
Discover Historic walking tour of Old Town every Saturday morning.;Historic walking tour of Old Town every Saturday morning. Discover...;Discover hidden gems with local experts
"""Join our monthly book club this Tuesday""";Join our monthly book club at the library this Tuesday....;monthly book club at the library this Tuesday
Run for a cause!;Run for a cause! Charity 5K run next Wednesday at...;Charity 5K run next Wednesday at City Plaza
Neighborhood cleanup day is around the corner!;Neighborhood cleanup day is around the corner! Meet at Pine...;Neighborhood cleanup day is around the corner
Weekly Chess Nights Start;Chess enthusiasts! Weekly chess nights start this Thursday at the...;Chess enthusiasts! Weekly chess nights start this Thursday at the...
Get Ready for the Kids Talent Show;Get ready for the Kids Talent Show! It's going down...;It's going down at the community hall next month
Update Your Wardrobe at the Clothing Swap Event;Update your wardrobe at the Clothing Swap Event next Friday...;Clothing Swap Event next Friday at the fitness center
Zumba Party at Central Gym;Zumba party at Central Gym every Monday at 7 PM....;Zumba party at Central Gym every Monday at 7 PM.
Harvest Celebration;Harvest Celebration at the Heritage Farm next Saturday. Enjoy local...;Harvest Celebration at the Heritage Farm next Saturday
Learn about Local Bird Species at our Bird Watching Club;Learn about local bird species at our Bird Watching Club....;Bird Watching Club. First meeting this Sunday at the Nature...
Film Night Under the Stars This Friday;Film night under the stars at the community park this...;Film night under the stars at the community park this...
Join our city's Citizen Assembly to discuss;Join our cityâ€™s Citizen Assembly to discuss upcoming projects and...;Your voice matters!
Help make a difference for animals in need;Volunteer with us at the local animal shelter this weekend....;Volunteer with us at the local animal shelter this weekend
