A;B;C
Is anyone else interested in sustainable living?;Is anyone else interested in sustainable living? I'm trying to...;Interested in sustainable living?
The Community College is Offering a Series of Free Workshops;The community college is offering a series of free workshops...;Free workshops on financial literacy starting next week
Found: A Child's Drawing Pad with Sketches;Found: A child’s drawing pad with sketches, found on a...;Child’s drawing pad with sketches, found on a bench
Reminder: Next Saturday is the deadline for registering;A reminder that next Saturday is the deadline for registering...;Deadline for registering for the community soccer league
The Downtown Parking Garage Will Be Undergoing Renovations;The downtown parking garage will be undergoing renovations starting next...;Downtown parking garage undergoing renovations starting next month
A drone was found in the;A drone was found in the high school football field...;Drone found in high school football field with camera
The local senior center is looking for volunteers to;The local senior center is looking for volunteers to help...;help our seniors stay connected
Lost: A silver locket near Cedar Mall, sentimental value;Lost: A silver locket near Cedar Mall, sentimental value, contains...;Lost: A silver locket near Cedar Mall, sentimental value, contains...
The community theater's costume department is in urgent need;The community theater's costume department is in urgent need of...;Urgent need of fabric donations for 'Romeo and Juliet'
Reminder: Quarterly Bulk Waste Collection;Reminder: The quarterly bulk waste collection is scheduled for next...;Quarterly Bulk Waste Collection Next Week: Place Items Curbside by...
Meet the Author this Friday;"The public library is starting a new series called ""Meet...";"New series called ""Meet the Author"" this month"
I'm a Professional Photographer;I'm a professional photographer offering mini photo sessions this weekend...;Professional photographer offering mini photo sessions this weekend
Found: A set of professional drawing tools in a leather...;Found: A set of professional drawing tools in a leather...;Found: A set of professional drawing tools in a leather...
Bring the kids to the neighborhood park's new playground this...;The neighborhood park's new playground equipment installation has been completed....;Neighborhood park's new playground equipment installation completed
Volunteers Needed for Winter Festival;Volunteers are needed for the upcoming Winter Festival. If you...;Volunteers are needed for the upcoming Winter Festival
Lost: A wristwatch with a blue strap;Lost: A wristwatch with a blue strap, last seen in...;keepsake with great sentimental value
The Local Garden Club's Free Session on Winter Gardening;The local garden club is offering a free session on...;Winter Gardening Session this Wednesday at 3 PM
The town's traffic light upgrade;The town's traffic lights at the intersection of Main and...;Town's traffic lights at intersection of Main and Orchard being...
Reminder: Dog Walking Restrictions;Reminder: Dog walking is not allowed on the artificial turf...;Reminder: Dog walking is not allowed on the artificial turf...
The community center is hosting a;The community center is hosting a donation drive for school...;Donation drive for school supplies at community center
The City's Annual Tree Planting Event This Saturday;Reminder: The city’s annual tree planting event is happening this...;Annual tree planting event this Saturday at Greenway Park
;Found: A small silver bracelet near the bus stop on...;Found: A small silver bracelet near the bus stop on...
Looking for recommendations for a reliable;Looking for recommendations for a reliable babysitter in the area....;Looking for recommendations for a reliable babysitter in the area.
The community library's Wi-Fi will be upgraded;The community library's Wi-Fi will be upgraded this Thursday, leading...;Potential Service Interruptions from 8 AM to 12 PM
The Local Youth Soccer Club is Looking for Sponsors;The local youth soccer club is looking for sponsors for...;Looking for sponsors for upcoming season
Join us for a bird-watching walk through Miller Woods this;Attention bird enthusiasts: Join us for a bird-watching walk through...;Join us for a bird-watching walk through Miller Woods this...
Lost: A pair of prescription sunglasses at Sunset Park;Lost: A pair of prescription sunglasses at Sunset Park. They...;Lost: A pair of prescription sunglasses at Sunset Park.
The city council is seeking public feedback on the new...;The city council is seeking public feedback on the new...;Share your thoughts in the online survey available on the...
Volunteers needed for the community;Volunteers needed for the community food bank this Friday. We're...;Volunteers needed for the community food bank this Friday
The Importance of Being Earnest;The high school drama club is performing their spring play,...;The high school drama club is performing their spring play
Found: A Drone in Thompson Field;Found: A drone in Thompson Field, likely from a recent...;Found: A drone in Thompson Field, likely from a recent...
The Neighborhood Watch Program is Organizing a Safety Workshop;The neighborhood watch program is organizing a safety workshop focused...;Safety workshop focused on personal and home security
The Annual Book Sale;The annual book sale at the library is now accepting...;annual book sale at the library is now accepting donations
I Need a Helping Hand?;Need a helping hand? I’m available for babysitting or pet...;Available for babysitting or pet sitting services within the neighborhood
I accidentally ordered two of the same book;I accidentally ordered two of the same book online. It's...;extra copy off me at a discounted price
Lost: A small gold earring with a blue gemstone...;Lost: A small gold earring with a blue gemstone, possibly...;Lost: A small gold earring with a blue gemstone...
The City is Conducting a Survey;The city is conducting a survey to understand the community’s...;Your input is valuable and will help guide future developments
The local veterans' home is looking;The local veterans' home is looking for volunteers to spend...;Looking for volunteers to spend time with residents
Annual Fireworks Display at the Waterfront;Reminder: The annual fireworks display for the Fourth of July...;Annual fireworks display for the Fourth of July at the...
The Environmental Club is Leading a Cleanup;The environmental club is leading a cleanup at Beachy Head...;Cleanup at Beachy Head this Saturday. Supplies and snacks provided
Lost: A set of keys with a red fob;Lost: A set of keys with a red fob, last...;Lost: A set of keys with a red fob
Attention All Runners;Attention all runners: The community 5K is just around the...;community 5K is just around the corner. Sign up to...
How to make your own candles;The crafters guild is hosting a workshop on how to...;Workshop on how to make your own candles
No Parking on Main Street this Saturday;Reminder: No parking on Main Street this Saturday due to...;No parking on Main Street this Saturday due to the...
Join The Community Orchestra;The community orchestra is looking for musicians who play woodwind...;Looking for musicians who play woodwind instruments
We’re Putting Together a Community Quilt;We’re putting together a community quilt and looking for contributors....;looking for contributors
A child's drawing pad filled with sketches;Found: A child's drawing pad filled with sketches, left behind...;Child's drawing pad found filled with sketches at Central Park
The city is updating its zoning regulations.;The city is updating its zoning regulations. A public hearing...;Updating zoning regulations: Public hearing for resident input
The Downtown Farmers' Market is Now Open;The downtown farmers' market is now open every Sunday from...;Come support local farmers and artisans while enjoying fresh produce...
A Free Vaccination Clinic for Pets Will Be Held;Attention all pet owners: A free vaccination clinic for pets...;Free vaccination clinic for pets next Saturday
