A;B
Is Anyone Else Interested in Sustainable Living;The community college is offering a series of free workshops...
FREE WORKSHOPS ON FINANCIAL LITERACY;Found: A child’s drawing pad with sketches, found on a...
Found: A Child's Drawing Pad with Superhero Drawings;A reminder that next Saturday is the deadline for registering...
Next Saturday is the deadline for registering for the community...;The downtown parking garage will be undergoing renovations starting next...
Downtown Parking Garage Renovations Starting Next Month;A drone was found in the high school football field...
Drone Found in High School Football Field;The local senior center is looking for volunteers to help...
Tech Tutoring Sessions Needed at Local Senior Center;Lost: A silver locket near Cedar Mall, sentimental value, contains...
Lost: Silver Locket near Cedar Mall;The community theater's costume department is in urgent need of...
Fabric Donations Needed for Romeo and Juliet Production;Reminder: The quarterly bulk waste collection is scheduled for next...
Reminder: Quarterly Bulk Waste Collection;"The public library is starting a new series called ""Meet..."
Meet the Author This Friday;I'm a professional photographer offering mini photo sessions this weekend...
I'm a professional photographer offering mini photo sessions this weekend...;Found: A set of professional drawing tools in a leather...
Found: Professional drawing tools in a leather case;The neighborhood park's new playground equipment installation has been completed....
Bring the kids this weekend for the official opening;Volunteers are needed for the upcoming Winter Festival. If you...
Volunteers Needed for Winter Festival;Lost: A wristwatch with a blue strap, last seen in...
Lost: A wristwatch with a blue strap;The local garden club is offering a free session on...
Winter Gardening - How to Prepare Your Garden;The town's traffic lights at the intersection of Main and...
Traffic Lights Upgrades Next Week;Reminder: Dog walking is not allowed on the artificial turf...
Reminder: Dog walking is not allowed on the artificial turf...;The community center is hosting a donation drive for school...
The Community Center is Hosting a Donation Drive for School...;Reminder: The city’s annual tree planting event is happening this...
The city's annual tree planting event is happening this Saturday;Found: A small silver bracelet near the bus stop on...
FOUND: Small Silver Bracelet near Bus Stop;Looking for recommendations for a reliable babysitter in the area....
Looking for Reliable Babysitter;The community library's Wi-Fi will be upgraded this Thursday, leading...
The community library's Wi-Fi will be upgraded this Thursday, leading...;The local youth soccer club is looking for sponsors for...
Businesses Needed for Sponsorship;Attention bird enthusiasts: Join us for a bird-watching walk through...
Attention bird enthusiasts: Join us for a bird-watching walk through...;Lost: A pair of prescription sunglasses at Sunset Park. They...
LOST: Black Ray-Bans at Sunset Park;The city council is seeking public feedback on the new...
The City Council Seeks Public Feedback on New Bike Lanes;Volunteers needed for the community food bank this Friday. We're...
Volunteers Needed for Community Food Bank;The high school drama club is performing their spring play,...
The Importance of Being Earnest;Found: A drone in Thompson Field, likely from a recent...
Found: A Drone in Thompson Field;The neighborhood watch program is organizing a safety workshop focused...
Join Us For A Safety Workshop;The annual book sale at the library is now accepting...
The annual book sale at the library is now accepting...;Need a helping hand? I’m available for babysitting or pet...
Need a helping hand?;I accidentally ordered two of the same book online. It's...
I ACCIDENTALLY ORDERED TWO OF THE SAME BOOK;Lost: A small gold earring with a blue gemstone, possibly...
LOST: Small Gold Earring with Blue Gemstone;The city is conducting a survey to understand the community’s...
The City Conducts Survey To Understand Community Needs;The local veterans' home is looking for volunteers to spend...
Volunteers Needed for Local Veterans' Home;Reminder: The annual fireworks display for the Fourth of July...
The Annual Fireworks Display;The environmental club is leading a cleanup at Beachy Head...
Meet at the main parking lot at 10 AM.;Lost: A set of keys with a red fob, last...
Lost: A set of keys with a red fob near...;Attention all runners: The community 5K is just around the...
Attention all runners: The community 5K is just around the...;The crafters guild is hosting a workshop on how to...
How to Make Your Own Candles;Reminder: No parking on Main Street this Saturday due to...
Vehicles parked illegally will be towed at the owner's expense;The community orchestra is looking for musicians who play woodwind...
The community orchestra is looking for musicians who play woodwind...;We’re putting together a community quilt and looking for contributors....
We're putting together a community quilt and looking for contributors.;Found: A child's drawing pad filled with sketches, left behind...
Found: Child's Drawing Pad Left at Central Park;The city is updating its zoning regulations. A public hearing...
The City is Updating its Zoning Regulations;The downtown farmers' market is now open every Sunday from...
Every Sunday from 8 AM to 2 PM - Downtown...;Attention all pet owners: A free vaccination clinic for pets...
Attention all pet owners: Free vaccination clinic for pets next...;The local historical society is conducting a walking tour of...
The Local Historical Society is Conducting a Walking Tour;Lost: A blue and white striped beach towel, left on...
Lost: A blue and white striped beach towel;It has great sentimental value as it was a gift....
If Found, Please Contact Me;Found: A GoPro camera near the trails at Ridgeback Mountain....
Found: GoPro camera near Ridgeback Mountain trails;The jazz ensemble from the community college will be performing...
Jazz Ensemble Performing Live at City Park This Friday Evening;Notice of power outages: Scheduled electrical maintenance will occur this...
Scheduled Electrical Maintenance;I've just started a blog about our neighborhood’s history and...
I've just started a blog about our neighborhood's history;Attention all pet owners: A free vaccination clinic for pets...
Attention All Pet Owners: Free Vaccination Clinic Next Saturday;The local volunteer fire department is hosting an open house...
Meet the Firefighters and Learn About Fire Safety;If anyone needs help setting up their new computers or...
If Anyone Needs Help Setting Up Their New Computers;Join us for a night at the movies in the...
Join us for a night at the movies in the...;Reminder: The annual neighborhood garage sale is happening this Sunday...
Annual Neighborhood Garage Sale;Get your sneakers on for the charity run next month!...
Get Your Sneakers On for the Charity Run;A meditation and yoga session will be held every Sunday...
Start Your Week with Some Peace;The local library is introducing 'author of the month' series...
"""Author of the Month Series""";Lost: A blue and white striped beach towel, left on...
LOST: Blue and white striped beach towel;The city park department is looking for volunteers to help...
City Park Department Seeking Volunteers;Our local pet shelter is in desperate need of foster...
Our local pet shelter is in desperate need of foster...;The seniors' center is looking for volunteer drivers to help...
Volunteer Drivers Needed for Weekly Grocery Shopping Trips;Community Alert: There have been reports of suspicious activities in...
Community Alert: There Have Been Reports of Suspicious Activities;I’m organizing a winter clothing drive for the homeless shelter...
Iâ€™m organizing a winter clothing drive for the homeless shelter...;Attention, pet owners! There have been reports of increased tick...
Increased tick activity in local parks.;Notice: The water main on Jefferson Ave will be shut...
Notice: The Water Main on Jefferson Ave Will Be Shut...;The annual river cleanup is happening this weekend. We're looking...
