Posts;Subject Line A;Subject Line B;Subject Line C
Have a green thumb? Help plant new trees at Liberty Park next Saturday. Tools and guidance provided.;Have a green thumb? Help plant new trees at Liberty...;Have a green thumb?;Plant New Trees at Liberty Park
Clean Water Project meeting this Thursday at the community office. Come and learn how you can contribute to keeping our waters clean.;Clean Water Project meeting this Thursday at the community office....;Clean Water Project this Thursday;Clean Water Project Meeting This Thursday
Historic walking tour of Old Town every Saturday morning. Discover hidden gems with local experts.;Historic walking tour of Old Town every Saturday morning. Discover...;Historic Walking Tour of Old Town;Explore Old Town with local experts
Join our monthly book club at the library this Tuesday. This monthâ€™s read is 'The Great Gatsby.';Join our monthly book club at the library this Tuesday....;The Great Gatsby;Join Our Monthly Book Club
Run for a cause! Charity 5K run next Wednesday at City Plaza. Register now to support local charities.;Run for a cause! Charity 5K run next Wednesday at...;Run for a cause! Charity 5K run next Wednesday at...;Run next Wednesday at City Plaza
Neighborhood cleanup day is around the corner! Meet at Pine Street this Sunday at 9 AM. Equipment and refreshments provided.;Neighborhood cleanup day is around the corner! Meet at Pine...;Neighborhood Cleanup Day This Sunday;Neighborhood Cleanup Day
Chess enthusiasts! Weekly chess nights start this Thursday at the downtown cafe. All skill levels are welcome.;Chess enthusiasts! Weekly chess nights start this Thursday at the...;Weekly Chess Nights Start This Thursday;Chess Nights This Thursday
Get ready for the Kids Talent Show! It's going down at the community hall next month. Sign up your little stars now.;Get ready for the Kids Talent Show! It's going down...;Get Ready for the Kids Talent Show!;Get ready for the Kids Talent Show!
Update your wardrobe at the Clothing Swap Event next Friday at the fitness center. Bring items you no longer need and find something new!;Update your wardrobe at the Clothing Swap Event next Friday...;Update Your Wardrobe;Bring items you no longer need
Zumba party at Central Gym every Monday at 7 PM. A fun way to stay fit and meet neighbors.;Zumba party at Central Gym every Monday at 7 PM....;Zumba party every Monday at 7 PM;Every Monday at 7 PM
Harvest Celebration at the Heritage Farm next Saturday. Enjoy local food, crafts, and music.;Harvest Celebration at the Heritage Farm next Saturday. Enjoy local...;Harvest Celebration next Saturday.;Enjoy local food, crafts, and music
Learn about local bird species at our Bird Watching Club. First meeting this Sunday at the Nature Reserve.;Learn about local bird species at our Bird Watching Club....;Learn about Local Bird Species;Bird Watching Club - this Sunday
Film night under the stars at the community park this Friday. We're showing 'Back to the Future.' Free popcorn included!;Film night under the stars at the community park this...;Film Night Under the Stars This Friday;Community park tonight
Join our cityâ€™s Citizen Assembly to discuss upcoming projects and city planning. Your voice matters!;Join our cityâ€™s Citizen Assembly to discuss upcoming projects and...;Your Voice Matters!;Discuss upcoming projects and city planning
Volunteer with us at the local animal shelter this weekend. Help make a difference for animals in need.;Volunteer with us at the local animal shelter this weekend....;Help Make a Difference for Animals in Need;Help animals in need this weekend
Urgent: Our local library is at capacity with books waiting for readers! If you've been considering borrowing a book, now is a great time. There are many titles and authors waiting to be discovered. Library fees are waived this month.;Urgent: Our local library is at capacity with books waiting...;Urgent: Our local library is at capacity with books waiting...;Books waiting for readers
