A;B
If anyone is interested in a weekly knitting and crochet...;If anyone is interested in a weekly knitting and crochet...
Local School Board Meeting Alert;Local school board meeting alert: Join us this Thursday evening...
Increased patrols have begun in response;Neighbourhood watch update: Increased patrols have begun in response to...
I Looking for a running partner?;Looking for a running partner? I run three times a...
Are you a local artist or craftsperson?;Are you a local artist or craftsperson? We're setting up...
Yoga classes now available at the;Yoga classes now available at the fitness center! Beginners are...
The Great Believers;Library reminder: The book club meets next Tuesday to discuss...
Anyone Lost a Grey Tabby Cat;Anyone lost a grey tabby cat in the Maple Street...
Join our neighborhood cleanup day!;Join our neighborhood cleanup day!...
Reminder: Dog Walking is Not Allowed;Reminder: Dog walking is not allowed on the artificial turf...
Found: A pair of prescription glasses;Found: A pair of prescription glasses in a black case...
I’m Trying to Find a Home for a Friendly Stray...;I’m trying to find a home for a friendly stray...
Local Youth Soccer Club is Looking for Sponsors;The local youth soccer club is looking for sponsors for...
There's a new exhibit;There's a new exhibit on regional wildlife at the Natural...
I need to clean out my gutters;Does anyone have a ladder I can borrow for a...
A documentary film about the history of our town;A documentary film about the history of our town is...
Missing: One small drone;Missing: One small drone, last seen flying near Maple Street...
Donations of costumes and props needed for local theatre's season.;The local theatre is seeking donations of costumes and props...
Annual Community Yard Sale;The annual community yard sale is scheduled for next Saturday...
Join the community choir - fun, no auditions required!;The community choir is seeking enthusiastic voices! Join us for...
Urgent Requirement for Canned Food Donations;Urgent requirement for canned food donations at our local food...
Exciting Opportunity for Creatives!;Exciting opportunity for creatives! A new arts magazine is looking...
Experiencing Computer Troubles;Experiencing computer troubles? Any recommendations for a trusted local technician...
Found: Black hiking poles with blue grips at Mount Parker...;Found: Black hiking poles with blue grips at Mount Parker...
Neighborhood Watch Meeting This Thursday;Reminder: Neighborhood watch meeting this Thursday at 7 PM at...
Free Yas Free Yoga;Free yoga classes this weekend at the park! Bring a...
Looking for Volunteering Opportunities at Annual Town Festival;Looking for volunteers to help with the annual town festival....
The Community Garden is Now Open for Registration;The community garden is now open for registration. Secure your...
Lost Dog Alert;Lost dog alert: Small brown terrier, last seen near Oak...
Garage sale this Saturday on Elm St;Garage sale this Saturday on Elm St from 8 AM...
Join Our Monthly Book Discussion Group;Book lovers unite! Join our monthly book discussion group. This...
A New Craft Bakery in Town;Opening soon: A new craft bakery in town. We ......
Street Art Competition This Month. Artists Wanted!;Street art competition this month. Artists wanted! Showcase your skills...
Tree Planting Event;Tree planting event next month â€“ volunteers needed to help...
Piano Teacher Offering Lessons for All Ages;Piano teacher offering lessons for all ages and skill levels....
Lost Cat: Grey with White Paws;Lost cat: Grey with white paws, very friendly. Last seen...
Neighborhood Car Wash Fundraiser This Sunday;Neighborhood car wash fundraiser this Sunday at the high school...
A Midsummer Night's Dream;Local theater group holding auditions for 'A Midsummer Night's Dream'....
Local Artisan Market this Sunday;Local artisan market this Sunday â€“ come support our talented...
Notice for Roadworks on Main St. starting next week.;Notice for roadworks on Main St. starting next week. Expect...
Seasonal Flu Vaccinations Available;Seasonal flu vaccinations available at the community health center. Protect...
Lost Digital Camera Reward;Lost: Digital camera near the community center. Contains personal photos....
Meet Your Neighbors and Learn About Our Community Services;Coffee morning for new residents. Come meet your neighbors and...
Free Computer Programming Workshop this Weekend;Free computer programming workshop this weekend at the library. Beginners...
Historical Society Lecture on the Town's Founding Pioneers;Historical society lecture on the town's founding pioneers. Join us...
Keep Our Parks Clean!;Keep our parks clean! Participate in the community cleanup this...
Thinking of Adopting a Pet? Visit Our Local Animal Shelter;Thinking of adopting a pet? Visit our local animal shelter...
Urgently Needed: Volunteers for the Community Soup Kitchen;Urgently needed: Volunteers for the community soup kitchen. Help provide...
Spice up your weekend with our international;Spice up your weekend with our international food fair at...
Found: A small gold ring at the city park near...;Found: A small gold ring at the city park near...
