A;B
Volunteer Drivers Needed for Grocery Shopping Trips;The seniors' center is looking for volunteer drivers to help...
The annual community clean-up day is fast approaching.;The annual community clean-up day is fast approaching. Gather at...
Reminder: Property Taxes Are Due;Reminder: Property taxes are due at the end of the...
The city's annual jazz festival;The city's annual jazz festival is looking for volunteers. If...
Keep Sidewalks Clear of Leaves and Debris;Community service reminder: Please keep sidewalks clear of leaves and...
Our local pet shelter is in;Our local pet shelter is in desperate need of foster...
We're starting a community cycling group;We're starting a community cycling group that will meet every...
I'm a professional photographer offering mini;I'm a professional photographer offering mini photo sessions this weekend...
The Neighborhood Association is Looking;The neighborhood association is looking for articles and photos for...
The local Veterans Group Charity Raffle;The local veterans' group is organizing a charity raffle to...
I'm offering tutoring services for;I'm offering tutoring services for middle and high school students...
Join Us for the annual Tree Planting Day this Sunday;Join us for the annual Tree Planting Day this Sunday...
CPR and First Aid Training Session This Saturday;There will be a CPR and first aid training session...
Please message me if interested.;Please message me if interested....
Iâ€™m trying to find a friendly stray cat Iâ€™ve been...;Iâ€™m trying to find a home for a friendly stray...
The annual food drive starts;The annual food drive for the local pantry starts next...
We Are Initiating a Neighborhood Carpool Program;We are initiating a neighborhood carpool program. If you're interested...
It has great sentimental value;It has great sentimental value as it was a gift....
A small drone;Lost: A small drone, last seen flying over Maple Park...
Friendly Dog Found near Elm Street;Friendly dog found near Elm Street. Appears to be a...
Community Potluck this Saturday;Reminder: Community potluck this Saturday at 5 PM in the...
Looking for volunteers;Looking for volunteers to help with the school fundraiser event...
MISSING: Black and white tuxedo, very shy.;Missing cat: Black and white tuxedo, very shy. Last seen...
Join us for our annual Easter Egg Hunt;Join us for our annual Easter egg hunt this Sunday...
Free Piano Lessons;Free piano lessons offered at the local library every Wednesday....
Come and find your treasure;Garage sale this weekend at 45 Oak Avenue. Come and...
Free Yoga Classes Available;Free yoga classes available at the community center. Classes every...
Urgent: Volunteers Needed;Urgent: Volunteers needed for the riverside clean-up project this Saturday....
Silver locket with a picture inside;Lost: Silver locket with a picture inside, highly sentimental. Lost...
Neighborhood watch meeting this Wednesday at 7 PM;Neighborhood watch meeting this Wednesday at 7 PM. Discussing recent...
Found: Set of car keys near the Main Square.;Found: Set of car keys near the Main Square. Please...
Discussing 'To Kill a Mockingbird';Reminder: Book club meeting tonight at the public library. Discussing...
Request for Old Magazines and Books;Request for old magazines and books for the senior center....
Help Needed: Looking for Someone to Assist;Help needed: Looking for someone to assist with walking dogs...
Lost: Kidsâ€™ Backpack with Superheroes Design Near Town Playground;Lost: Kidsâ€™ backpack, red with superheroes design, near town playground....
Neighborhood BBQ this Sunday;Neighborhood BBQ this Sunday! Join us at Green Meadow Park...
Found: Kidsâ€™ plush toy;Found: Kidsâ€™ plush toy near the community garden. If yours,...
Substitute Teacher Needed;Substitute teacher needed for community art class. If you have...
Lost: Prescription Glasses;Lost: Prescription glasses, black frame, near the downtown cafe last...
Found: Antique Bracelet with Charms;Found: Bracelet with charms, looks antique. Found on Oak Street,...
Community garden plots now available;Community garden plots now available for the spring season. If...
Lost: Small notebook, blue cover, with personal notes;Lost: Small notebook, blue cover, with personal notes, near High...
Moving Assistance Needed This Friday;Help request: Moving assistance needed this Friday from 9 to...
Curbside Pickup Starts Next Week;Curbside pickup for large trash items starts next week. Ensure...
Attention dog owners: A;Attention dog owners: A new dog park is opening next...
Our Neighborhood Watch Meeting Concerns Over Vehicle Break-Ins;Our neighborhood watch is organizing a meeting to discuss recent...
Property taxes are due at the end of the month.;Reminder: Property taxes are due at the end of the...
We're looking for local bands;We're looking for local bands to perform at the upcoming...
The Haunted House Fundraiser is Back;The annual haunted house fundraiser is back! We're looking for...
New Book Club Alert;New Book Club Alert: Lovers of literature are invited to...
