A;B
The community garden is looking for volunteers;The community garden is looking for volunteers to help with...
Bring Your Favorite Snacks and Blankets;We're hosting a movie night at the park next Friday!...
Are You an Artist or Crafty Person?;Are you an artist or crafty person? Share your talents...
Furry Friends Adoption Event This Saturday;"The local animal shelter is hosting a ""Furry Friends"" adoption..."
Gently Used Books of All Genres;The town's library is having a book sale to raise...
Taste of [Town] Food Festival This Weekend!;"Join us for our annual ""Taste of [Town]"" food festival..."
Free Yoga Class for Beginners Next Wednesday;The town's recreation department is offering a free yoga class...
Knit-a-Thon This Saturday;Calling all crafty folks! Our local yarn store is hosting...
Join Us for Free Yoga Class on Saturday Mornings;Join us for a free yoga class on Saturday mornings...
Author Reading Series Starting January 10th;Calling all bookworms! Our library is hosting an author reading...
Get Creative with Our New Art Classes for Adults;Get creative with our new art classes for adults, starting...
Looking to Meet Fellow Dog Lovers?;Looking to meet fellow dog lovers? Join us on Saturday...
Don't miss out on our annual talent show!;Don't miss out on our annual talent show! Auditions are...
Don't miss our free yoga class this Wednesday at;Don't miss our free yoga class this Wednesday at 6...
Used Bookstore Sale This Saturday;Calling all bookworms! Our library is hosting a used bookstore...
Get Ready for the Weekend with Our Live Music Event;Get ready for the weekend with our live music event...
Learn how to paint like a pro next Thursday from...;Learn how to paint like a pro (or just have...
Family Movie Night This Friday;Join us for a family movie night this Friday at...
Join Us For Free Yoga Class;Join us for a free yoga class on the town...
The Local Library's Author Reading Series;The local library is hosting an author reading series this...
Meet Us At The Corner Of Main And Elm Streets...;We're organizing a neighborhood clean-up day for next Saturday! Meet...
The town's annual summer festival is just around the corner;The town's annual summer festival is just around the corner,...
Learn how to knit or crochet with our free workshop...;Learn how to knit or crochet with our free workshop...
Donate Gently Used Books by Next Wednesday;The local library is hosting a book drive to benefit...
Join Us for a Free Outdoor Movie Night at the...;Join us for a free outdoor movie night at the...
Our town's annual summer festival is just around the corner!;Our town's annual summer festival is just around the corner!...
The Community Center Offers Free Fitness Classes for Seniors;The community center is offering a free fitness class for...
Meet Adoptable Pets;We're hosting a pet adoption fair this Saturday from 11...
Join us for a free meditation session at the community...;Join us for a free meditation session at the community...
Get Ready for a Night of Jazz Music;Get ready for a night of jazz music at the...
Calling All Book Lovers!;Calling all book lovers! Our library is hosting an author...
Dance Your Way to Better Health;Looking for a fun way to get fit? Try our...
The Local Animal Shelter Needs Volunteers;The local animal shelter needs volunteers like you! Spend an...
Free Cooking Demonstration at the Farmer's Market this Saturday Morning;Join us for a free cooking demonstration this Saturday morning...
Don't Miss Our Annual FallFest Celebration;Don't miss our annual FallFest celebration on October 15th! Enjoy...
Author Reading Series Starting Next Thursday;The local library is hosting an author reading series starting...
