A;B
Starting an Indoor Soccer League this Winter;We’re starting an indoor soccer league this winter and need...
Annual Community Potluck Next Saturday;The annual community potluck is scheduled for next Saturday at...
The local museum will be closed for renovations;Notice: The local museum will be closed for renovations starting...
If Anyone Needs Assistance;If anyone needs assistance with fall yard cleanup, our high...
A Lost Cat;Lost cat: A small black and white cat named Oreo...
Make a difference for our kids;The youth soccer league is looking for coaches and referees...
The local historical society is hosting a lecture;The local historical society is hosting a lecture on the...
Found: A Small Remote Control Car;Found: A small remote control car in the alley behind...
Annual Haunted House Fundraiser is Back...;The annual haunted house fundraiser is back! We're looking for...
Keep Sidewalks Clear of Leaves and Debris;Community service reminder: Please keep sidewalks clear of leaves and...
The local art gallery is seeking;The local art gallery is seeking submissions for a community...
Good morning, fellow residents!;Good morning, fellow residents! We're organizing a clean-up day at...
I Bake Custom Cakes For Any Occasion;I bake custom cakes for any occasion—birthdays, anniversaries, you name...
Found a Digital Camera at Ridge Trail Viewpoint;Found a digital camera at the viewpoint on Ridge Trail....
Volunteers Needed for the Library's Annual Book Sale;Volunteers needed for the library’s annual book sale. If you...
Lost: A Set of Gold-Rimmed Reading Glasses;Lost: A set of gold-rimmed reading glasses, possibly left in...
Anyone Interested in Joining a Weekly Meal-Prep Group?;Anyone interested in joining a weekly meal-prep group? We get...
Found a set of car keys in Westside Mall;Found a set of car keys in the Westside Mall...
We are seeking guest speakers for our monthly;We are looking for guest speakers for our monthly virtual...
Our local museum seeks volunteers;Our local museum is currently seeking volunteers to help guide...
Join us this Friday at 7 PM in the;The high school band is hosting a charity concert to...
The city will be repaving several roads;The city will be repaving several roads starting next week....
Annual Plant Swap Next Saturday at Botanical Gardens;Our annual plant swap is happening next Saturday at the...
My Computer Has Been Acting Up...;My computer has been acting up, and I think it...
The community center is offering free CPR;The community center is offering free CPR and first aid...
Lost: A small drone, last seen near Pine Grove Park.;Lost: A small drone, last seen near Pine Grove Park....
The Local Food Bank is in Urgent Need of Canned...;The local food bank is in urgent need of canned...
Clean the Creek;"Join us for the annual ""Clean the Creek"" day next..."
I'm offering tutoring services for middle and high school students...;I'm offering tutoring services for middle and high school students...
The Photography Club is Looking for New Members!;The photography club is looking for new members! We meet...
Missing Cat Whiskers;"Missing cat: ""Whiskers,"" a fluffy white Persian, has been missing..."
Seeking Donations of Old Costumes and Props;The community theater is seeking donations of old costumes and...
There's a computer skills workshop this Thursday.;There’s a computer skills workshop focusing on basic skills like...
Found a small child's bike;Found a small child's bike near the community center. It's...
I'm Offering Guitar Lessons;I'm offering guitar lessons in the evenings and weekends. Whether...
Our Local Fire Station Open House;Our local fire station will be holding an open house...
The Neighborhood Council is Hosting a Forum;The neighborhood council is hosting a forum to discuss upcoming...
A friendly reminder that property taxes are due at the...;A friendly reminder that property taxes are due at the...
The Local Art League is Hosting;The local art league is hosting a weekend workshop on...
"The annual ""Books for Kids""";"The annual ""Books for Kids"" drive is happening now. We're..."
Attention all runners: The community 10K;Attention all runners: The community 10K race is just around...
Lost drone alert: I lost my drone while taking aerial...;Lost drone alert: I lost my drone while taking aerial...
Our local history group is seeking old;Our local history group is seeking old photographs and stories...
Found a smartphone in Central Park near the fountain;Found a smartphone in Central Park near the fountain. It's...
The evening classes in web design and digital marketing starting;The local community college is offering evening classes in web...
Our Community Garden Has Plots Available;Our community garden has a few plots available for the...
Light Up the Night;"Our annual ""Light Up the Night"" holiday parade is seeking..."
Lost Pets: Check the Animal Shelter;If you've lost a pet, remember to check the animal...
The Neighborhood Association is Planning;The neighborhood association is planning a series of workshops on...
Free Concert in the Park this Sunday;The local symphony orchestra will be giving a free concert...
