A;B
The Local Historical Society's Walking Tour;The local historical society is conducting a walking tour of...
A Blue And White Striped Beach Towel;Lost: A blue and white striped beach towel, left on...
If found, please contact me.;It has great sentimental value as it was a gift....
A GoPro Camera Found;Found: A GoPro camera near the trails at Ridgeback Mountain....
The Jazz Ensemble from the Community College;The jazz ensemble from the community college will be performing...
Notice of Power Outages;Notice of power outages: Scheduled electrical maintenance will occur this...
I've Started A Blog About Our Neighborhood's;I've just started a blog about our neighborhood’s history and...
Attention All Pet Owners: A free vaccination clinic for pets;Attention all pet owners: A free vaccination clinic for pets...
The local volunteer fire department;The local volunteer fire department is hosting an open house...
If anyone needs help setting up;If anyone needs help setting up their new computers or...
Join Us for a Night at the Movies in the...;Join us for a night at the movies in the...
Don't Miss Out on Great Bargains!;Reminder: The annual neighborhood garage sale is happening this Sunday...
Get Your Sneakers On for Charity Run Next Month!;Get your sneakers on for the charity run next month!...
A Meditation and Yoga Session;A meditation and yoga session will be held every Sunday...
Mary Johnson to Speak about Latest Book at 4 PM;The local library is introducing 'author of the month' series...
Lost: A blue and white striped beach towel near lifeguard...;Lost: A blue and white striped beach towel, left on...
The City Park Department is Looking;The city park department is looking for volunteers to help...
Our local pet shelter is in;Our local pet shelter is in desperate need of foster...
Seeking Volunteer Drivers for Weekly Grocery Shopping;The seniors' center is looking for volunteer drivers to help...
Community Alert: Reports of Suspicious Activities;Community Alert: There have been reports of suspicious activities in...
I’m organizing a winter;I’m organizing a winter clothing drive for the homeless shelter...
Attention, pet owners!;Attention, pet owners! There have been reports of increased tick...
The water main on Jefferson Ave will be shut off...;Notice: The water main on Jefferson Ave will be shut...
The annual River Cleanup;The annual river cleanup is happening this weekend. We're looking...
I’m trying to find a home for;I’m trying to find a home for a friendly stray...
The environmental club is leading a cleanup;The environmental club is leading a cleanup at Beachy Head...
A Community Garage Sale!;Heads up! A community garage sale is set for next...
Certified Sitter Available!;Experienced babysitter available! I'm certified in CPR and have five...
I'm planning;I'm planning a plant exchange next month. Bring your cuttings,...
Lost Dog Alert: Missing from near Central Park since yesterday.;Lost Dog Alert: Missing from near Central Park since yesterday....
Street Fair this Saturday!;Street Fair this Saturday! Join us from noon to 5...
Important Discussions on Budget and New School Policies;Reminder: School board meeting tonight at 8 PM in the...
The Book of the Month is 'The Great Gatsby';Book Lover's Club is meeting this Wednesday at the library....
Yard Waste Pickup Starts This Friday;Yard waste pickup starts this Friday. Please have your leaves...
A New Coffee Shop, Bean There, is Opening this Monday;A new coffee shop, Bean There, is opening on Elm...
Community Alert: Be on the lookout for suspicious activity near...;Community Alert: Be on the lookout for suspicious activity near...
Fitness Fun Day this Wednesday at 5 PM.;Fitness Fun Day at the Community Center this Wednesday at...
Seeking Volunteers for Local Food Pantry this Saturday;Seeking volunteers for the local food pantry this Saturday. Help...
Got Extra Garden Tools?;Got extra garden tools? The community garden is accepting donations....
Raising Money for School Trip;My daughter is raising money for her school trip by...
Bike Sale: Selling several gently used bikes;Bike Sale: Selling several gently used bikes Saturday at 111...
Found Cat: Grey tabby near Willow Park...;Found Cat: Grey tabby found near Willow Park. Appears well...
Local Artist Showcase at the Art Center this Friday;Local artist showcase at the Art Center this Friday. Come...
Karaoke night at the Oak Tree Tavern!;Karaoke night at the Oak Tree Tavern this Thursday night!...
Free cooking class this Monday!;Free cooking class at the public kitchen this Monday. Learn...
Garage Sale Tips Workshop at the Community Hall;Garage Sale Tips Workshop at the Community Hall this Tuesday...
Need Help with Fall Leaf Removal?;Need help with fall leaf removal? Contact Jake at 555-2341....
Historic Walk through Old Town this Saturday morning.;Join the Historic Walk through old town this Saturday morning....
Puppy Training Sessions Start Next Week;Puppy Training Sessions start next week at the Animal Welfare...
Local Theater Auditions for 'Romeo and Juliet';Local theater group holding auditions for 'Romeo and Juliet'. Experienced...
