A;B;C
Anyone Know of a Good Piano Tuner in the Area?;Anyone know of a good piano tuner in the area?...;piano tuner in the area
Neighborhood Watch Introduction this Thursday at 6 PM;Neighborhood Watch Introduction meeting this Thursday at the town hall...;Neighborhood Watch Introduction meeting this Thursday at the town hall
Annual Pancake Breakfast;Annual Pancake Breakfast at the firehouse this weekend. Come enjoy...;Annual Pancake Breakfast at the firehouse this weekend
Lost Keys near Market Street;Lost Keys near Market Street. Set of car and house...;Lost Keys near Market Street
I Found a Set of Keys;I found a set of keys near the bus stop...;Found a set of keys near the bus stop on...
FOUND: A small pouch containing various crafting tools;Found: A small pouch containing various crafting tools, left behind...;Left behind at the arts and crafts fair last weekend
Meet at the town square at 9 AM;Volunteers are needed for the downtown clean-up day next Saturday....;Volunteers are needed for the downtown clean-up day next Saturday
"Auditions for summer production of ""Grease""";The local theater is holding auditions for its summer production...;"Auditions for its summer production of ""Grease."""
A Friendly Reminder That Property Taxes Are Due At The...;A friendly reminder that property taxes are due at the...;Property taxes due at the end of the month
Lost: A Blue And White Striped Beach Towel;Lost: A blue and white striped beach towel, left on...;Lost: A blue and white striped beach towel
I’m Trying to Find a Home for a Friendly Stray...;I’m trying to find a home for a friendly stray...;find a home for a friendly stray cat
I'm offering Free Tech Help;I'm offering free tech help for seniors this Friday at...;Free tech help for seniors this Friday at the library
A Wallet Was Found Near Central Park;A wallet was found near the outdoor gym in Central...;Wallet found near outdoor gym in Central Park
The local art club is holding an;The local art club is holding an outdoor painting session...;Outdoor painting session at City Park this Sunday
Attention, gardeners!;Attention, gardeners! The community garden is now accepting applications for...;Accepting applications for new plots for the upcoming growing season
Lost: A gold bracelet in the vicinity of Pine Street...;Lost: A gold bracelet in the vicinity of Pine Street...;Lost: A gold bracelet in the vicinity of Pine Street...
The community is offering a series of free workshops;The community college is offering a series of free workshops...;Free workshops on financial literacy, registration required. Sessions start next...
Meet the Author this Friday;"The public library is starting a new series called ""Meet...";Meet the Author series starting this month!
Starting a Community Cycling Group;We're starting a community cycling group that will meet every...;We're starting a community cycling group that will meet every...
Our Local History Group;Our local history group is seeking old photographs and stories...;Seeking old photographs and stories for exhibition
Lost: A small drone with a camera attachment was;Lost: A small drone with a camera attachment was last...;Lost: A small drone with a camera attachment
Volunteers Needed! The Community Garden;Volunteers needed! The community garden is looking for extra hands...;Volunteers needed! The community garden is looking for extra hands...
Let's Clean Up Our Beaches!;Let's clean up our beaches! I'm organizing a beach clean-up...;Let's clean up our beaches!
The Quarterly Homeowner's Association Meeting;Reminder: The quarterly homeowner’s association meeting will be held next...;quarterly homeowner’s association meeting will be held next Thursday
Found: A set of keys near the playground.;Found: A set of keys near the playground. They have...;Keys Found: Red keychain with house and car keys
The local school is collecting Books;The local school is collecting gently used books for their...;gently used books for their annual book drive
Can Anyone Recommend a Good Electrician?;Can anyone recommend a good electrician? My porch lights need...;My porch lights need some urgent repairs
For Sale: Barely-Used Mountain Bike;For sale: A barely-used mountain bike, suitable for teens or...;For sale: A barely-used mountain bike, suitable for teens or...
The neighborhood watch alerts you to;The neighborhood watch alerts you to a recent increase in...;increase in car break-ins
Pet Adoption Day This Saturday at the Animal Shelter;Pet adoption day this Saturday at the animal shelter! Come...;Pet adoption day this Saturday at the animal shelter!
The local jazz club is featuring a;The local jazz club is featuring a new band this...;new band this Friday night. Come and enjoy some live...
Annual Charity Run Benefitting the Children's Hospital;Annual charity run benefitting the children's hospital is coming up....;Annual charity run benefitting the children's hospital is coming up.
Sunday Garage Sale 45 Oak St.;Garage sale! This Sunday from 8 AM to 12 PM...;Garage sale! This Sunday from 8 AM to 12 PM
I Lost a Small Drone in the Park;"I lost a small drone in the park yesterday; it's...";lost a small drone in the park yesterday
A Silver Wristwatch Near the Tennis Courts;Lost: A silver wristwatch near the tennis courts. It has...;A silver wristwatch near the tennis courts
The town council is seeking input on the new park;The town council is seeking input on the new park...;New park development plans input needed at public meeting
Reminder: Waste Collection Will Be;Reminder: Next week’s waste collection will be on Wednesday, not...;Next week’s waste collection will be on Wednesday
Found Cat: An orange tabby with no collar was found...;Found Cat: An orange tabby with no collar was found...;Orange tabby found near central square
Local Art Exhibition this Weekend;Local art exhibition this weekend at the community center. Come...;Local art exhibition this weekend at the community center
A Two-Bedroom Apartment with a Lovely View of the Downtown...;For rent: A two-bedroom apartment with a lovely view of...;Lovely view of the downtown area
Yoga Classes Starting Next Month;Yoga classes starting next month at the park. Experienced instructors,...;Yoga classes starting next month at the park
Students can study late until;The library is extending its hours for finals week. Students...;The library is extending its hours for finals week
Neighborhood BBQ this Saturday!;Neighborhood BBQ this Saturday! Bring your favorite dish and join...;Neighborhood BBQ this Saturday! Bring your favorite dish
Lost Black Labrador;Lost dog: A black Labrador, last seen near the grocery...;Lost dog: A black Labrador, last seen near the grocery...
A red bicycle was found;Attention all! A red bicycle was found locked outside the...;A red bicycle was found locked outside the library
Looking for fellow crafters interested in starting a weekly crafting...;Looking for fellow crafters interested in starting a weekly crafting...;Looking for fellow crafters interested in starting a weekly crafting...
Safety Tip: With the Recent Storms, Ensure;Safety tip: With the recent storms, ensure that all outdoor...;Recent storms: Ensure all outdoor furniture is secured
Traveling Book Club Meets Monday;Traveling book club meets next Monday. This month’s book is...;Thrilling mystery novel
Join Our Next Outing This Sunday at 9 AM;Hiking group! Interested in exploring local trails with fellow outdoor...;Join our next outing this Sunday at 9 AM
Found Bicycle near Community Hall;Found bicycle near the community hall. It's a children's bike,...;Found bicycle near the community hall
