Posts;Subject Line A;Subject Line B
The local library is hosting a book drive to benefit our school's literacy program. Drop off gently used books for all ages until April 15th at the library or school office.;Drop off gently used books for all ages;The local library is hosting a book drive
Our town's annual SummerFest celebration will take place on July 4th this year! Expect live music, food vendors, and plenty of family-friendly activities. Mark your calendars!;Mark your calendars;SummerFest Celebration on July 4th
The community garden is seeking volunteers to help with spring planting and maintenance. Contact us if you're interested in getting involved.;The community garden needs volunteers;The Community Garden Needs Your Help
Join the local art league for a painting class this Saturday from 1-3 PM at the town hall. All skill levels welcome! Supplies provided, but feel free to bring your own materials too.;This Saturday from 1-3 PM at the town hall;Join the local art league for a painting class this...
The local gardening club is hosting a spring plant sale this Saturday at the community center. Come find unique and rare plants, get expert advice from experienced gardeners, and enjoy some refreshments with fellow green thumbs. All proceeds go towards supporting our town's parks and gardens.;Expert Advice;This Saturday at the community center
Calling all bookworms! The library is hosting a used bookstore sale this Saturday, with proceeds going to support literacy programs for local youth. Come find some great deals and help make a difference in your community.;Literacy Programs;Used Bookstore Sale This Saturday
Free Yoga Session at Sunrise: Join us for a free yoga session on Saturday morning to kick-start your weekend! All levels welcome, no experience necessary. Meet us at the park entrance at 7 am sharp. See you there!;Free yoga session at park entrance;Free Yoga Session at Sunrise
Calling all bookworms! The library is hosting a used bookstore sale this Saturday, with proceeds benefiting local literacy programs. Stock up on great reads and support a good cause at the same time!;Support local literacy programs;Used Bookstore Sale This Saturday!
Attention all gardeners! The city's community gardening program is looking for volunteers to help maintain and beautify our neighborhood green spaces. If you're interested in getting your hands dirty, please contact the program coordinator by next Monday.;Get involved in neighborhood gardening;Attention All Gardeners!
Community Potluck: Join fellow neighbors for a potluck dinner at the community center next Friday! Bring your favorite dish to share and enjoy some great company. 5-7 PM, all welcome!;Join us for a potluck dinner;Join Fellow Neighbors for a Potluck Dinner
The annual town fair is just around the corner! This year's event will feature live music, delicious food vendors, and a petting zoo for kids (and adults!) to enjoy. Mark your calendars for Saturday, April 15th from 10 AM to 5 PM at the town square. See you there!;Mark your calendars for Saturday, April 15th;The annual town fair is just around the corner!
Calling all gardeners! The community garden is looking for new members to help maintain and expand our plots. If you're interested, meet us at the garden on Saturday morning at 10 AM to learn more about how you can get involved. Don't forget to bring your favorite gardening gloves!;Expand Your Gardening Experience;Join the Community Garden!
For Sale: Gently used baby equipment (stroller, car seat, high chair) available for purchase. Contact me if interested and we can discuss details!;For Sale: Gently used baby equipment;For Sale: Gently Used Baby Equipment
Attention all book lovers! The local library is hosting a used bookstore sale this weekend, with proceeds going to support literacy programs for underprivileged children. Come find some great deals and help make a difference in your community!;Support literacy programs;Used Bookstore Sale This Weekend
Attention all book lovers! The library's annual book sale will be held next weekend, and we're looking for volunteers to help set up and run the event. If you can lend a hand, please sign up at the circulation desk.;Attention all book lovers;Attention All Book Lovers!
Community Alert: A neighborhood clean-up initiative is scheduled for this Saturday from 9 AM - 12 PM. Join us in beautifying our community!;This Saturday from 9 AM - 12 PM;Community Alert: Neighborhood Clean-up Initiative
