Posts;Subject Line A;Subject Line B
Don't miss our annual summer sale on July 21st from 10 AM-4 PM at the local boutique!;Summer sale at local boutique on July 21st;Don't Miss Our Annual Summer Sale
"The book club will meet this Wednesday at 7:30 PM to discuss ""The Nightingale"" by Kristin Hannah. New members always welcome!";The Nightingale Book Club;The book club will meet this Wednesday at 7:30 PM...
Get ready for a night of stargazing with our astronomy group on June 22nd from 8-10 PM at the observatory.;Join us for a night of stargazing;Get Ready for a Night of Stargazing
Our weekly farmers' market is open every Thursday from 3:30-6:30 PM in the town square! Come support local vendors and find fresh produce, baked goods, and more!;Every Thursday from 3:30-6:30 PM;Our weekly farmers' market is open every Thursday from 3:30-6:30...
Join us for a free movie night on June 29th at 7 PM at the park! Bring your own snacks and blankets.;Join us for a free movie night;Join Us for a Free Movie Night
"The local animal shelter is hosting a ""Furry Friends"" adoption event this weekend! Meet adoptable pets, learn about volunteering opportunities, and find your new best friend.";Learn about volunteering opportunities;Furry Friends Adoption Event This Weekend!
Get ready to groove at the upcoming dance competition on March 21st! Local studios will be showcasing their moves, and you can even participate in a mini-workshop. Sign up now!;Dance competition on March 21st;Get Ready to Groove at the Upcoming Dance Competition
The town's annual Earth Day celebration is just around the corner (April 22nd)! Join us for a day of environmental activities, workshops, and giveaways.;Earth Day celebration is coming;The town's annual Earth Day celebration is just around the...
Calling all bookworms! Our library is hosting an author reading series this spring, featuring local writers sharing their latest works. Mark your calendars!;Local writers sharing their latest works;Author Reading Series
"The community center is offering free yoga classes every Saturday morning starting in April. All levels welcome â€"" come stretch with us!";Yoga classes every Saturday;Free Yoga Classes Every Saturday Morning
I'm organizing a charity walk/run for next Saturday morning to support local animal shelters. If you're interested in participating, please let me know so we can coordinate our efforts.;Charity Walk/Run;I'm Organizing a Charity Walk/Run for Local Animal Shelters
My friend is offering free yoga classes at the community center every Wednesday evening. All levels welcome! Contact her if you'd like to join and get some exercise while supporting a good cause.;Free Yoga Classes;FREE Yoga Classes Every Wednesday
The neighborhood pool is hosting an adult swim night this Friday from 7-9 PM. If you're interested in joining, please RSVP by Thursday so we can plan accordingly.;Join us for Adult Swim;Adult Swim Night This Friday
I'm collecting canned goods for the local food bank. If you'd like to donate or help with sorting and packing, please let me know your availability.;Food Bank Donations;I'm Collecting Canned Goods for the Local Food Bank
The school is seeking volunteers to help with their annual spring fair on April 15th. Contact us if you're interested in getting involved and supporting a great cause.;Help Us Make Our Spring Fair a Success;Annual Spring Fair on April 15th
Join us for a free yoga class this Saturday at 9 AM! All levels welcome, no experience necessary.;Free Yoga Class This Saturday;Join us for a free yoga class this Saturday
Get ready to rock out with our local music group performing live at the library on Friday night!;Live music at the library;Get Ready to Rock Out
Calling all bookworms! Our summer reading program is now open for registration. Earn rewards and prizes by meeting your reading goals.;Bookworms unite;Earn Rewards and Prizes by Meeting Your Reading Goals
Don't miss our free movie screening this Wednesday at 6 PM! Popcorn provided, bring a friend or come solo.;Don't miss our free movie screening this Wednesday at 6...;Don't Miss Our Free Movie Screening This Wednesday!
Learn how to knit with us on Tuesday nights from 7-9 PM. All skill levels welcome, no experience necessary.;Tuesday nights for knitting;Learn How to Knit with Us
Join the library's book club for a discussion of [insert book title] next Thursday at 2 PM!;Join the library's book club;Join the library's book club next Thursday at 2 PM!
Take your photography skills to the next level with our free workshop this Saturday! Sign up by Friday to reserve your spot.;Reserve your spot;Take Your Photography Skills to the Next Level
Public Museum hosting a lecture on 'Ancient Civilizations' this Friday from 7:00 PM to 9:00 PM. All are welcome;Ancient Civilizations this Friday;Ancient Civilizations
Free Yoga Classes at the park every Saturday morning starting at 8:30 AM. Bring your own mat and water bottle!;Free Yoga Classes;Free Yoga Classes at the park every Saturday morning
Looking for someone to practice conversational Spanish with? Post an ad on our bulletin board or contact us, and we'll try to match you up!;Find Someone to Practice;Looking for someone to practice conversational Spanish with?
Local Art Gallery hosting a painting class this Sunday from 2:00 PM to 5:00 PM. All skill levels welcome;Painting class this weekend;Local Art Gallery hosting a painting class
Free Language Exchange at the coffee shop every Wednesday evening starting at 6:30 PM. Practice your language skills and meet new people!;Meet new people;Free Language Exchange every Wednesday evening
Community Garden offering free gardening workshops for beginners on the first Saturday of each month from 10:00 AM to 12:00 PM.;Free Gardening Workshops for Beginners;FREE Gardening Workshops for Beginners
"The school's book club is meeting next Wednesday to discuss our latest read, ""The Giver"". Join us in room 204 at 3:15 PM for a lively discussion! #bookclub";Book club meeting at 3:15 PM;The school's book club is meeting next Wednesday to discuss...
Attention all artists and crafty folks! Our art show is coming up on March 17th and we're looking for submissions. Email [artshow@school.edu](mailto:artshow@school.edu) to learn more.;Submit your art;Attention all artists and crafty folks!
The school's soccer team is hosting a car wash fundraiser this Saturday from 10 AM - 2 PM at the local gas station. Come out and support our athletes!;Support Our Athletes;The School's Soccer Team Hosting Car Wash Fundraiser
Calling all music lovers! Our school choir will be performing at the annual talent show on April 15th. Auditions are being held next week, so don't miss your chance to shine!;Don't miss your chance to shine;Auditions for Talent Show
Join us for a free yoga class this Sunday at 10 AM at the park! All levels welcome, and mats will be provided.;Yoga Class this Sunday;Join us for a free yoga class this Sunday at
The local animal shelter is hosting an adoption fair this Saturday from 11 AM-3 PM. Come meet some furry friends looking for their forever homes!;Come Meet Some Furry Friends;This Saturday from 11 AM-3 PM - Come meet some...
