A;B
LOST: A Small Black Notebook Containing Important Research Notes;Lost: A small black notebook containing important research notes, last...
The city's annual jazz festival is looking for volunteers.;The city's annual jazz festival is looking for volunteers. If...
The public library is discontinuing late fees on all children's...;The public library is discontinuing late fees on all children's...
If you're a homeowner interested in installing solar panels, the...;If you’re a homeowner interested in installing solar panels, the...
Found a set of hiking poles near Mount Parker;Found a set of hiking poles near the trailhead of...
The Local Theatre Company Needs Old Suitcases;The local theatre company is in need of old suitcases...
A FREE E-WASTE RECYCLING EVENT;A free e-waste recycling event will be held at the...
FREE Workshop on Budget Management and Personal Finance Next Tuesday...;The community center is hosting a workshop on budget management...
Annual Flower and Garden Show Accepting Last-Minute Entries;Notice for garden enthusiasts: The annual flower and garden show...
Local High School's Robotics Club Showcasing Projects;A local high school's robotics club is showcasing their projects...
Join Our Local Theater Group;Our local theater group is looking for new members to...
Attention Parents: The Community Library is Starting a New Storytime...;Attention parents: The community library is starting a new storytime...
If Anyone Is Interested In Participating In A Community Quilt...;If anyone is interested in participating in a community quilt...
If Found, Please Contact Me Directly;Lost during last weekend's festival: a small, digital camera. It’s...
The Downtown Improvement Committee Needs Your Help;The downtown improvement committee is looking for volunteers to help...
"Old 1920s-style costumes needed for upcoming play ""The Great Gatsby""";Our local theater is looking for old 1920s-style costumes for...
Gather at City Hall next Saturday at 9 AM;The annual community clean-up day is fast approaching. Gather at...
Increase in Litter in the Park Areas;We have noticed an increase in litter in the park...
This Sunday at the Westside Pavilion.;A reminder that the community potluck is happening this Sunday...
Bring Your Telescopes or Just Your Curiosity!;Local amateur astronomers are invited to join a night of...
Youth Center Urgently Needs Sports Equipment Donations;The youth center is in urgent need of sports equipment...
Weekly Toddler Story Time Every Wednesday;Exciting news for young parents and tots! Our community center...
I have a bunch of moving boxes in good condition...;I have a bunch of moving boxes in good condition...
A SET OF KEYS WAS FOUND THIS MORNING ON OAK...;A set of keys was found this morning on Oak...
To Anyone with Expertise in Tree Pruning;To anyone with expertise in tree pruning: The community orchard...
The Local Swim Team Is Hosting Tryouts Next Week;The local swim team is hosting tryouts next week for...
If Anyone Is Missing A Drone;If anyone is missing a drone, it was last seen...
The Historical Society is offering guided tours of the old...;The Historical Society is offering guided tours of the old...
Volunteers Needed;Volunteers needed: The food bank is looking for help sorting...
Keep Your Pets On A Leash;Reminder: Please keep your pets on a leash at all...
Harvest Festival Volunteers Needed;The community garden is organizing a harvest festival next month....
LOST: A small drone with red markings;Lost: A small drone with red markings, last seen near...
Leaf and Brush Pickup Scheduled for Next Monday;Reminder to all residents: Leaf and brush pickup is scheduled...
I'm Starting a Storytime for Kids at the Community Center;I'm a retired librarian and would love to start a...
Mystery Novel Reading Group;A reading group is forming at the local library for...
The High School's Annual Art Show is This Weekend;The high school's annual art show is this weekend. Come...
Free Health Clinic This Saturday;Free health clinic this Saturday at the community center from...
ATTENTION DOG OWNERS: A New Dog Park Is Opening Next...;Attention dog owners: A new dog park is opening next...
FOUND: A Set of House Keys with a Novelty Guitar...;Found: A set of house keys with a novelty guitar...
Local Scout Troops Car Wash Fundraiser;Local scout troops are holding a car wash fundraiser this...
Join The Community Choir!;The community choir is looking for new members. No audition...
Make Your Own Soap;If you're interested in learning how to make your own...
The Local Museum Seeks Volunteers for Upcoming Exhibit;The local museum is seeking volunteers for their upcoming exhibit...
Outdoor Yoga Classes Starting Next Week;An outdoor yoga class will be held every morning at...
I FOUND A SET OF KEYS NEAR THE BUS STOP;I found a set of keys near the bus stop...
Parking will be restricted on Main Street this Friday for...;Reminder: Parking will be restricted on Main Street this Friday...
LOST: A Child's Teddy Bear;Lost: A child's teddy bear, near the fountain in Central...
The local veterans' association is organizing a community picnic next...;The local veterans' association is organizing a community picnic next...
The neighborhood association is looking for articles and photos for...;The neighborhood association is looking for articles and photos for...
Blue Mountain Bike Found at Bus Station;A bicycle was found locked to a bench at the...
The Community Pottery Studio Open House Event;The community pottery studio is holding an open house event...
Volunteers Needed for Downtown Beautification Project;Volunteers are needed for the downtown beautification project this spring....
LOST Prescription Glasses in a Black Case;Lost: Prescription glasses in a black case, possibly left on...
The Local Astronomy Club is Hosting a Night of Stargazing;The local astronomy club is hosting a night of stargazing...
Found a Backpack Containing School Books;Found a backpack containing school books and a lunchbox at...
I'm Starting a Fitness Challenge Group;I'm starting a fitness challenge group and looking for participants...
A documentary film about the history of our town is...;A documentary film about the history of our town is...
The Annual River Run 5K Seeks Sponsors;The annual River Run 5K is seeking sponsors. If your...
The Annual Community Survey is Live;Reminder to all residents: The annual community survey is live....
LOST: A Small Drone, Last Seen Flying Over Maple Park;Lost: A small drone, last seen flying over Maple Park...
The Teen Book Club;The public library is starting a teen book club this...
Native Plants and Their Benefits to Our Local Ecosystem;A workshop on native plants and their benefits to our...
If you've found a set of car keys with a...;If you've found a set of car keys with a...
Protect Your Pets;The local animal shelter is offering discounted microchipping services this...
Community Alert: Increase in Bicycle Thefts in Downtown Area;Community Alert: We've noticed an increase in bicycle thefts in...
Community Garden on Fifth Street Now Accepting Applications;The community garden on Fifth Street is now accepting applications...
Anyone Up for Forming a Local History Club;Anyone up for forming a local history club? We could...
Annual Street Cleaning Reminder;A reminder that the annual street cleaning will begin next...
Jazz Ensemble to Perform at City Park This Friday Evening;The jazz ensemble from the community college will be performing...
Found: A small pouch containing various crafting tools;Found: A small pouch containing various crafting tools, left behind...
The City's Transit Authority to Hold Public Hearing on Bus...;The city's transit authority will be holding a public hearing...
Lost Digital Sports Watch;Lost during the fun run: a digital sports watch, black...
The local theater is seeking old newspapers and magazines for...;The local theater is seeking old newspapers and magazines for...
The High School Robotics Team Needs Your Help;The high school robotics team is looking for local businesses...
Free ESL Classes;Free ESL classes will be offered every Monday and Wednesday...
Beekeeper's Workshop This Saturday;The local beekeepers association is hosting a beginner's workshop on...
Wallet Found Near Outdoor Gym In Central Park;A wallet was found near the outdoor gym in Central...
I Make Handmade Jewelry;I make handmade jewelry and I'm thinking of setting up...
Volunteers Needed for Harvest Festival Setup;Volunteers are needed to help set up and take down...
The high school's annual craft bazaar is next weekend.;The high school's annual craft bazaar is next weekend. Come...
LOST: A Small Drone with a Red Stripe;Lost: a small drone with a red stripe, last seen...
Reminder: Dog licenses must be renewed by the end of...;Reminder: Dog licenses must be renewed by the end of...
The City's Reforestation Day Next Month;The city is planning a reforestation day next month. We're...
Car keys with novelty football keychain found in supermarket parking...;A set of car keys with a novelty football keychain...
Join Local Musicians for Spring Concert Series;The community orchestra is inviting local musicians to join their...
Networking Event for Small Business Owners;The local business association is hosting a networking event for...
Found: A Pair of Prescription Glasses in a Black Case...;Found: A pair of prescription glasses in a black case...
The Town Hall is Exhibiting a Collection of Historical Photographs;The town hall is exhibiting a collection of historical photographs...
I've noticed a few stray dogs around the neighborhood recently;I've noticed a few stray dogs around the neighborhood recently....
LOST: A children's backpack with cartoon characters;Lost: A children’s backpack with cartoon characters, last seen at...
The Local Veterans' Group is Organizing a Charity Raffle;The local veterans' group is organizing a charity raffle to...
This Sunday's Downtown Open Streets Day;The downtown area will be closed to vehicle traffic this...
A small gold ring at the city park near the...;Found: A small gold ring at the city park near...
Volunteers Needed for the City's Annual Film Festival;Volunteers needed for the city’s annual film festival. Roles include...
Learn How to Make Your Garden More Eco-Friendly;The local botanical garden is starting a series of weekend...
The Community Center's Swimming Pool Will Be Closed for Annual...;Reminder: The community center's swimming pool will be closed for...
Our Town in Color;The annual community art contest is now accepting entries. This...
LOST PET FERRET IN OAKRIDGE NEIGHBORHOOD;A resident has reported a lost pet ferret in the...
Donations of Artifacts and Memorabilia Sought;The local historical society is seeking donations of artifacts and...
Is Anyone Else Interested in Sustainable Living?;Is anyone else interested in sustainable living? I'm trying to...
