Subject Line A;Subject Line B
Join us for a free yoga class on Saturday morning...;Join us for yoga on Saturday morning
The local library is hosting an author reading series this...;The Author Reading Series
We're looking for volunteers to help with the annual charity...;Volunteers Needed for Charity Walk/Run
Get ready for a summer of fun at our community...;Get ready for a summer of fun at our community...
The neighborhood book club meets every third Thursday to discuss...;New releases discussed
We're hosting a free movie night in the park on...;Free Movie Night in the Park
Our local farmers market is open every Saturday from May...;Farmers market is open every Saturday
The school's robotics team is hosting a hackathon this Saturday...;Robotics team hackathon
Our local animal shelter is seeking donations of pet food,...;Donations Needed for Local Animal Shelter
The school's art club will be hosting a pottery night...;Pottery night this Thursday
Our monthly book club meeting is scheduled for next Wednesday...;Great Gatsby Discussion
The school's soccer team will be hosting a charity game...;This Saturday at 2 PM
Join us for a free yoga class on the town...;Free Yoga in Town Square
The local farmers market is looking for volunteers to help...;Farmers Market Volunteer Opportunities
Our community center is hosting a movie night featuring classic...;Movie Night at the Community Center
The town's annual charity walk/run will take place on April...;Register Now for the Annual Charity Walk/Run
Learn how to cook a new cuisine with our cooking...;Cooking class series starts now
The local gardening club is hosting a workshop on composting...;Bring Your Own Materials
Join us for a free yoga class every Wednesday evening...;Free yoga class every Wednesday
The annual charity walk/run is scheduled for next Saturday starting...;Annual Charity Walk/Run
Learn how to cook international cuisine with Chef Maria's cooking...;International cuisine cooking class
The town library is hosting a book club meeting this...;Book club tonight
Join us for a night of stargazing at the observatory...;Join us for a night of stargazing
Get ready to groove with our free dance class for...;Bring your favorite moves and a friend
The local animal shelter is hosting an adoption fair this...;Meet Adorable Furry Friends
Join us for a morning of birdwatching in our nearby...;Morning of birdwatching in nature reserve
The local art museum is hosting an exhibit on contemporary...;Live Music and Refreshments
Join us for a free art class at the community...;Free art class this Friday
The local animal shelter is hosting an adoption fair next...;Next Saturday from 11:00 AM
Get ready for a night of stargazing at the observatory...;Discover the secrets of the universe
Join our volunteer day at the park next Saturday from...;Volunteer day at the park
Need help with your garden? Our community's master gardener is...;Get Free Consultations for Your Garden
Calling all foodies! The local culinary school is hosting a...;Calling all foodies!
Want to learn how to play an instrument? Our music...;Want to Learn How to Play an Instrument
The local animal shelter is hosting a pet adoption fair,...;Details at Our Bulletin Board!
Need help with household chores or errands? Our community's handyman...;Need help with household chores or errands? Our community's handyman...
The school's book club is meeting on Thursday at 3...;Meet Us On Thursday
Don't miss out on the fun - join our new...;Join our new board game night
Calling all artists! Our school's art show is coming up...;Calling all artists
Get ready for our annual talent show on April 1st...;Talent show on April 1st
Join us for a night of stargazing this Friday from...;Stargazing this Friday at the school's observatory
The school's robotics team is hosting a STEM fair this...;Explore the World of Robotics
Our school's art club will be selling handmade crafts at...;Handmade Crafts at Spring Fling
I'm offering a free 30-minute yoga session this Saturday morning...;Relax and energize your body
The school's drama club is performing their spring play next...;Get Ready for an Evening of Laughter and Tears
Our school's gardening club will be hosting a plant sale...;Unique Plants and Green Thumb
The local library is hosting a book club meeting on...;Thursday Book Club
Join us for a free community concert featuring the city...;Saturday Concert
The animal shelter is hosting an adoption fair this weekend...;Meet new furry friends at fair
Our local coffee shop is offering a free cup of...;Bring in a Canned Good
The local farmers market is back for the season! Join...;Support local growers and artisans
Calling all bookworms! Our summer reading program starts June 15th,...;Summer Reading Program
The annual charity walk/run is just around the corner -...;Annual Charity Walk/Run
We're excited to announce that our local coffee shop will...;Every Thursday from 7-9pm
The community garden is looking for volunteers to help with...;Community Garden Seeks Volunteers
Join us for a free yoga class every Saturday morning...;Free yoga
Don't miss our annual summer book sale on June 22nd...;Book Sale on June 22nd
Get ready to groove with our monthly dance party on...;July 14th dance party
Calling all gardeners! Join us for a free workshop on...;Composting workshop
Mark your calendars for our annual summer festival on August...;Food trucks, live music, and fun activities
Get ready to groove with our new line dance class...;Get Ready to Groove
Join us for a free outdoor movie night on Friday...;Movie Night in the Park
The local animal shelter is hosting an adoption fair this...;Adopt from Local Shelter
Join us for a free art class on Wednesdays at...;Free Art Class on Wednesdays
Get ready to run with our new running club starting...;New running club starting next Monday
The local library is hosting a book club discussion on...;The Great Gatsby Book Club Meeting
Our town's annual charity walk/run will take place next Saturday,...;Charity Walk/Run
The local art museum is featuring a new exhibit by...;The New Art Exhibit
Get ready for some friendly competition with our new trivia...;Get ready for some friendly competition
Our town's community kitchen will be hosting a free cooking...;Free Cooking Class This Wednesday
The local park is hosting a free outdoor movie night...;Free Movie Night
Calling all artists! Our town's annual art show is accepting...;Calling all artists
The community garden is looking for volunteers to help with...;Hands Dirty, Fun Guaranteed!
Attention all bookworms! Our town's library is hosting a used...;Attention all bookworms!
The local YMCA is offering free swim lessons for kids...;Free swim lessons for kids this summer
Join us for a holiday movie night on December 22nd...;Join us for a holiday movie night
Get ready to groove with our free outdoor concert series...;Bring a chair, some snacks, and enjoy the tunes
Calling all bookworms! Our library is hosting an author reading...;Author reading event
Join us for our annual New Year's Eve party on...;New Year's Eve celebration
The annual town fair is coming up on June 17th!...;Live Music
Calling all bookworms! Our local library is hosting a used...;Used Bookstore Sale
Get ready to groove with us at the Summer Concert...;Get ready to groove with us at the Summer Concert...
"The town's animal shelter is hosting a ""Clear the Shelters""...";Adoptable Pets
The annual charity walk is scheduled for next Saturday from...;City Hall Plaza Event
The library will be hosting a free book club meeting...;Join our free book club meeting
The city's summer reading program is now open for registration!...;Read 10 books and earn prizes
The local farmers market will be held every Saturday from...;Saturday Market
The city's recreation department is offering free yoga classes for...;Every Tuesday, Free Yoga Classes
Join us for a morning yoga class every Saturday at...;Join us for a morning yoga class
Get ready to groove with our new line dance class...;Get Ready to Groove
The town's annual summer festival is coming up on July...;Enjoy live music
Learn to cook like a pro with our new cooking...;Learn to cook like a pro
Join us for a free outdoor movie night under the...;Join us for a free outdoor movie night under the...
Calling all book lovers! Our local library is hosting a...;Join us on June 22nd
Attention cyclists! The city's bike path will be closed from...;Attention cyclists!
Calling all gardeners! Our community garden is looking for volunteers...;Calling all gardeners
Attention shoppers! The local farmer's market will be open every...;Attention shoppers
Calling all music lovers! Our community center is hosting a...;Music lovers, free concert series
The local museum is hosting an exhibit on ancient civilizations,...;Journey through time with the local museum
Our school's annual talent show will be held next month,...;School talent show
