Subject Line A;Subject Line B
The annual summer festival is just around the corner! We're...;Join the fun at our summer festival
Join us at the local library next Wednesday evening for...;Book club discussion
Job Opportunity: The local library is seeking a part-time librarian...;Job Opportunity
Attention all book lovers! The local library is hosting an...;Author reading and Q&A session this Thursday at 7 PM
The local farmer's market is looking for volunteers to help...;Farmer's Market Setup and Teardown
For sale: gently used bicycle with comfortable seat and sturdy...;Sturdy Frame Bicycle for Casual Rides
Urgent: Community Clean-Up Day this Saturday! Join us at the...;Help keep our community clean and beautiful
Calling all musicians! The town's annual Music Festival is just...;Calling all musicians
Wanted: Reliable dog walker for regular afternoon walks with my...;Afternoon dog walks required
Garage Sale Alert: The Smith family is having a massive...;Don't Forget Your Reusable Bags
A small dog was found wandering around the corner of...;Fluffy white Poodle found
Calling all bookworms! Our library is hosting a used bookstore...;Calling all bookworms!
Calling all gardeners! The community center is looking for volunteers...;Calling all gardeners
Book Club: We're starting a new book club at the...;Every Other Month
Community event: Join us at City Hall on Saturday, March...;Join us at City Hall
"The local animal shelter is hosting a ""Clear the Shelters""...";This Saturday, discounted adoption fees
The community garden is looking for volunteers to help with...;Get Your Hands Dirty
Attention all pet owners! The local animal shelter is hosting...;Attention all pet owners
Book Club: Join us this month for a discussion on...;Meet at the library this month
Calling all book lovers! The local library is hosting a...;Local Library Event
Local Artist's Showcase: Join us at the art gallery this...;Free admission and art at the gallery
The local theater group is performing a production of 'The...;'The Sound of Music' this weekend
The neighborhood garden club will be hosting a plant swap...;Plant Exchange Event
Calling all volunteers! Our local animal shelter is looking for...;Calling all volunteers
The community center will be hosting a free tax preparation...;Free Tax Prep Service
Join our local photography club for an evening walk around...;Join photography club
Wanted: A reliable and trustworthy dog walker to take care...;Dog walker required for Max
Neighborhood Watch: Let's work together to keep our community safe!...;Neighborhood Watch
Local Art Show: Calling all artists and art enthusiasts! Our...;Local Art Show This Weekend
Volunteer Opportunity: Help make our community garden grow by volunteering...;Planting and maintenance
Community Clean-Up Day: Join us on the first Sunday of...;Join us on the first Sunday of each month to...
Free Yoga Class: Get fit and relax with free yoga...;Exercise and community bonding
Attention all residents: The annual town clean-up event is scheduled...;Attention all residents
Local artists, rejoice! The annual art show is coming up...;Local artists rejoice!
Missing: Red squirrel named 'Rusty'. Last seen near Willow Creek...;Missing: Red Squirrel
Attention all gardeners! I'm offering a free consultation to help...;Free Consultation for Your Garden Maintenance
The annual summer concert series at Oakwood Park is back!...;Free live music at Oakwood Park
"Book Club: Join us for our monthly discussion of ""The...";"Join us for our monthly discussion of ""The Great Gatsby"""
Important notice for all pet owners! The local animal shelter...;Keep your furry friends healthy and protected.
Attention all book lovers! The local library is hosting a...;Used Bookstore Sale
For Sale: Gently used exercise equipment (treadmill, elliptical, and weights)...;Gently used exercise equipment for sale - $200 OBO
