Subject Line A;Subject Line B
Neighborhood Watch Update: Keep an eye out for suspicious activities...; Suspicious activities in our neighborhood
Free Painting Lessons: Offered by the community center every Wednesday....;Free Painting Lessons
Carpool Opportunity: Anyone interested in carpooling from Pine Street to...; Carpool opportunity
Lost: Green scarf with a floral pattern, sentimental value. Lost...;Lost: Green scarf with a floral pattern
Piano Recital: Join us at the local church next Thursday...; Join us for a piano recital
Tree Planting Day: Help beautify our neighborhood this coming Sunday....; Meet at Community Park
Lost: A small drone with a camera attachment was last...; Drone with camera attachment lost
Volunteers needed! The community garden is looking for extra hands...;Volunteers needed!
Reminder: The quarterly homeowner's association meeting will be held next...; Quarterly Meeting Reminder
Does anyone have a ladder I can borrow for a...; Gutter cleaning requires a ladder
Found: A set of keys near the playground. They have...;Found: A set of keys near the playground
The local school is collecting gently used books for their...; Book Donation
Can anyone recommend a good electrician? My porch lights need...; Electrician recommendation
For sale: A barely-used mountain bike, suitable for teens or...; Mountain Bike for Sale
The neighborhood watch alerts you to a recent increase in...; Car Break-ins on the Rise
Pet adoption day this Saturday at the animal shelter! Come...; Saturday pet adoption at the animal shelter!
The local jazz club is featuring a new band this...; Friday night live music
Annual charity run benefitting the children's hospital is coming up....; Help on the race day
Garage sale! This Sunday from 8 AM to 12 PM...; Garage Sale! Come Grab a Bargain!
Lost: A silver wristwatch near the tennis courts. It has...; Silver Wristwatch Lost
I'm offering a reward for anyone who can help find...; Help me find my drone
The town council is seeking input on the new park...;Attend the Public Meeting
Reminder: Next week's waste collection will be on Wednesday, not...; Tuesday
Found Cat: An orange tabby with no collar was found...;Found Cat
Local art exhibition this weekend at the community center. Come...; Community Art Exhibition
For rent: A two-bedroom apartment with a lovely view of...; Apartment for Rent with a View of the Downtown Area
Yoga classes starting next month at the park. Experienced instructors,...; Yoga classes at the park
The library is extending its hours for finals week. Students...; Library Open Late
Neighborhood BBQ this Saturday! Bring your favorite dish and join...; Join us for a potluck dinner
Lost dog: A black Labrador, last seen near the grocery...;Lost dog
Safety tip: With the recent storms, ensure that all outdoor...; Avoid potential damages and injuries
Just a heads up, the water department will be conducting...; Water department maintenance
Traveling book club meets next Monday. This month's book is...; Join us for a lively discussion
Hiking group! Interested in exploring local trails with fellow outdoor...;Join Our Next Outing
Found bicycle near the community hall. It's a children's bike,...;Found blue children's bike near community hall
Health awareness workshop on managing stress, hosted by the wellness...; Stress Management Seminar
Artisans market! Local craftspeople will be selling homemade goods this...; This Weekend at Town Square
Traffic note: Roadworks on Main St. starting next week. Expect...;Roadworks on Main St. starting next week.
Community cooking class: Learn how to make Italian dishes from...;Learn how to make Italian dishes from a professional chef
The local animal shelter is seeking donations of pet food,...;The local animal shelter is seeking donations of pet food,...
Reminder for all gardening enthusiasts! Join our monthly gardening club...;Gardening Club This Saturday
Community Potluck! Bring your favorite dish and join us at...;Bring Your Favorite Dish
We're excited to announce the grand opening of the new...;GRAND OPENING OF THE NEW COMMUNITY CENTER
Fitness Challenge: We are starting a community fitness challenge next...;Fitness Challenge
Opportunity to Volunteer! Local food bank needs volunteers this weekend....;Opportunity to Volunteer!
Book Club Alert: Our neighborhood book club is reading 'The...;Book Club Alert
Jazz Nights are back at the local cafe! Come enjoy...;Jazz Nights Are Back
Lost Dog: A golden retriever named Buddy has gone missing...;LOST DOG: Golden Retriever Buddy Missing Near High School
Tech Workshop: Learn the basics of computer programming at our...;Learn the basics of computer programming at our free workshop...
Yard Sale this Saturday! Multiple houses participating on Maple Street....;Yard Sale this Saturday!
Photography Club: Join us for a photography walk next Sunday....;Join us for a photography walk next Sunday
Cycling Group: Interested in joining a weekend cycling group? Meet...;Cycling Group: Meet us at the community center this Saturday...
Neighborhood Watch Meeting: Keep our community safe by joining the...;Neighborhood Watch Meeting
I'm on the lookout for a Tai Chi class close...;I'm on the lookout for a Tai Chi class
Reminder: The annual pet vaccination drive is happening this Saturday...;The annual pet vaccination drive is happening this Saturday
Karaoke Night at the local bar this Thursday! Show off...;Karaoke Night at the local bar this Thursday
Reminder: School registration is open. Please register your children for...;School Registration Is Open
DIY Workshop: Learn how to create your own home decorations...;CREATE YOUR OWN HOME DECORATIONS
Road Closure Alert: Main Street will be closed this weekend...;Road Closure Alert
Puppet Show for Kids: Bring your kids to the community...;Bring Your Kids to the Community Theater this Weekend
Historical Society Lecture: Join us for a lecture on the...;Historical Society Lecture this Tuesday
Fitness Bootcamp: Get in shape with our morning fitness boot...;Get in shape with our morning fitness boot camp at...
Garden Exchange: Swap plants and gardening tips with fellow garden...;Garden Exchange: Swap plants and gardening tips
Volunteer at the Senior Center: Spend time with our senior...;Spend Time with Senior Citizens
Art Exhibition: Local artists will be showcasing their work at...;Local artists will be showcasing their work at the downtown...
Lost: a small, black leather wallet near the high school...;Lost: a small, black leather wallet near the high school...
Cleanup Day: Join us for a community cleanup day next...;Join us for a community cleanup day next month.
Comedy Night: Enjoy a night of laughs at the comedy...;Enjoy a night of laughs at the comedy club this...
Health Fair: Free health screenings and wellness tips available at...;Free Health Screenings and Wellness Tips Available
Lost Phone: A recent model smartphone was found near the...;Lost Phone Found Near Community Pool
Seasonal Flu Shots: Get your flu shot at the local...;Get Your Flu Shot This Weekend
Bake Sale: Support our high school band by buying some...;Bake Sale
Tree Planting: Help green our neighborhood by joining the tree...;Tree Planting: Help green our neighborhood by joining the tree...
