Subject Line A;Subject Line B
Have a green thumb? Help plant new trees at Liberty...;Saturday Tree Planting
Clean Water Project meeting this Thursday at the community office....;Clean Water Project Meeting
Historic walking tour of Old Town every Saturday morning. Discover...;Discover Old Town with experts
Join our monthly book club at the library this Tuesday....;Join Our Monthly Book Club
Run for a cause! Charity 5K run next Wednesday at...;Run for a cause!
Neighborhood cleanup day is around the corner! Meet at Pine...;Refreshments Provided
Chess enthusiasts! Weekly chess nights start this Thursday at the...;Weekly Chess Nights
Get ready for the Kids Talent Show! It's going down...;The Kids Talent Show is coming
Update your wardrobe at the Clothing Swap Event next Friday...;Update your wardrobe next Friday
Zumba party at Central Gym every Monday at 7 PM....;Zumba party at Central Gym every Monday
Harvest Celebration at the Heritage Farm next Saturday. Enjoy local...;Enjoy food, crafts, and music
Learn about local bird species at our Bird Watching Club....;Bird Watching Club - this Sunday
Film night under the stars at the community park this...;Free popcorn included
Join our cityâ€™s Citizen Assembly to discuss upcoming projects and...;Join our city planning discussion
Volunteer with us at the local animal shelter this weekend....;Volunteer with us at the local animal shelter this weekend
Urgent: Our local library is at capacity with books waiting...;Library at capacity
If anyone is interested in participating in a community reading...;Share Your Reviews
Lost: A book with a bookmark, last seen at the...;Lost: A book with a bookmark
The city literacy program is looking for volunteers to help...;Read Aloud to Seniors
My neighbor is raising money for her book club by...;Offer tutoring services for a good cause
Reminder: the town's annual holiday market is this Saturday from...;Come Find Unique Gifts
Attention all book lovers! The library will be hosting a...;Friday From 5 PM To 8 PM
Community Alert: the town's fire department is conducting a training...;Wednesday Evening
Fun for all ages! The community center will be hosting...;Movie Night Next Thursday
Nature enthusiasts! Join us for a guided hike through our...;Guided hike through scenic trails
Free Computer Classes: Basic computer skills at the community center...;Free Computer Classes
Iâ€™m organizing a neighborhood potluck dinner for next Friday night....;Potluck Dinner Invitation
The annual town festival is scheduled for this weekend from...;Main Street event
Local artists! Join us for a painting class series starting...;Join us for a painting class series
The annual Fall Festival will be held on October 15th...;Enjoy Live Music, Food Trucks, and Activities for All Ages!
Attention dog owners: the local animal shelter is hosting a...;Come Find Your New Friend
The school's PTA is organizing a fundraiser bake sale next...;Support Our Students
Join us for a free outdoor yoga class on Sunday...;Yoga at park gazebo
The local library is hosting an author reading series, featuring...;More Details Coming Soon
Lost and found: Missing a bookshelf or a set of...;Check the community center's lost and found section for missing...
There's a community effort to restore the old park playground...;Park Playground Restoration Effort
Join us for a nature photography walk in the nearby...;Nature Photography Walk in nearby woods
I'm organizing a series of art classes featuring local artists...;Discover new watercolor styles
Cleaning out your closet? Consider donating unwanted clothes to the...;Community Charity Drive - Donate Your Closet Clean-out
Looking for a workout buddy or someone to play chess...;Find Your Next Workout Partner
