Subject Line A;Subject Line B
The local library is hosting a book drive to benefit...;Book drive at the library
Our town's annual SummerFest celebration will take place on July...;SummerFest celebration
The community garden is seeking volunteers to help with spring...;Help with spring planting
Join the local art league for a painting class this...;Join the local art league for a painting class
The local gardening club is hosting a spring plant sale...;Expert Advice
Calling all bookworms! The library is hosting a used bookstore...;Used Bookstore Sale
Free Yoga Session at Sunrise: Join us for a free...;Free yoga session at park entrance
Calling all bookworms! The library is hosting a used bookstore...;Used bookstore sale this Saturday
Attention all gardeners! The city's community gardening program is looking...;Get involved in neighborhood gardening
Community Potluck: Join fellow neighbors for a potluck dinner at...;Join us for a potluck dinner
The annual town fair is just around the corner! This...;See you there!
Calling all gardeners! The community garden is looking for new...;Join the Community Garden
For Sale: Gently used baby equipment (stroller, car seat, high...;Gently used baby equipment for purchase
Attention all book lovers! The local library is hosting a...;Attention all book lovers
Attention all book lovers! The library's annual book sale will...;Attention all book lovers
Community Alert: A neighborhood clean-up initiative is scheduled for this...;Join us in beautifying our community!
Calling all musicians! The local music school is hosting an...;Calling all musicians
"Local Business News: Our favorite coffee shop, ""The Daily Grind,""...";Buy-One-Get-One-Free
Reminder: The annual town fair is just around the corner!...;Annual Town Fair
The local food bank is hosting a drive to collect...;Let's Make a Difference
The local library is hosting a book club for adults,...;Every third Thursday of the month
Attention all gardeners! The city is hosting a free composting...;Attention all gardeners
Calling all book lovers! Our annual Book Sale will be...;Calling all book lovers!
Get ready to groove with us! The city's summer concert...;Get ready to groove with us
Attention all artists! Our annual Art Show will be held...;Attention all artists!
Don't miss out on our free Yoga Day event next...;Yoga Day event next Sunday in the park
Movie Night at the Park: Join us for a free...;Free Movie Under the Stars
The local farmers' market is looking for vendors to sell...;Local Farmers' Market Opportunity
The local library is hosting an author reading and book...;Book Signing Event
Free Books: A collection of gently used books available for...;Free Books for All
Community Garden Plot Available: We have an open plot in...;Community Garden Plot for Adoption
Lost Cat: A friendly cat named Whiskers has gone missing...;Lost Cat
Local Artisans Wanted: We're looking for local artisans who create...;Local Artisans for Holiday Market
For sale: A gently used bicycle with a comfortable seat...;Test Ride And Make An Offer
The local library is hosting a book club meeting this...;Refreshments will be provided
The local library is hosting a book club for adults...;Book Club for Science Fiction and Fantasy Fans
We are seeking donations of gently used bicycles to support...;Supporting Bike-to-School Program
The city is organizing a neighborhood clean-up event this Saturday...;Register Online for Neighborhood Clean-up Supplies
I'm looking for recommendations on local hiking trails suitable for...;Family-friendly hiking trails
Does anyone know of any upcoming concerts or music festivals...;Upcoming concerts and music festivals
The local farmers' market is looking for vendors to sell...;Handmade crafts
Garage Sale Alert! This Saturday, come find some amazing deals...;Garage Sale Alert!
Community event: The annual SummerFest is coming up on July...;SummerFest at the town square
The town's annual holiday market is just around the corner!...;Join Our Holiday Market
Attention all residents: The annual community clean-up event is scheduled...;Join Your Neighbors for the Annual Community Clean-up
The local library is hosting a book club discussion on...;Join Classic Literature
Reminder: The annual town clean-up event is scheduled for next...;Annual town clean-up event
New Book Club starting soon! Join fellow book lovers every...;Book lovers unite every third Thursday
Community Garden plots available! If you're interested in growing your...;Reserve Your Community Garden Plot Today!
"Local Business Spotlight: Our very own ""The Daily Grind"" coffee...";Coffee Shop Anniversary
Movie Night at the Community Center this Friday! Join us...;Movie Night at the Community Center this Friday!
Join us for a free yoga class at the park...;Free yoga class at the park
Volunteer Opportunity: Help clean up our local beach on Sunday...;Help clean up our local beach on Sunday
Book Club Meeting: Discuss the latest bestseller over coffee and...;Book Club Meeting
Community Event: Join us for an evening of live music,...;Live music and food in town square
Language Exchange: Practice your language skills with native speakers while...;Language Exchange
The annual Holiday Market is just around the corner! Join...;December 10th at City Hall
Job alert: Local bookstore is hiring part-time book handlers. If...;Perfect Job for You
The town's annual Christmas tree lighting ceremony will take place...;Join us for the holiday season
This month, the local art studio is offering a series...;Create something beautiful
Reminder: The town's parking garage will be closed on December...;Parking garage will be closed on December 17th
Lost: A set of keys containing a house key, car...;Lost keys containing house key, car key, and office key
Community Clean-Up Day: Join us on Saturday to help keep...;Join us on Saturday for Community Clean-Up Day
The town's annual Christmas parade is just around the corner!...;Join us for the town's annual Christmas parade
Neighborhood Yard Sale: Join our community-wide yard sale on Saturday,...;Join our community-wide yard sale
Found: A small, black wallet with a few credit cards...;Found: A small, black wallet with a few credit cards...
Community clean-up event: Join us this Saturday at the park...;Join the Community Clean-up Event
The annual summer festival is just around the corner! Join...;Join us for a fun-filled day of live music
The local library is hosting a book club discussion on...;Engaging Conversation
The community garden is looking for volunteers to help with...;Community garden maintenance needed.
Join our book club next month as we discuss the...;Join Our Book Club Next Month
Our local animal shelter needs donations of pet food, toys,...;Our local animal shelter needs donations
The city is hosting a free concert series this summer...;Free Concert Series in the Park
Learn how to cook international cuisine at our cooking class...;Learn international cuisine this Saturday
Found: A set of keys with a small flashlight attached...;Found: Keys with flashlight
Creative Corner: Join our art class this Friday at the...;Friday art class
