Subject Line A;Subject Line B
Attention all gardeners! The community gardening club is hosting a...;Attention all gardeners!
Lost: A black cat with a distinctive white patch on...;Lost: A black cat with a distinctive white patch on...
Bookworms unite! Join us for a book club meeting at...;Bookworms unite!
Join us for our annual holiday market, featuring local artisans...;Local artisans and vendors
Calling all gardeners! The community gardening group is planning its...;Help the gardening group with its annual plant sale
The local library is hosting a book drive to support...;This Saturday at the Library
The local library is hosting a book drive for our...;Donate Books by Next Friday
Free yoga class for beginners this Saturday at the community...;Free yoga class this Saturday
Attention all book lovers! The library is hosting a used...;Attention all book lovers
Wanted: A reliable used bike for sale. Must be in...;Used bike for sale
The annual charity bake sale is happening this weekend! If...;The annual charity bake sale is happening this weekend!
Attention all dog owners! The local park is hosting a...;Attention all dog owners
Notice: The city's annual summer concert series starts next week!...;Join us at the park on Friday evenings for live...
Wanted: A reliable babysitter to watch our two kids (ages...;Babysitter wanted for weekend
Reminder: The city's recycling program is changing next month. Make...;Recycling Program Changes
Free event: Join us for a movie night at the...;Join us for a movie night
For sale: A gently used stroller suitable for toddlers (fits...;Toddlers - For Sale
Lost: Silver necklace with a small heart-shaped locket, last seen...;Beachside treasure hunt
Important: The annual town fair is coming up! Mark your...;Saturday Fun at the Park
Lost and Found: Did you lose your favorite coffee mug...;Did you find a coffee mug
Bookworms Unite: Join us for our monthly book club meeting...;Enjoy snacks with fellow readers
Attention all gardeners and nature lovers: The local park is...;Free Workshop on Sustainable Gardening Practices
Found: A vintage typewriter has been left at the library's...;A Vintage Typewriter Has Been Left
Free yard waste pickup: The city is offering a free...;Free yard waste pickup on April 15th
Nature Lovers' Alert: The local park is hosting a guided...;Meet at the Main Entrance
Garage sale alert! I'm having a massive garage sale this...;Massive garage sale this Saturday
Calling all book lovers! Our local bookstore is hosting a...;Swap books for new ones
Lost: A set of keys with a house key and...;Help needed!
Attention all book lovers: The local library is hosting a...;Attention all book lovers
Calling all bookworms! Join our literary club for a discussion...;Join Our Literary Club
Reminder: The community garden is open to all residents and...;Join us for our next workday this Saturday at 9...
The annual Fall Festival is just around the corner! Join...;The annual Fall Festival
Calling all gardeners! Our community garden is looking for new...;Calling all gardeners
The annual town-wide garage sale is happening this Saturday from...;The annual town-wide garage sale is happening this Saturday
The local library is hosting a book club for adults,...;Adults book club
"The local animal shelter is hosting a ""Clear the Shelters""...";Clear the Shelters
Reminder: The library will be closed this Sunday for a...;New services and programs
The community garden is looking for new members to help...;The community garden is looking for new members to help...
A bicycle was left locked near the coffee shop on...;When the Saints Go Marching In
Community Alert: The annual charity walk/run is happening this Saturday...;Superhero Costume
The town's annual holiday market is coming up on December...;Unique gifts for your loved ones
The local farmer's market is hosting a holiday bake sale...;New Equipment Supplies
The annual charity bake sale is just around the corner!...;Donate Your Favorite Baked Goods
Join us for a free outdoor concert in the park...;Free outdoor concert
The community garden is now open! Come visit and explore...;Sustainable gardening practices every Sunday
Attention all bookworms: Our library's summer reading program starts next...;Read, Earn, Win
The annual fireworks display is just a few days away!...;Fireworks Display
Wanted: A reliable and trustworthy babysitter for a family of...;Experience with young children
Lost: A set of keys with a keychain featuring a...;Keys with miniature Eiffel Tower keychain lost
Local Library News: The library is hosting a free author...;Author Reading Series Next Wednesday
