A;B
Keys with turtle keychain found near playground;Hey neighbors! Just spotted a set of keys with a...
I'm trying to get a carpool group together for daily...;I’m trying to get a carpool group together for daily...
For Rent: A Small, Two-Bedroom House Near The City Park;For rent: A small, two-bedroom house near the city park....
The City Council Discusses Public Transportation Routes;The city council will be discussing the new public transportation...
Wildlife in Action;Calling all photographers! The nature reserve is hosting its annual...
Garage Sale This Weekend!;Garage sale this weekend! We're downsizing and have furniture, tools,...
We Need More Contributors for the Community Garden Blog;We need more contributors for the community garden blog. If...
Thank You for the Kindness;To the person who helped me jump-start my car near...
The local theatre is seeking donations of costumes and props...;The local theatre is seeking donations of costumes and props...
Missing Cat Since Tuesday;Missing cat: Our beloved Siamese, Luna, has been missing since...
FREE Admission to Regional History Exhibit This Weekend;Our local museum is offering free admission this weekend to...
Keep Your Lawns Trimmed and Clear;A gentle reminder to all residents: Please keep your lawns...
I'm thinking about starting a book club;I'm thinking about starting a book club here in town...
Community-Wide Yard Sale;A group of us are organizing a community-wide yard sale...
We Are Looking for Volunteers;We are looking for volunteers to help with the senior...
Increased tick activity in local parks;Attention, pet owners! There have been reports of increased tick...
Found a pair of children's glasses near Oak Grove Park;Found a pair of children's glasses near the playground at...
Bridge Closure Notice;Notice to all: The bridge on Jefferson Road will be...
Join us for the community potluck dinner next Friday;Join us for the community potluck dinner next Friday at...
Come Support Our Talented Students;Our high school's music department is hosting a car wash...
I'm Collecting Old Laptops and Tablets;I'm collecting old laptops and tablets to donate to local...
Free Health Screenings Next Tuesday;The community health clinic will be offering free health screenings...
LOST DOG NOTICE: Black Labrador with blue collar;Lost dog notice: Our family's black Labrador, Max, wandered off...
Missing Friendly Orange Tabby Cat;We're missing a friendly orange tabby cat from our home...
Join us for a night of stargazing at Hilltop Park...;Calling all amateur astronomers! Join us for a night of...
The annual river cleanup is happening this weekend.;The annual river cleanup is happening this weekend. We're looking...
Free Computer Setup and Troubleshooting Services;If anyone needs help setting up their new computers or...
We Are Forming a New Choir Group;We are forming a new choir group in town and...
Found: A set of keys in the parking lot of...;Found: A set of keys in the parking lot of...
Seeking New Members for Neighborhood Watch Group;The neighborhood watch group is seeking new members. If you're...
Volunteers needed for the community garden spring planting day next...;Volunteers needed for the community garden spring planting day next...
The community pool opens for the season this weekend!;Reminder: The community pool opens for the season this weekend!...
If Anyone Is Interested In Learning About Sustainable Living Practices;If anyone is interested in learning about or discussing sustainable...
Join us for live music, refreshments, and local artists' work.;The downtown art gallery is celebrating its 5th anniversary with...
I'm Offering Lawn Mowing Services;I’m offering lawn mowing services this summer. I have my...
Thank You for Helping Push My Car;To anyone who helped push my car out of the...
Lost Cat Since Monday;Lost cat: Our family's gray tabby, Whiskers, has been missing...
Our Weekend Reading Program for Kids;Our community library is starting a weekend reading program for...
Attention Cyclists: Bike Racks Coming Downtown;Attention cyclists: The city will be adding bike racks at...
Does Anyone Have Experience with Rainwater Collection Systems?;Does anyone have experience with rainwater collection systems? I'm looking...
Calling All Green Thumbs!;Calling all green thumbs! We're looking for guest contributors to...
Annual Community Yard Sale;The annual community yard sale is scheduled for next Saturday...
Bulk Trash Pickup Next Week;A reminder that bulk trash pickup is happening next week....
I Found a Set of Car Keys Near the Coffee...;I found a set of car keys near the coffee...
Community Cycling Group;We're starting a community cycling group that will meet every...
I recently moved here;I recently moved here and I'm a professional carpenter looking...
Auditions for Grease Production;The local theater is holding auditions for its summer production...
Weekly Knitting and Crochet Group;If anyone is interested in a weekly knitting and crochet...
Vehicle Break-Ins Meeting;Our neighborhood watch is organizing a meeting to discuss recent...
I'm offering free piano lessons for beginners.;I'm offering free piano lessons for beginners. I have a...
Car Wash Fundraiser This Saturday;The local high school's robotics team is hosting a car...
LOST CAT: Grey Tabby Missing Since Yesterday;Lost cat: My grey tabby, Misty, has been missing since...
I'm Organizing a Book Drive;I'm organizing a book drive to help restock the library...
Organic Pest Control Methods;The community garden is offering a workshop on organic pest...
A Black Wallet Found in the Park;A black wallet was found in the park near the...
We're looking for local bands to perform at the upcoming...;We're looking for local bands to perform at the upcoming...
My Kids Need New Bicycles;My kids have outgrown their bicycles, and I'd like to...
Please keep your dogs on a leash while in public...;Reminder to all residents: Please keep your dogs on a...
Volunteer Drivers Needed for Weekly Grocery Shopping Trips;The seniors' center is looking for volunteer drivers to help...
Found a small drone in Lincoln Park near the playground;Found a small drone in Lincoln Park near the playground....
The city council is hosting a public forum on the...;The city council is hosting a public forum on the...
Anyone missing a green parakeet?;Anyone missing a green parakeet? A little bird has been...
The annual children's book fair;The annual children's book fair will be held at the...
I LOST A SILVER BRACELET;I lost a silver bracelet somewhere between Park Avenue and...
Cleanup Day for Community Trails System;We're planning a cleanup day for the community trails system....
Controlled Burn in Old Forest Preserve;The local fire department will be conducting a controlled burn...
The Community Pool Opens for the Season This Weekend!;Reminder: The community pool opens for the season this weekend!...
Message Me If Interested;Please message me if interested.
Sustainable Living Practices;If anyone is interested in learning about or discussing sustainable...
Downtown Art Gallery Celebrates 5th Anniversary;The downtown art gallery is celebrating its 5th anniversary with...
The local park now requires all dogs to be on...;Reminder for all pet owners: The local park now requires...
The city library is launching a new lecture series focused...;The city library is launching a new lecture series focused...
Found a blue USB drive in the community center parking...;Found a blue USB drive in the community center parking...
Proper Sorting Helps Reduce Waste;Reminder: Please adhere to the recycling guidelines posted on our...
Assisting the Elderly with Grocery Shopping;We are starting a neighborhood initiative to assist the elderly...
There's a new art exhibition at the downtown gallery featuring...;There's a new art exhibition at the downtown gallery featuring...
Local Vendors Sought for Spring Fling Festival;The annual Spring Fling Festival is seeking local vendors. If...
MISSING: One small drone, last seen flying near Maple Street...;Missing: One small drone, last seen flying near Maple Street...
Winter Clothing Drive for Homeless Shelter;I’m organizing a winter clothing drive for the homeless shelter...
Heads Up: Annual Community Cleanup This Saturday;Heads up, the annual community cleanup will be this Saturday....
Be on the lookout for increased deer activity near the...;Community Alert: Be on the lookout for increased deer activity...
Iâ€™m Offering Math Tutoring for High School Students;I’m offering math tutoring for high school students. If your...
If anyone finds a set of silver hoop earrings at...;If anyone finds a set of silver hoop earrings at...
EMERGENCY REPAIRS TOMORROW ON JEFFERSON AVE;Notice: The water main on Jefferson Ave will be shut...
Found a child's stuffed bear in the park near the...;Found a child's stuffed bear in the park near the...
The Local Theater Group Needs Your Help;The local theater group is looking for props and vintage...
Our community's annual book fair is returning!;Our community's annual book fair is returning! We’re currently accepting...
Pet Licenses Need to be Renewed;A reminder that pet licenses need to be renewed by...
Volunteers Needed for Fall Planting Event;Volunteers needed for the community garden’s fall planting event next...
Let's Ace These Exams Together;Looking for a study buddy for German language exams. If...
High School Jazz Band Free Concert This Thursday;The high school jazz band will be giving a free...
If you're an expert in crafting, consider leading a workshop...;If you’re an expert in crafting, consider leading a workshop...
The Local Food Pantry is Running Low;The local food pantry is running low on supplies. We're...
Free Yoga Classes Every Sunday;Free yoga classes are being offered at the park every...
Car-Free Day Next Month;Our neighborhood is organizing a car-free day next month to...
Lost: Gold bracelet found near Pine Street Market;Lost: A gold bracelet in the vicinity of Pine Street...
The local volunteer fire department is hosting an open house...;The local volunteer fire department is hosting an open house...
Attention all tech enthusiasts;Attention all tech enthusiasts: We're forming a new club to...
Heads Up! Temporary Road Closure on Elm Street This Weekend;Heads up! There will be a temporary road closure on...
I found a set of house keys near the fountain...;I found a set of house keys near the fountain...
