A;B
Indoor Soccer League - Join Us!;Weíre starting an indoor soccer league this winter and need...
Annual Community Potluck Scheduled for Next Saturday;The annual community potluck is scheduled for next Saturday at...
The Local Museum Will Be Closed for Renovations;Notice: The local museum will be closed for renovations starting...
Fall Yard Cleanup Help Available;If anyone needs assistance with fall yard cleanup, our high...
LOST CAT: Small black and white cat named Oreo missing;Lost cat: A small black and white cat named Oreo...
NO EXPERIENCE NECESSARY WE PROVIDE TRAINING;The youth soccer league is looking for coaches and referees...
The Architectural History of Our Town;The local historical society is hosting a lecture on the...
Found: Red and black remote control car in alley;Found: A small remote control car in the alley behind...
The Annual Haunted House Fundraiser Is Back;The annual haunted house fundraiser is back! We're looking for...
Keep Sidewalks Clear of Leaves and Debris;Community service reminder: Please keep sidewalks clear of leaves and...
The local art gallery is seeking submissions for a community...;The local art gallery is seeking submissions for a community...
Good Morning, Fellow Residents!;Good morning, fellow residents! We're organizing a clean-up day at...
I bake custom cakes for any occasion‚Äîbirthdays, anniversaries, you name...;I bake custom cakes for any occasionóbirthdays, anniversaries, you name...
Found a digital camera at the viewpoint on Ridge Trail.;Found a digital camera at the viewpoint on Ridge Trail....
Volunteers Needed for Library's Annual Book Sale;Volunteers needed for the libraryís annual book sale. If you...
Lost: A Set of Gold-Rimmed Reading Glasses;Lost: A set of gold-rimmed reading glasses, possibly left in...
Join Weekly Meal-Prep Group;Anyone interested in joining a weekly meal-prep group? We get...
Found a set of car keys in the Westside Mall...;Found a set of car keys in the Westside Mall...
We're Looking for Guest Speakers;We are looking for guest speakers for our monthly virtual...
Seeking Volunteers for Weekend Tours;Our local museum is currently seeking volunteers to help guide...
High School Band Charity Concert;The high school band is hosting a charity concert to...
Expect Detours and Plan Your Routes;The city will be repaving several roads starting next week....
Our Annual Plant Swap;Our annual plant swap is happening next Saturday at the...
My computer has been acting up, and I think it...;My computer has been acting up, and I think it...
FREE CPR and First Aid Training this Month;The community center is offering free CPR and first aid...
Lost: A small drone, last seen near Pine Grove Park.;Lost: A small drone, last seen near Pine Grove Park....
The Local Food Bank Urgently Needs Donations;The local food bank is in urgent need of canned...
Clean the Creek Day Next Sunday;"Join us for the annual ""Clean the Creek"" day next..."
I'm Offering Tutoring Services;I'm offering tutoring services for middle and high school students...
The Photography Club;The photography club is looking for new members! We meet...
Missing Cat Found;"Missing cat: ""Whiskers,"" a fluffy white Persian, has been missing..."
The community theater seeks donations of old costumes and props;The community theater is seeking donations of old costumes and...
Computer Skills Workshop This Thursday;Thereís a computer skills workshop focusing on basic skills like...
Found a small child's bike near the community center.;Found a small child's bike near the community center. It's...
Guitar Lessons;I'm offering guitar lessons in the evenings and weekends. Whether...
Meet Our Firefighters;Our local fire station will be holding an open house...
FORUM TO DISCUSS UPCOMING DEVELOPMENT PLANS;The neighborhood council is hosting a forum to discuss upcoming...
Property Taxes Are Due at the End of the Month;A friendly reminder that property taxes are due at the...
The local art league is hosting a weekend workshop on...;The local art league is hosting a weekend workshop on...
"The annual ""Books for Kids"" drive is happening now.";"The annual ""Books for Kids"" drive is happening now. We're..."
Attention All Runners;Attention all runners: The community 10K race is just around...
LOST DRONE ALERT;Lost drone alert: I lost my drone while taking aerial...
Our Local History Group Seeking Old Photographs;Our local history group is seeking old photographs and stories...
Found a smartphone in Central Park near the fountain;Found a smartphone in Central Park near the fountain. It's...
Upgrading your skills for today's job market;The local community college is offering evening classes in web...
Our Community Garden Has Plots Available;Our community garden has a few plots available for the...
Light Up the Night Holiday Parade;"Our annual ""Light Up the Night"" holiday parade is seeking..."
If you've lost a pet;If you've lost a pet, remember to check the animal...
Improve Insulation and Reduce Utility Bills;The neighborhood association is planning a series of workshops on...
The local symphony orchestra will be giving a free concert...;The local symphony orchestra will be giving a free concert...
Volunteers Needed for Annual River Regatta;Volunteers needed for our annual river regatta next month. We...
The Community Pool is Now Open for the Season;Reminder: The community pool is now open for the season....
LOST Silver Locket at Downtown Market;Lost a precious silver locket at the downtown market last...
Environmental Conservation Lectures;The local university extension is offering a series of lectures...
A note to all dog owners: Please clean up after...;A note to all dog owners: Please clean up after...
Found a pair of prescription glasses at the bus stop...;Found a pair of prescription glasses at the bus stop...
I Lost A Small Gold Locket;I lost a small gold locket near the central plaza...
"""Taste of the Town"" Food Festival";"Join us for our annual ""Taste of the Town"" food..."
Stray Dog Spotted in Industrial Area;A stray dog has been seen roaming near the industrial...
The High School's Annual Art Show Is Open To The...;The high school's annual art show is open to the...
Neighborhood Carpool System;We're organizing a neighborhood carpool system to help reduce traffic...
Digital Literacy Workshops at Local Library;The local library is starting a series of bi-weekly workshops...
Please be advised that the annual maintenance of the town's...;Please be advised that the annual maintenance of the town's...
Brown leather briefcase left in downtown taxi;A brown leather briefcase was left in the cab of...
There's a community effort to restore the old mill and...;There's a community effort to restore the old mill and...
The High School Needs Your Help;The high school is collecting donations for their upcoming drama...
Community Garden Plots Now Available;Our community garden plots are now available for the coming...
We're looking for volunteers;Weíre looking for volunteers to help with the spring festival...
I Found A Set Of Keys Near The Lake Trail;I found a set of keys near the lake trail,...
CPR and First Aid Training Session This Saturday;There will be a CPR and first aid training session...
New Park Development Plans;The monthly meeting of the town council will take place...
This Sunday at City Park;The local art club is holding an outdoor painting session...
Our Town's Historical Society Seeks Volunteers;Our town's historical society is looking for volunteers to help...
Missing Drone Over Community Park;Missing: a small drone, last seen flying over Community Park....
The Community Center's Annual Bake Sale;The community center's annual bake sale to support local homeless...
The road by the elementary school will be partially closed...;The road by the elementary school will be partially closed...
The local veterans' association is organizing a charity run next...;The local veterans' association is organizing a charity run next...
A Silver Locket Was Found;A silver locket was found in the community hall following...
I Just Opened a Yoga Studio;I just opened a yoga studio downtown and am offering...
The community orchestra has openings for violinists and cellists for...;The community orchestra has openings for violinists and cellists for...
