A;B
Good Piano Tuner Needed;Neighborhood Watch Introduction meeting this Thursday at the town hall...
Neighborhood Watch Introduction Meeting this Thursday;Annual Pancake Breakfast at the firehouse this weekend. Come enjoy...
Annual Pancake Breakfast;Lost Keys near Market Street. Set of car and house...
Lost Keys near Market Street;I found a set of keys near the bus stop...
I FOUND A SET OF KEYS NEAR THE BUS STOP...;Found: A small pouch containing various crafting tools, left behind...
Found: A small pouch containing various crafting tools;Volunteers are needed for the downtown clean-up day next Saturday....
Meet at the town square at 9 AM ready to...;The local theater is holding auditions for its summer production...
Auditions for Grease Production;A friendly reminder that property taxes are due at the...
Property Taxes Due at the End of the Month;Lost: A blue and white striped beach towel, left on...
LOST: A blue and white striped beach towel;I’m trying to find a home for a friendly stray...
I'm Trying to Find a Home for a Friendly Stray...;I'm offering free tech help for seniors this Friday at...
I'm offering free tech help for seniors this Friday at...;A wallet was found near the outdoor gym in Central...
Wallet Found Near Outdoor Gym in Central Park;The local art club is holding an outdoor painting session...
Outdoor Painting Session This Sunday;Attention, gardeners! The community garden is now accepting applications for...
Attention, gardeners! The community garden is now accepting applications for...;Lost: A gold bracelet in the vicinity of Pine Street...
LOST: Gold bracelet in Pine Street Market;The community college is offering a series of free workshops...
Financial Literacy Workshops at the Community College;"The public library is starting a new series called ""Meet..."
Meet the Author;We're starting a community cycling group that will meet every...
Every Sunday Morning Cycling Group;Our local history group is seeking old photographs and stories...
Our Local History Group Seeks Old Photographs;Lost: A small drone with a camera attachment was last...
Lost: A small drone with a camera attachment was last...;Volunteers needed! The community garden is looking for extra hands...
Volunteers Needed for Community Garden;Let's clean up our beaches! I'm organizing a beach clean-up...
Let's Clean Up Our Beaches;Reminder: The quarterly homeowner’s association meeting will be held next...
Quarterly Homeowner's Association Meeting Next Thursday;Found: A set of keys near the playground. They have...
Found: A set of keys near the playground.;The local school is collecting gently used books for their...
The local school is collecting gently used books for their...;Can anyone recommend a good electrician? My porch lights need...
Can Anyone Recommend a Good Electrician?;For sale: A barely-used mountain bike, suitable for teens or...
For Sale: Barely-Used Mountain Bike;The neighborhood watch alerts you to a recent increase in...
CAR BREAK-INS ON THE RISE;Pet adoption day this Saturday at the animal shelter! Come...
Pet Adoption Day This Saturday at the Animal Shelter;The local jazz club is featuring a new band this...
The local jazz club is featuring a new band this...;Annual charity run benefitting the children's hospital is coming up....
Annual Charity Run for Children's Hospital;Garage sale! This Sunday from 8 AM to 12 PM...
Garage Sale! This Sunday from 8 AM to 12 PM...;"I lost a small drone in the park yesterday; it's..."
I Lost A Small Drone In The Park Yesterday;Lost: A silver wristwatch near the tennis courts. It has...
LOST: Silver Wristwatch Near Tennis Courts;The town council is seeking input on the new park...
Seeking Input on New Park Development Plans;Reminder: Next week’s waste collection will be on Wednesday, not...
Reminder: Waste Collection on Wednesday;Found Cat: An orange tabby with no collar was found...
Found Cat: An orange tabby with no collar was found...;Local art exhibition this weekend at the community center. Come...
Local Art Exhibition This Weekend;For rent: A two-bedroom apartment with a lovely view of...
A Two-Bedroom Apartment with a Lovely View;Yoga classes starting next month at the park. Experienced instructors,...
Yoga Classes Starting Next Month at the Park;The library is extending its hours for finals week. Students...
Library Extending Hours for Finals Week;Neighborhood BBQ this Saturday! Bring your favorite dish and join...
Neighborhood BBQ this Saturday!;Lost dog: A black Labrador, last seen near the grocery...
LOST DOG: Black Labrador near grocery store.;Attention all! A red bicycle was found locked outside the...
Attention All! A Red Bicycle Was Found;Looking for fellow crafters interested in starting a weekly crafting...
Fellow Crafters Needed for Weekly Crafting Circle;Safety tip: With the recent storms, ensure that all outdoor...
With recent storms, ensure that all outdoor furniture is secured.;Traveling book club meets next Monday. This month’s book is...
This month's book is a thrilling mystery novel.;Hiking group! Interested in exploring local trails with fellow outdoor...
Hiking Group!;Found bicycle near the community hall. It's a children's bike,...
Found bicycle near community hall;Health awareness workshop on managing stress, hosted by the wellness...
Health Awareness Workshop;Artisans market! Local craftspeople will be selling homemade goods this...
Artisans Market!;Traffic note: Roadworks on Main St. starting next week. Expect...
Roadworks on Main St. starting next week.;Community cooking class: Learn how to make Italian dishes from...
Learn How to Make Italian Dishes;The local animal shelter is seeking donations of pet food,...
The local animal shelter is seeking donations of pet food,...;Reminder for all gardening enthusiasts! Join our monthly gardening club...
