A;B
Bake Sale: This Sunday outside the community hall. All proceeds...;Bake Sale This Sunday outside the community hall
Warning: Bear sightings reported near Cedar Grove. Be cautious when...;Warning: Bear Sightings Reported Near Cedar Grove
Art Exhibition: Local artists display their work this weekend at...;Art Exhibition This Weekend
Found Dog: Small poodle mix found wandering near the market...;Found Dog: Small poodle mix found near the market square
Documentary Screening: 'The History of Our Town' at the cinema...;The History of Our Town
Appeal for old laptops and tablets for local school. If...;Appeal for old laptops and tablets for local school
The high school's annual craft bazaar is next weekend. Come...;The High School's Annual Craft Bazaar
I'm a professional photographer offering mini photo sessions this weekend...;I'm offering mini photo sessions this weekend
The city park department is looking for volunteers to help...;The City Park Department Needs Volunteers
The annual 5K fun run to support local schools is...;The Annual 5K Fun Run to Support Local Schools
The community orchestra is looking for musicians who play woodwind...;The community orchestra is looking for musicians who play woodwind...
Reminder: The city’s annual tree planting event is happening this...;The City's Annual Tree Planting Event
If anyone needs assistance with fall yard cleanup, our high...;If anyone needs assistance with fall yard cleanup, our high...
Anyone know of a good piano tuner in the area?...;Anyone know of a good piano tuner in the area?
A gentle reminder to all residents: Please keep your lawns...;Keep Your Lawns Trimmed and Clear of Debris
A reminder to all residents to adhere to the recycling...;Incorrect Sorting Can Lead To Contamination
I lost a silver bracelet somewhere between Park Avenue and...;I Lost A Silver Bracelet
Join our new community choir! Whether you're a seasoned singer...;Join Our New Community Choir
Boost your career with our evening classes in web design...;Boost your career with our evening classes
Lost your GoPro at Ridgeback Mountain? Describe its videos or...;LOST GoPro at Ridgeback Mountain
A gentle reminder from the public library: Please return overdue...;Please return overdue books.
Take a step towards sustainability with our upcoming workshop at...;Take a step towards sustainability
Cyclists, make your mark on the city! Share your ideas...;Cyclists, Make Your Mark on the City!
Local history enthusiasts wanted for a newly forming club. Delve...;Local History Enthusiasts Wanted
Got green fingers? Join our community garden group this spring....;Got Green Fingers?
Are you ready to showcase your culinary skills? Our annual...;Are You Ready to Showcase Your Culinary Skills?
Volunteers needed for our library's reading program. Help kids improve...;Help Kids Improve Their Literacy Skills
Is your pet a star? Enter them into our annual...;Is Your Pet a Star?
Discover the joys of pottery at our local arts center....;Discover the joys of pottery at our local arts center.
Looking for a yoga class? Join our morning sessions by...;Looking for a yoga class? Join our morning sessions by...
Our community theatre needs your talents! Auditions for the upcoming...;Our community theatre needs your talents!
Volunteers needed! We're looking for community members to help organize...;Volunteers Needed
Neighborhood garage sale this weekend! Clear out your clutter or...;Neighborhood Garage Sale This Weekend!
Be part of our annual fun run! Whether you sprint...;Annual Fun Run - Support Local Charities
Safety first! Join our workshop on home security and personal...;Safety First!
Local artist showcase at our gallery this Friday. Come admire...;Local Artist Showcase This Friday
Teen tech whizzes! We’re starting a robotics club. Build, code,...;TEEN TECH WHIZZES!
Book lovers, join our monthly reading club. We pick exciting...;Book Lovers Join Our Monthly Reading Club
Attend our craft market this Sunday. Handmade goods from local...;Handmade Goods from Local Artisans
Want to make a difference? Join our beach cleanup this...;Want to make a difference?
Game night at the community center! Bring your favorite board...;Game Night at the Community Center!
Free health screening at our local clinic this Saturday. Know...;Free Health Screening This Saturday
Lost dog alert: A golden retriever, wearing a blue collar...;LOST DOG ALERT: A golden retriever, wearing a blue collar...
Revitalize your garden with our free workshop on organic gardening....;Revitalize Your Garden
Real estate workshop for first-time homebuyers. Demystify the buying process...;Real Estate Workshop for First-Time Homebuyers
Local filmmakers: Join our film viewing and critique night. Share...;Local Filmmakers Join Our Film Viewing and Critique Night
Ready for a trivia challenge? Test your knowledge and win...;Ready for a trivia challenge?
Support local high school sports. Check out this week's games...;Support Local High School Sports
Trading card enthusiasts gather for our monthly swap meet. Trade...;Trading Card Enthusiasts Gather
Update your wardrobe at our clothing swap event. Bring items...;Update Your Wardrobe
Our local theater is seeking vintage 1920s-style costumes for their...;The Great Gatsby Costume Needed
Volunteers needed for the community garden’s fall planting event next...;Volunteers Needed for Fall Planting Event
Anyone interested in joining a weekly meal-prep group? We get...;Anyone Interested in Joining a Weekly Meal-Prep Group
Heads up! Roadwork ahead on Elm Street starting from Monday....;Heads Up! Roadwork Ahead on Elm Street Starting from Monday
We're thrilled to announce the launch of a new local...;We're thrilled to announce the launch of a new local...
Volunteers needed! We're looking for community members to help organize...;Volunteers Needed for Spring Festival
My kids have outgrown their bicycles, and I'd like to...;Kids' Bicycles for Free
Lost during the fun run: a digital sports watch, black...;Lost Digital Sports Watch with Blue Band
Found a pair of children's glasses near the playground at...;Found a pair of children's glasses near Oak Grove Park.
Lost: a small drone with a red stripe, last seen...;Lost Drone with Important Footage
There's a community effort to restore the old mill and...;There's a community effort to restore the old mill
Lost: A pair of prescription sunglasses at Sunset Park. They...;LOST: Black Ray-Bans at Sunset Park
Lost a gold bracelet near the central library. Significant emotional...;Lost a gold bracelet near the central library
Main Street will undergo construction starting from next Monday. Traffic...;Main Street Construction Starting Next Monday
I'm a freelance graphic designer currently available for new projects....;I'm a freelance graphic designer currently available for new projects.
The city council is hosting a town hall meeting next...;Make Your Voice Heard
Explore the joys of acrylic painting with our local art...;Explore the joys of acrylic painting with our local art...
Volunteers needed at our local senior center for engaging with...;Volunteers Needed
Calling all green thumbs to contribute to our park’s community...;Calling all green thumbs to contribute to our parkâ€™s community...
Found a set of keys near the city park entrance....;Found a set of keys near the city park entrance....
Reminder: The annual book sale at the town hall is...;The annual book sale at the town hall is this...
The neighborhood watch group is seeking new members to help...;The Neighborhood Watch Group Seeks New Members
Free cat adoption event this weekend at the local animal...;Free Cat Adoption Event This Weekend
Join us for a historical walking tour of the old...;Join us for a historical walking tour of the old...
The environmental club is organizing a cleanup day at the...;Bring friends and family and help keep our shores clean!
Our community center is offering free yoga classes every Wednesday...;FREE Yoga Classes Every Wednesday Evening
Reminder: The deadline to pay your property taxes without penalty...;Reminder: Deadline to Pay Property Taxes Without Penalty Approaching
Lost: A special edition running watch last seen at the...;Lost: A Special Edition Running Watch
The local theater group is performing Shakespeare in the Park...;Shakespeare in the Park this month
Urgent: Blood donors needed at the city hospital this Thursday....;Urgent: Blood Donors Needed
Found: A child’s stuffed bear in the playground on Elm...;A child's stuffed bear found in playground on Elm Street
The junior soccer league is open for registration. Children ages...;The Junior Soccer League
Pothole repairs are scheduled for Third Avenue next week. Expect...;Pothole Repairs Scheduled for Third Avenue Next Week
A crafting meetup is happening at the community hall next...;A crafting meetup is happening at the community hall next...
The local scout troop is looking for kids interested in...;Local Scout Troop Seeks Kids for Outdoor Adventures
Attention pet owners: A pet vaccination clinic will be hosted...;Attention Pet Owners: Pet Vaccination Clinic This Saturday
Garage sale this weekend at the corner of Cedar and...;Don't miss out!
Community Alert: There have been reports of suspicious activities in...;Community Alert
A community potluck is scheduled for next month at the...;Bring Your Best Dish
Our neighborhood tennis club is hosting a tournament next month....;Neighborhood Tennis Club Hosting Tournament Next Month
Lost: A drone in the park area during last weekend's...;LOST: A Drone in the Park Area
Volunteers needed to help organize the annual Harvest Festival. It's...;Volunteers Needed for Annual Harvest Festival
Reminder: Property taxes are due at the end of the...;Property Taxes Due
The community choir is looking for new members to join...;The Community Choir Seeks New Members
Found: A pair of prescription glasses at the community pool....;Found: Prescription Glasses at the Community Pool
The local museum is offering a new exhibit on the...;Explore Vintage Cameras and Iconic Photographs
Join us for the annual Tree Planting Day this Sunday...;Join Us for the Annual Tree Planting Day
Notice of power outages: Scheduled electrical maintenance will occur this...;Notice of Power Outages
Free health screening event at the community clinic this month....;Free Health Screening Event
Attention parents! The local youth center is now offering after-school...;Attention Parents
