Subject Line A;Subject Line B
Don't miss our annual summer sale on July 21st from...;Summer sale on July 21st
The book club will meet this Wednesday at 7:30 PM...;The Nightingale Book Club Meeting
Get ready for a night of stargazing with our astronomy...;Stargazing on June 22nd
Our weekly farmers' market is open every Thursday from 3:30-6:30...;Fresh produce, baked goods, and more!
Join us for a free movie night on June 29th...;Free Movie Night at the park
"The local animal shelter is hosting a ""Furry Friends"" adoption...";Furry Friends adoption event
Get ready to groove at the upcoming dance competition on...;Mini-workshop at the dance competition
The town's annual Earth Day celebration is just around the...;Get ready for Earth Day
Calling all bookworms! Our library is hosting an author reading...;Calling all bookworms!
The community center is offering free yoga classes every Saturday...;Every Saturday morning yoga classes
I'm organizing a charity walk/run for next Saturday morning to...;Charity Walk/Run
My friend is offering free yoga classes at the community...;Free Yoga Classes
The neighborhood pool is hosting an adult swim night this...;Adult Swim Night
I'm collecting canned goods for the local food bank. If...;Help with Food Collection
The school is seeking volunteers to help with their annual...;Seeking Volunteers for Annual Spring Fair
Join us for a free yoga class this Saturday at...;Saturday Yoga Class
Get ready to rock out with our local music group...;Music night at the library
Calling all bookworms! Our summer reading program is now open...;Calling all bookworms
Don't miss our free movie screening this Wednesday at 6...;Movie screening this Wednesday
Learn how to knit with us on Tuesday nights from...;Tuesday nights for knitting
Join the library's book club for a discussion of [insert...;Join the library's book club
Take your photography skills to the next level with our...;Photography skills level
Public Museum hosting a lecture on 'Ancient Civilizations' this Friday...;This Friday Lecture on Ancient Civilizations
Free Yoga Classes at the park every Saturday morning starting...;Bring your own mat and water bottle
Looking for someone to practice conversational Spanish with? Post an...;Post an Ad
Local Art Gallery hosting a painting class this Sunday from...;Local Art Gallery hosting
Free Language Exchange at the coffee shop every Wednesday evening...;Language Exchange
Community Garden offering free gardening workshops for beginners on the...;Free Gardening Workshops for Beginners
The school's book club is meeting next Wednesday to discuss...;Book club meeting at 3:15 PM
Attention all artists and crafty folks! Our art show is...;Attention all artists
The school's soccer team is hosting a car wash fundraiser...;Saturday Car Wash
Calling all music lovers! Our school choir will be performing...;Don't miss your chance to shine
Join us for a free yoga class this Sunday at...;Yoga Class this Sunday
The local animal shelter is hosting an adoption fair this...;Furry Friends Looking for Forever Homes
Learn how to cook international cuisine with our new cooking...;Cooking international cuisine with new class series
The city's environmental committee is hosting a clean-up event this...;Clean-up Event in the Park
Join us for a free meditation session this Thursday at...;Meditation session at the library
Join us for a free outdoor movie night on Friday...;Bring your favorite snacks and blankets
Calling all book lovers! Our library is hosting an author...;Calling all book lovers
Get ready to groove with us at our annual summer...;Get Ready to Groove
The community garden is hosting a workshop on organic gardening...;Sunday Workshop
Join us for our annual holiday market next Saturday at...;Join us for our annual holiday market
Calling all cyclists! Our bike club is hosting a group...;Calling all cyclists!
The local library is hosting a book club for adults...;Read and discuss with fellow book lovers
Our community garden is looking for volunteers to help with...;Join Our Community Garden
The annual charity walk/run will take place on September 22nd....;Register Now for the Charity Walk/Run
The city's art museum is featuring an exhibit of local...;Local artists' work on display at the city's art museum
Our school district is seeking donations of gently used backpacks,...;Donations of gently used backpacks and supplies needed
Join us for a book club meeting on Thursday at...;The Alchemist book club
Get ready for a fun night out with friends! The...;Sign Up in Advance
Calling all gardeners! Join our community gardening group on Saturday...;Join Our Community Gardening Group
Are you a music lover? Come jam with us this...;Are you a music lover?
Join our photography club for a sunset hike on Wednesday...;Enjoy the views!
Join us for a free yoga class on the town...;All levels welcome this Saturday
Calling all bookworms! Our summer reading program is now open...;Calling all bookworms
Get ready to groove at our annual music festival next...;Get ready to groove at our annual music festival
Attention gardeners! Join us for a workshop on organic gardening...;Attention Gardeners
Calling all art lovers! Our town's first-ever mural painting event...;Calling all art lovers!
Take a break from the hustle and bustle with our...;Free meditation
