Subject Line A;Subject Line B
We're starting an indoor soccer league this winter and need...; Fill Out Our Roster
The annual community potluck is scheduled for next Saturday at...; Potluck at the park pavilion
Notice: The local museum will be closed for renovations starting...; Museum renovation updates
If anyone needs assistance with fall yard cleanup, our high...; Fall Yard Cleanup Fundraiser
Lost cat: A small black and white cat named Oreo...;LOST CAT: Small black and white cat named Oreo missing...
The youth soccer league is looking for coaches and referees...; No Experience Necessary - We Provide Training
The local historical society is hosting a lecture on the...; Lecture on our town's architectural history
Found: A small remote control car in the alley behind...;Found: A small remote control car
The annual haunted house fundraiser is back! We're looking for...; Haunted house fundraiser needs you
Community service reminder: Please keep sidewalks clear of leaves and...; Fall maintenance reminder
The local art gallery is seeking submissions for a community...; Special Exhibit Next Month
Good morning, fellow residents! We're organizing a clean-up day at...;Good morning, fellow residents!
I bake custom cakes for any occasion - birthdays, anniversaries, you name...; Custom cakes for any occasion
Found a digital camera at the viewpoint on Ridge Trail....; Digital camera contains vacation photos
Volunteers needed for the library's annual book sale. If you...; Library's annual book sale needs your help
Lost: A set of gold-rimmed reading glasses, possibly left in...; Reading glasses lost in park pavilion
Anyone interested in joining a weekly meal-prep group? We get...; Meal-prep group for busy weeks ahead
Found a set of car keys in the Westside Mall...;Found a set of car keys with Batman keychain
We are looking for guest speakers for our monthly virtual...; Share Your Knowledge at Virtual Technology Forum
Our local museum is currently seeking volunteers to help guide...;Volunteers Needed for Weekend Tours
The high school band is hosting a charity concert to...; School Auditorium
The city will be repaving several roads starting next week....;Expect detours and plan your routes accordingly
Our annual plant swap is happening next Saturday at the...; Botanical Gardens Event
My computer has been acting up, and I think it...; Computer virus alert
The community center is offering free CPR and first aid...;Free CPR and first aid training this month
Lost: A small drone, last seen near Pine Grove Park....; Reward for a drone
The local food bank is in urgent need of canned...; Donate canned goods and non-perishable items
"Join us for the annual ""Clean the Creek"" day next..."; Join us for Clean the Creek day
I'm offering tutoring services for middle and high school students...; Math and science help for students
The photography club is looking for new members! We meet...; Photography club meets every Wednesday evening.
"Missing cat: ""Whiskers,"" a fluffy white Persian, has been missing...";Missing Cat
The community theater is seeking donations of old costumes and...; Theater seeks donations of old costumes
There's a computer skills workshop focusing on basic skills like...; Basic Computer Skills Workshop
Found a small child's bike near the community center. It's...;Found a small child's bike near the community center
I'm offering guitar lessons in the evenings and weekends. Whether...; Guitar lessons for all levels
Our local fire station will be holding an open house...; Open house next Saturday
The neighborhood council is hosting a forum to discuss upcoming...; Join the community forum next Tuesday
A friendly reminder that property taxes are due at the...; Payments Due at the End of the Month
The local art league is hosting a weekend workshop on...; Weekend Watercolor Class
"The annual ""Books for Kids"" drive is happening now. We're...";Books for Kids
Attention all runners: The community 10K race is just around...; Join the morning of friendly competition
Lost drone alert: I lost my drone while taking aerial...; Drone alert in Riverside
Our local history group is seeking old photographs and stories...; Old photographs needed for town history exhibition
Found a smartphone in Central Park near the fountain. It's...;Found a smartphone in Central Park
The local community college is offering evening classes in web...; Evening Classes
Our community garden has a few plots available for the...; Community garden plots
"Our annual ""Light Up the Night"" holiday parade is seeking...";Light Up the Night Holiday Parade
If you've lost a pet, remember to check the animal...; Check the animal shelter for lost pets
The neighborhood association is planning a series of workshops on...; Home Energy Efficiency
