Subject Line A;Subject Line B
Book Club: Meet fellow book lovers and discuss our latest...;Discuss our latest
Community Clean-Up Day: Help keep our town beautiful by joining...;Community Clean-Up Day - Next Weekend
Reminder: The annual summer festival is just around the corner!...;Annual Summer Festival
Volunteer Opportunity: Help our local animal shelter by participating in...;Volunteer Opportunity on June 25th
Garage Sale Alert: We're having a massive garage sale this...;Garage Sale Alert
Attention all book lovers! The local library is hosting a...;Used bookstore sale
Community Clean-Up: Join us for a community clean-up event on...;Community Clean-Up on Saturday
Free Yoga Class: Start your week off right with a...;Free yoga class at the local studio
"Local Business Grand Opening: Congratulations to ""The Daily Grind"" on...";"Check out ""The Daily Grind"" for new coffee shop"
Public Art Installation: The city is seeking submissions for a...;City Art Installation
Volunteer Opportunity: Help make a difference by volunteering at our...;All skill levels welcome
Wanted: A friendly and reliable dog walker to take care...;Dog walking service needed
The local library is hosting an author reading series this...;Celebrate Local Writers
Attention all cyclists! A new bike lane has been installed...;Attention all cyclists!
Calling all artists! The city is hosting a mural competition...;Calling all artists!
Reminder: Our annual Halloween party will be held at the...;Halloween celebration
For sale: Gently used baby equipment, including stroller, car seat,...;Gently used baby equipment for sale in Oakwood
The annual neighborhood potluck dinner is scheduled for next weekend!...;Bring Your Favorite Dish
The local library is hosting a book club for adults...;Adult book club tonight
The local animal shelter is hosting a pet adoption fair...;Pet Adoption Fair This Saturday
Book Club: Join us this month as we discuss 'The...;Join our book club
Volunteer Opportunity: Help out with our annual clean-up event in...;Sign up for our annual clean-up event in the park.
Local Artist Showcase: Join us for an evening of art,...;Local Artist Showcase this Friday
Yoga Class: Get flexible with our new yoga class every...;Yoga class every Wednesday
Garage Sale Alert!: Score some amazing deals on gently used...;Score some amazing deals
Local Authors Invited: Join us at the Library this Thursday...;Join us at the Library this Thursday
Book Club: Join us for a discussion on our latest...;Latest read by F. Scott Fitzgerald
Garage Sale: A family is having a garage sale this...;Garage Sale
Important update: The city is conducting a streetlight maintenance project...;Improving visibility and safety
Lost: A silver necklace with a small locket, last seen...;Lost: A silver necklace with a small locket
Lost Dog: A small white fluffy dog with a pink...;Lost Dog
Seeking volunteers for our annual charity walk/run on March 17th!...;Seeking volunteers for our annual charity walk/run
Attention all book lovers! Our library's annual used bookstore sale...;Attention all book lovers!
Film Buffs Unite! Join us every Thursday at 7 PM...;Movie nights with classic films
Community event: The annual SummerFest celebration will take place this...;Join the fun at City Park
Job Opportunity: The local animal shelter is looking for volunteers...;Job Opportunity
Book Club Reminder: Don't forget to bring your copy of...;Refreshments will be provided at the meeting
Calling all gardeners! Our neighborhood gardening club is hosting a...;Calling all gardeners!
Wanted: A reliable used bike for a local charity event....;Reliable Used Bike
Attention all gardeners! The city's annual flower show is just...;Attention all gardeners
Don't miss out on our community's favorite event - the...;SummerFest celebration
Calling all bookworms! Our local library is hosting an author...;Author Reading Series
Attention parents: The city's recreation department is offering a new...;Attention parents: The city's recreation department is offering a new...
Community Potluck: Join us for a potluck dinner at the...;Potluck dinner at the community center
