Subject Line A;Subject Line B
Local school board meeting alert: Join us this Thursday evening...;Local School Board Meeting Alert
Neighbourhood watch update: Increased patrols have begun in response to...;Increased Patrols Have Begun
Looking for a running partner? I run three times a...;I Run Three Times a Week Around the Park
Are you a local artist or craftsperson? We're setting up...;Local Artist Market Next Month
Yoga classes now available at the fitness center! Beginners are...;Yoga classes now available at the fitness center!
Library reminder: The book club meets next Tuesday to discuss...;The book club meets next Tuesday to discuss this month's...
Anyone lost a grey tabby cat in the Maple Street...;Anyone lost a grey tabby cat in the Maple Street...
Join our neighborhood cleanup day!;Join Our Neighborhood Cleanup Day
Reminder: Dog walking is not allowed on the artificial turf...;Dog walking is not allowed on the artificial turf field.
Found: A pair of prescription glasses in a black case...;Found: A pair of prescription glasses in a black case...
I'm trying to find a home for a friendly stray...;I'm Trying to Find a Home for a Friendly Stray...
The local youth soccer club is looking for sponsors for...;Businesses Needed for Sponsorship
There's a new exhibit on regional wildlife at the Natural...;New Exhibit on Regional Wildlife at the Natural History Museum
Does anyone have a ladder I can borrow for a...;Does Anyone Have a Ladder I Can Borrow for a...
A documentary film about the history of our town is...;A Documentary Film About Our Town
Missing: One small drone, last seen flying near Maple Street...;Missing Drone with Personal Footage
The local theatre is seeking donations of costumes and props...;Donations of Costumes and Props Needed
The annual community yard sale is scheduled for next Saturday...;Annual Community Yard Sale - Next Saturday
The community choir is seeking enthusiastic voices! Join us for...;The community choir is seeking enthusiastic voices!
Urgent requirement for canned food donations at our local food...;Urgent requirement for canned food donations at local food bank
Exciting opportunity for creatives! A new arts magazine is looking...;Exciting opportunity for creatives!
Experiencing computer troubles? Any recommendations for a trusted local technician...;Experiencing computer troubles
Found: Black hiking poles with blue grips at Mount Parker...;Found: Black hiking poles with blue grips at Mount Parker...
Reminder: Neighborhood watch meeting this Thursday at 7 PM at...;Neighborhood Watch Meeting this Thursday
Free yoga classes this weekend at the park! Bring a...;Free Yoga Classes This Weekend
Looking for volunteers to help with the annual town festival....;Looking for volunteers to help with the annual town festival.
The community garden is now open for registration. Secure your...;The community garden is now open for registration.
Lost dog alert: Small brown terrier, last seen near Oak...;LOST DOG ALERT: Small brown terrier, last seen near Oak...
Garage sale this Saturday on Elm St from 8 AM...;Garage Sale This Saturday on Elm St
Book lovers unite! Join our monthly book discussion group. This...;Book lovers unite! Join our monthly book discussion group. This...
Opening soon: A new craft bakery in town. We ......;Opening Soon: A New Craft Bakery in Town
Street art competition this month. Artists wanted! Showcase your skills...;Street Art Competition This Month. Artists Wanted!
"Tree planting event next month â€"" volunteers needed to help...";Tree Planting Event Next Month
Piano teacher offering lessons for all ages and skill levels....;Piano Teacher Offering Lessons for All Ages
Lost cat: Grey with white paws, very friendly. Last seen...;Grey with white paws, very friendly.
Neighborhood car wash fundraiser this Sunday at the high school...;Neighborhood Car Wash Fundraiser This Sunday
Local theater group holding auditions for 'A Midsummer Night's Dream'....;Local theater group holding auditions for 'A Midsummer Night's Dream'.
"Local artisan market this Sunday â€"" come support our talented...";Local Artisan Market This Sunday
Notice for roadworks on Main St. starting next week. Expect...;Roadworks on Main St. starting next week.
Seasonal flu vaccinations available at the community health center. Protect...;Protect yourself and your family.
Lost: Digital camera near the community center. Contains personal photos....;Lost Digital Camera near Community Center
Coffee morning for new residents. Come meet your neighbors and...;COFFEE MORNING FOR NEW RESIDENTS
Free computer programming workshop this weekend at the library. Beginners...;Free Computer Programming Workshop This Weekend
Historical society lecture on the town's founding pioneers. Join us...;Historical Society Lecture
Keep our parks clean! Participate in the community cleanup this...;Keep Our Parks Clean!
Thinking of adopting a pet? Visit our local animal shelter...;Thinking of Adopting a Pet?
Urgently needed: Volunteers for the community soup kitchen. Help provide...;Urgently Needed: Volunteers for the Community Soup Kitchen
Spice up your weekend with our international food fair at...;Taste the world's cuisine!
Found: A small gold ring at the city park near...;Found: A small gold ring at the city park near...
The seniors' center is looking for volunteer drivers to help...;Volunteer Drivers Needed for Weekly Grocery Shopping Trips
The annual community clean-up day is fast approaching. Gather at...;Gather at City Hall next Saturday
Reminder: Property taxes are due at the end of the...;Property Taxes Due at the End of the Month
The city's annual jazz festival is looking for volunteers. If...;The city's annual jazz festival is looking for volunteers.
Community service reminder: Please keep sidewalks clear of leaves and...;Please Keep Sidewalks Clear of Leaves and Debris
Our local pet shelter is in desperate need of foster...;Our local pet shelter needs foster homes for kittens.
We're starting a community cycling group that will meet every...;Every Sunday Morning Cycling Group
I'm a professional photographer offering mini photo sessions this weekend...;I'm a professional photographer offering mini photo sessions this weekend...
The neighborhood association is looking for articles and photos for...;The neighborhood association is looking for articles and photos for...
The local veterans' group is organizing a charity raffle to...;The local veterans' group is organizing a charity raffle to...
I'm offering tutoring services for middle and high school students...;I'm Offering Tutoring Services for Middle and High School Students
Join us for the annual Tree Planting Day this Sunday...;Bring a shovel and gloves
There will be a CPR and first aid training session...;CPR and First Aid Training Session
Please message me if interested.;Please message me if interested.
Iâ€™m trying to find a home for a friendly stray...;I'm trying to find a home for a friendly stray...
The annual food drive for the local pantry starts next...;The annual food drive for the local pantry starts next...
We are initiating a neighborhood carpool program. If you're interested...;Neighborhood Carpool Program - Informational Meeting Next Thursday
It has great sentimental value as it was a gift....;If Found, Please Contact Me
Lost: A small drone, last seen flying over Maple Park...;LOST: Drone Flying Over Maple Park
