Subject Line A;Subject Line B
Lost: A small black notebook containing important research notes, last...; Small black notebook with research
The city's annual jazz festival is looking for volunteers. If...;The city's annual jazz festival is looking for volunteers
The public library is discontinuing late fees on all children's...; No fees for borrowing books
If you're a homeowner interested in installing solar panels, the...; Free workshop on solar energy
Found a set of hiking poles near the trailhead of...; Lost hiking poles with blue grips
The local theatre company is in need of old suitcases...; Theatre company looking for suitcases and trunks
A free e-waste recycling event will be held at the...; Free e-waste recycling this Saturday at the community center
The community center is hosting a workshop on budget management...; Free Budget Management
Notice for garden enthusiasts: The annual flower and garden show...; Last-minute entries for the flower and garden show
A local high school's robotics club is showcasing their projects...;Young Inventors Showcase Their Creations
Our local theater group is looking for new members to...; Join our upcoming production
Attention parents: The community library is starting a new storytime...;Attention parents
If anyone is interested in participating in a community quilt...;Community Quilt Project
Lost during last weekend's festival: a small, digital camera. It's...;Lost digital camera
The downtown improvement committee is looking for volunteers to help...;The downtown improvement committee is looking for volunteers
Our local theater is looking for old 1920s-style costumes for...;The Great Gatsby
The annual community clean-up day is fast approaching. Gather at...; Community Clean-up Day
We have noticed an increase in litter in the park...; Use the bins provided
A reminder that the community potluck is happening this Sunday...; Sunday afternoon gathering
Local amateur astronomers are invited to join a night of...;Bring Your Telescopes
The youth center is in urgent need of sports equipment...;Youth Center Needs Sports Equipment
Exciting news for young parents and tots! Our community center...;Weekly Toddler Story Time
I have a bunch of moving boxes in good condition...; Free Moving Boxes Now Available
A set of keys was found this morning on Oak...;Keys Found on Oak Avenue
To anyone with expertise in tree pruning: The community orchard...; Pruning Expertise Needed
The local swim team is hosting tryouts next week for...; Local Swim Team Tryouts
If anyone is missing a drone, it was last seen...; Drone spotted in Riverside Park
The Historical Society is offering guided tours of the old...; Sunday tours of the old courthouse
Volunteers needed: The food bank is looking for help sorting...; Help make a difference
Reminder: Please keep your pets on a leash at all...; Public Safety
The community garden is organizing a harvest festival next month....; Community Garden Festival
Lost: A small drone with red markings, last seen near...; Lost: Drone near Maplewood Park
Reminder to all residents: Leaf and brush pickup is scheduled...; Leaf and brush pickup reminder
I'm a retired librarian and would love to start a...;Start a storytime for kids
A reading group is forming at the local library for...; Discuss Mystery Novels
The high school's annual art show is this weekend. Come...; Support local students and artists
Free health clinic this Saturday at the community center from...; Free health clinic services
Attention dog owners: A new dog park is opening next...; Dog owners rejoice
Found: A set of house keys with a novelty guitar...;Found: House keys with guitar keychain near public library
Local scout troops are holding a car wash fundraiser this...; Car Wash Fundraiser This Weekend
The community choir is looking for new members. No audition...;The community choir is looking for new members
If you're interested in learning how to make your own...; Soap Making Experience
The local museum is seeking volunteers for their upcoming exhibit...; Exhibit on transportation history
An outdoor yoga class will be held every morning at...; Free yoga in the morning
I found a set of keys near the bus stop...; Found keys near the bus stop
Reminder: Parking will be restricted on Main Street this Friday...;Parking will be restricted on Main Street this Friday for...
Lost: A child's teddy bear, near the fountain in Central...;Lost: A child's teddy bear
The local veterans' association is organizing a community picnic next...;Community Picnic
The neighborhood association is looking for articles and photos for...; Share your story for the community newsletter
A bicycle was found locked to a bench at the...;Blue mountain bike found at bus station
The community pottery studio is holding an open house event...; Pottery open house
Volunteers are needed for the downtown beautification project this spring....;Volunteers Needed for Downtown Beautification
Lost: Prescription glasses in a black case, possibly left on...; Prescription Glasses in Greenway Park
The local astronomy club is hosting a night of stargazing...; Experts on Hand
Found a backpack containing school books and a lunchbox at...;Found a backpack at Victory Park
I'm starting a fitness challenge group and looking for participants...;Starting a fitness challenge
A documentary film about the history of our town is...; Documentary film premiere at local theater
The annual River Run 5K is seeking sponsors. If your...;The annual River Run 5K is seeking sponsors
Reminder to all residents: The annual community survey is live....;The annual community survey is live
Lost: A small drone, last seen flying over Maple Park...; Lost drone with camera
The public library is starting a teen book club this...; Schedule for our book club
A workshop on native plants and their benefits to our...; Sign Up in Advance
If you've found a set of car keys with a...;Found car keys near high school
The local animal shelter is offering discounted microchipping services this...;Protect Your Pets
Community Alert: We've noticed an increase in bicycle thefts in...; Bike thefts on the rise
The community garden on Fifth Street is now accepting applications...; Fifth Street community garden plots
Anyone up for forming a local history club? We could...; Meet once a month to discuss our town's history
A reminder that the annual street cleaning will begin next...; Residential Area Cleaning
The jazz ensemble from the community college will be performing...; Jazz Performance at City Park
Found: A small pouch containing various crafting tools, left behind...;Found: Crafting tools
The city's transit authority will be holding a public hearing...; Bus route meeting
Lost during the fun run: a digital sports watch, black...; Found digital watch
The local theater is seeking old newspapers and magazines for...;The local theater seeks old newspapers
The high school robotics team is looking for local businesses...; High School Robotics Team Needs Sponsors
Free ESL classes will be offered every Monday and Wednesday...; Improve your English skills
The local beekeepers association is hosting a beginner's workshop on...; Learn About Beekeeping
A wallet was found near the outdoor gym in Central...;Wallet Found Near Outdoor Gym in Central Park
I make handmade jewelry and I'm thinking of setting up...; Handmade jewelry at farmers' market
Volunteers are needed to help set up and take down...; Sign Up Now
The high school's annual craft bazaar is next weekend. Come...;Handmade Gifts
Lost: a small drone with a red stripe, last seen...; Lost: a small drone with a red stripe
Reminder: Dog licenses must be renewed by the end of...;Reminder: Dog licenses must be renewed by the end of...
The city is planning a reforestation day next month. We're...; Reforestation day in local parks
A set of car keys with a novelty football keychain...;Found Car Keys
The community orchestra is inviting local musicians to join their...;Join the Community Orchestra
The local business association is hosting a networking event for...;Networking Event for Small Business Owners
Found: A pair of prescription glasses in a black case...;Found: A pair of prescription glasses
The town hall is exhibiting a collection of historical photographs...; Historical Photographs of Our Town
I've noticed a few stray dogs around the neighborhood recently....; Catching stray dogs
Lost: A children's backpack with cartoon characters, last seen at...;Lost: A children's backpack with cartoon characters
The local veterans' group is organizing a charity raffle to...; Support veterans' programs through charity raffle
The downtown area will be closed to vehicle traffic this...; Streets will be closed
Found: A small gold ring at the city park near...;Found: A small gold ring at the city park near...
Volunteers needed for the city's annual film festival. Roles include...; Annual Film Festival Volunteers Needed
The local botanical garden is starting a series of weekend...; Weekend Workshops
Reminder: The community center's swimming pool will be closed for...; The community center's swimming pool
The annual community art contest is now accepting entries. This...; Art Contest
A resident has reported a lost pet ferret in the...;Lost Pet Ferret
The local historical society is seeking donations of artifacts and...;Donations of artifacts and memorabilia sought
Is anyone else interested in sustainable living? I'm trying to...; Sustainable living tips
