Subject Line A;Subject Line B
Join us for our annual Easter egg hunt on April...;Hopping good time!.
Calling all bookworms! Our library is hosting a summer reading...;Calling all bookworms
Get fit and have fun this winter with our community's...;Get fit this winter
The town's annual BBQ cook-off is just around the corner!...;BBQ cook-off to crown the best grill masters
Calling all artists and crafty folks! Our community center is...;Calling all artists and crafty folks
Get ready to groove! Our annual street festival is coming...;Get Ready to Groove
Calling all bookworms! The local library is hosting an author...;Calling all bookworms
Don't miss out on the fun! Join us for our...;Don't miss out on the fun!
Are you a foodie? Check out our new farmers' market...;Saturday Morning from May to November
Get fit this summer! Our town's recreation department is offering...;Get Fit This Summer
The town's library is hosting a free book club meeting...;Book club meeting every second Thursday
I'm organizing a charity walk/run for local animal shelters on...;Charity Walk/Run for Local Animal Shelters
The town's museum is offering free admission every first Sunday...;Free admission every first Sunday of the month
Our local food bank is hosting a canned goods drive...;Canned goods drive
The town's recreation department is offering free yoga classes every...;Free Yoga Classes
Calling all gardeners! Our community gardening club is looking for...;Calling all gardeners!
Attention artists! The local art museum is hosting an open...;Attention artists!
Are you a fan of music? The community band is...;The community band is looking for new members
The local farmers market is back for the season! Every...;Saturday, come out and support our community's best growers and...
Get ready to rock with us at this weekend's concert...;Rock with us
Join us for a free yoga class every Sunday morning...;Free yoga in the town square
Calling all bookworms: Our library is hosting an open house...;Calling all bookworms
Don't miss our annual summer festival, happening this weekend at...;Don't miss our annual summer festival
The community center is offering a free art class every...;Free Art Class Every Thursday
Join us for a charity bike ride next month to...;Support local programs
Every Friday night, come out and enjoy our downtown movie...;Friday Night Movie Nights
Join us for a free yoga class this Sunday at...;Join us for free yoga class this Sunday
The town's annual Earth Day celebration is just around the...;Earth Day celebration is coming soon
Calling all bookworms! Our local bookstore is hosting an author...;Author Signing
Get ready for a night of stargazing with our astronomy...;Observatory Event
Join us for a fun-filled afternoon of scavenger hunting on...;Afternoon scavenger hunt in downtown
Free Yoga Classes: Join us for a series of free...;Free yoga classes in the morning
Book Club Looking for Members: We're starting a new book...;Book Club Enthusiasts Wanted
Volunteer Opportunity: Help out at our community garden by volunteering...;Volunteer Opportunity
Language Exchange: Practice a new language or help someone improve...;Language Exchange: Learn
Movie Night: Join us for a free movie night at...;Classic Films and Snacks
Art Class for Kids: Sign your little ones up for...;Art Class for Kids
Join us for a free yoga class this Saturday at...;Join Us For Free Yoga Class This Saturday
The local animal shelter is hosting an adoption fair this...;Furry friends
Get ready for summer with our annual swim lesson series...;Summer Swim Series Starts Next Month
"Our monthly book club will be discussing ""The Great Gatsby""...";Book Club Discussion
The town's annual BBQ cook-off is just around the corner!...;BBQ cook-off is just around the corner
Join us for a free outdoor movie night this Friday...;Free Outdoor Movie Night
Join us for a free yoga class this Saturday from...;Join us for free yoga
Calling all artists! The local art museum is hosting an...;Art museum open house
Don't miss out on our annual summer concert series starting...;Enjoy Great Tunes
The local food bank is in need of donations of...;The local food bank needs your help
Join us for a free yoga class on Thursdays at...;Free yoga class this Thursday
