Subject Line A;Subject Line B
Community event: Join us for a free outdoor concert this...;Outdoor concert this Saturday at the park!
The local animal shelter is in need of donations to...;The local animal shelter needs your help
Reminder: The city's annual clean-up event will take place this...;This Saturday's Community Clean-Up
For sale: Gently used baby gear (stroller, car seat, etc.)...;For Sale: Gently Used Baby Gear
Job opening: The local coffee shop is hiring part-time baristas!...;Gain experience
The town's annual SummerFest celebration is just around the corner!...;Join us at SummerFest
Free Language Exchange: Practice conversing in a new language and...;Conversing in a New Language
Reminder: The library's summer reading program ends next week, so...;Return your books and submit
A reminder that the annual community picnic is this Saturday...;Bring your favorite dish to share at the community picnic
Missing bicycle: Silver Schwinn, distinctive handlebars. Last seen near Oak...;Silver Schwinn, distinctive handlebars
The local animal shelter needs donations of pet food, toys,...;The local animal shelter needs donations
Volunteers are needed for the town's annual Halloween party next...;Halloween Party Volunteers
For Sale: Gently used bicycle with all original parts, perfect...;Bicycle for sale
Join us for a fun-filled evening of games and prizes...;Join us for a fun-filled evening of games and prizes
Calling all bookworms! The library is hosting a used bookstore...;Used bookstore sale
Wanted: A reliable lawn mower for rent or purchase. Must...;Lawn Mower Available for Rent
Free kittens! Our neighbors are rehoming two adorable little furballs...;Free kittens
Garage sale alert! The Smiths will be hosting a massive...;Great deals on furniture
Attention all musicians: Join us for an open mic night...;Open mic night at the local coffee shop
The local animal shelter is hosting a bake sale this...;All proceeds will go towards making a difference in our...
Free community concert: The local music school is hosting a...;Free community concert
The local library is hosting a book drive for children's...;Book Drive for Children's Books
Calling all bookworms! Our local library is hosting a used...;Used bookstore sale
Local Library Book Sale: This Saturday from 10 AM to...;Gently used books for all ages
Book Club: Join us for a discussion on our latest...;"Join us for a discussion on our latest read, ""The..."
Garage Sale Alert: Neighborhood garage sale event this Saturday from...;Garage Sale Alert
The local park is hosting a free outdoor concert this...;Enjoy Some Great Music Under The Stars
Calling all artists! The city's annual art festival is coming...;Calling all artists
The local library is hosting a book drive to benefit...;All Proceeds Will Go Towards Purchasing New Books
Don't forget to set your clocks forward by an hour...;Time change alert
Found: A small stuffed rabbit was left on a bench...;Found: A small stuffed rabbit with bright pink ears
The annual community picnic is happening this Sunday from 2...;Annual community picnic
The local animal shelter is hosting a pet adoption fair...;Refreshments Provided for Volunteers
Attention all book lovers! The library is hosting a used...;Attention all book lovers
The annual town fair is coming up on October 15th!...;Join us for a fun-filled day
The annual SummerFest celebration is just around the corner! Join...;SummerFest Celebration
Calling all book lovers! Our local library is hosting a...;Calling all book lovers!
The annual holiday market is just around the corner! Join...;Get into the Holiday Mood
Community Event: Join us for a fun-filled evening of music,...;Bring your favorite dish to share
Book club meeting this Thursday at 7 PM at the...;Book Club Meeting
Calling all gardeners! Join us for a free workshop on...;Composting and organic gardening
