Subject Line A;Subject Line B
Join us for a FREE outdoor concert this Friday at...;Enjoy live music
Get ready to sweat with our new fitness class starting...;Get Ready to Sweat with Our New Fitness Class
Calling all bookworms! Our town's library is hosting an author...;Join us for a night of literature and discussion
It's time to get creative! Join our art workshop this...;It's time to get creative
Don't miss out on our annual farmers' market, happening every...;Stock up on fresh produce
Calling all history buffs! Our town museum is hosting a...;Calling all history buffs!
Join us for a FREE outdoor movie night this Friday...;Free Movie Night
The local animal shelter is hosting a pet adoption fair...;Pet Adoption Fair This Saturday
Our favorite yoga instructor, Sarah, will be offering free classes...;Join Free Yoga Classes
The school's robotics team is hosting a fundraiser car wash...;Build a New Robot
Our local bookstore will be offering a free book club...;Tuesday at 7:30 PM
The community garden is hosting an open house this Saturday...;Tips on gardening techniques at the community garden
Bookworms! Join us for a book club meeting at the...;Book club meeting at the library
Get ready to groove with us at the town's annual...;Get ready to groove
Calling all gardeners! Our community garden is looking for volunteers...;Calling All Gardeners
Attention shoppers! The local farmers market will be open every...;Attention shoppers!
Join the fun at our town's annual 4th of July...;Live Music
Are you an artist or crafty person? We're hosting a...;DIY Workshop This Weekend
Attention cyclists! Our town is launching a new bike-share program...;Attention Cyclists
Looking for a new hobby? Join our local photography club...;Discover New Hobby
Need help with yard work this spring? Our community gardening...;Need help with yard work this spring? Our community gardening...
Get ready to groove! The annual summer concert series kicks...;Get ready to groove!
Are you an avid reader looking for new book recommendations?...;Book club this Thursday evening
Want to make a difference in your community? Our volunteer...;Want to make a difference in your community?
Calling all art lovers! The local art museum is hosting...;Art lovers rejoice!
Join us for a free yoga class this Saturday at...;Free yoga class this Saturday at 10 AM
Calling all book lovers! Our monthly book club meets next...;Book lovers, monthly book club, new members welcome
Get ready for summer with a free swim lesson this...;Swim Lessons
Join us for a community clean-up day on June 15th...;Meet new friends along the way
Calling all artists! Our local art studio is offering free...;Calling all artists
Explore the world of pottery with our upcoming workshop at...;Upcoming workshop at the community center
Get ready for a night out on the town! Our...;Live music event this Friday
Calling all book lovers! Join us at the library's used...;Calling all book lovers
Take your fitness routine to new heights with our aerial...;Soar to new heights with aerial yoga
It's time to get creative! Our art studio is offering...;It's Time to Get Creative
Join us at the farmers market this Saturday to support...;Saturday Market
"The local animal shelter is hosting a ""Paws and Relax""...";This Saturday at the Town Square
Join us for a free outdoor yoga class on the...;Yoga in the park
The community choir is holding auditions this week at the...;Community choir auditions
We're hosting a town-wide garage sale on May 15th. Register...;Town-Wide Garage Sale
Join us for a free movie night under the stars...;Classic films in the park
The local library is hosting a book drive to benefit...;Gently Used Books
Join us for a free yoga class every Thursday morning,...;Free yoga class every Thursday morning
Our town's food bank needs donations of non-perishable items, such...;Our town's food bank needs donations
The community garden is seeking volunteers to help with planting...;Community garden seeks volunteers
The local museum is offering free admission for all residents...;Free Admission Offer
Our town's animal control department needs donations of pet supplies,...;Our town's animal control department needs donations of pet supplies
Join us for a free movie night at the community...;Movie Night
Join us for a beach cleanup this Saturday and help...;Join us for a beach cleanup this Saturday
The local food bank is in need of canned goods,...;Drop off your donations during business hours
Our community garden needs volunteers to help with planting, weeding,...;Join us for a fun day of gardening
The animal shelter is hosting an adoption fair next weekend...;Animal Shelter Adoption Fair
Join us for a bike safety workshop this Sunday where...;Join Us for Bike Safety
Free Knitting Circle: Join us at the library every Thursday...;Free Knitting Circle
Free Zumba Class: Get moving and grooving with our high-energy...;Free Zumba Class
Free Book Club Meeting: Discuss your favorite books with fellow...;Free Book Club Meeting this Wednesday
Free Language Exchange: Practice speaking a new language or help...;Language Exchange Event
Free Birdwatching Walk: Join us for a leisurely walk around...;Free Birdwatching Walk: Join us for a leisurely walk around...
Free Cooking Class: Learn how to prepare healthy meals on...;Healthy meals on a budget
The town's annual Easter egg hunt is just around the...;Fun-filled Easter egg hunt
"Get ready to rock out with our local band, ""Electric...";Get Ready to Rock
The town's library is hosting an author reading series featuring...;Join Us for an Evening of Storytelling
Don't miss out on our annual summer concert series, kicking...;Don't miss out on our annual summer concert series
The town's animal shelter is in need of donations and...;The town's animal shelter needs donations and volunteers
Join us for the annual fireworks display at City Park...;Fireworks display at City Park
Join us this Friday at 10:00 AM for our free...;Free yoga class this Friday
Calling all book lovers! Our summer reading program is just...;Calling all book lovers
Did you know that we have a makerspace with 3D...;Did You Know That We Have A Makerspace With 3D...
We're excited to announce the arrival of new e-books on...;Check out what's new today
Join us for a free movie night next Wednesday at...;Join Us for a Free Movie Night
Are you looking for a great read? Our staff recommends...;'The Nightingale' - a great read
Want to learn a new language? Join our conversation club...;Want to learn a new language?
The town's summer concert series is back! Enjoy live music...;Summer Concert Series
Our community garden needs volunteers for a workday this Saturday...;This Saturday from 9 AM to 12 PM
Looking for a book club or discussion group? Join our...;Join Our Monthly Meetups
The town's annual farmers' market is happening every Sunday from...;Every Sunday from May 1st to October 31st
Want to get creative? Our art class for adults meets...;Art class for adults starts
Looking to declutter your garage? Consider donating unwanted tools and...;Clear Out Your Garage
My friend is raising money for her dance studio by...;Get in Shape While Supporting a Good Cause
The library is hosting a book sale next Saturday from...;Book Sale for New Books and Programs
Need help with your yard work? Consider hiring one of...;Lawn Care Services Available
The animal shelter is in need of donations to support...;The animal shelter is in need of donations
Join us for a free yoga class every Saturday morning...;Free yoga class
The local animal shelter is hosting an adoption fair this...;Find Your New Best Buddy This Weekend
Calling all artists! Our town's annual art show is just...;Calling all artists
Get ready for some holiday fun at our Winter Wonderland...;Free Admission
The town's Parks & Recreation department is offering a series...;Movie Nights in the Town
Join us for a yoga class on the rooftop of...;Yoga on the rooftop of City Hall
