A;B
The City's Annual Arts Festival Seeks Artists;The city's annual arts festival is seeking artists and performers...
Public Safety Notice: Please remember to lock your vehicles and...;Public safety notice: Please remember to lock your vehicles and...
Calling all musicians!;Calling all musicians! The community orchestra is holding auditions next...
Does anyone offer piano lessons?;Does anyone in the neighborhood offer piano lessons? My daughter...
We are excited to announce the opening of the new...;We are excited to announce the opening of the new...
A Pair of Glasses Found in Public Library;Lost and Found: A pair of glasses was found in...
Learn how to reduce your carbon footprint and live a...;The Environmental Committee is hosting a workshop on sustainable living...
Join Us for the Grand Unveiling of the New Mural...;Join us for the grand unveiling of the new mural...
Electronic Disposal Reminder;PSA: A reminder to all residents that the disposal of...
A Heartfelt Thank You;A heartfelt thank you to all who participated in last...
Discover the rich history of our town;The Historical Society is offering guided tours of the old...
The annual water quality report is now available online.;Public Notice: The annual water quality report is now available...
Strategic Game Night - Every Other Thursday;Looking to start a regular game night focusing on strategy...
I'm organizing a series of cooking demos featuring local chefs;I'm organizing a series of cooking demos featuring local chefs...
I've noticed a lot of litter around the community park...;I've noticed a lot of litter around the community park...
URGENT: Our local animal shelter is at capacity.;Urgent: Our local animal shelter is at capacity. If you've...
Beautifying Our Public Spaces;The city park department is looking for volunteers to help...
LOST: A small drone in the Riverside Park area, last...;Lost: A small drone in the Riverside Park area, last...
The Local Jazz Band Will Perform Live This Friday Evening;The local jazz band will be performing live at the...
We're Thrilled to Announce the Launch of a New Local...;We're thrilled to announce the launch of a new local...
Public Health Notice: Free Vaccination Clinic for Influenza;Public Health Notice: A free vaccination clinic for influenza will...
Found a set of keys near the fountain downtown;Found a set of keys near the fountain downtown. They...
Iâ€™m Launching a Neighborhood Composting Program;I’m launching a neighborhood composting program to reduce waste and...
"The Annual ""Books on the Boulevard"" Event";"The annual ""Books on the Boulevard"" event is coming up...."
Coding Bootcamp for Beginners;Attention all tech enthusiasts: We're starting a coding bootcamp for...
The Community Center's Annual Bake Sale;The community center's annual bake sale to support local homeless...
LOST: Prescription glasses in a black case;Lost: Prescription glasses in a black case, possibly left on...
Iâ€™m Organizing a Winter Clothing Drive for the Homeless Shelter...;I’m organizing a winter clothing drive for the homeless shelter...
Is Anyone Interested In A Weekly Game Night;Is anyone interested in a weekly game night? I was...
Iâ€™m Offering Lawn Mowing Services This Summer;I’m offering lawn mowing services this summer. I have my...
The Local Art Club is Holding an Outdoor Painting Session;The local art club is holding an outdoor painting session...
The Neighborhood Council is Hosting a Forum;The neighborhood council is hosting a forum to discuss upcoming...
FREE Lectures on Environmental Conservation;The local university extension is offering a series of lectures...
The Local Symphony Orchestra Concert;The local symphony orchestra will be giving a free concert...
Volunteers Needed for Our Annual River Regatta;Volunteers needed for our annual river regatta next month. We...
The community center will be closed this Monday for maintenance.;Reminder: The community center will be closed this Monday for...
FREE Cupcakes this Friday!;A local bakery is celebrating its 5th anniversary with free...
Attention Gardeners! The annual flower show is happening next weekend...;Attention gardeners! The annual flower show is happening next weekend...
Every Sunday Morning Free Yoga Classes at the Park;Free yoga classes are being offered at the park every...
This Saturday, a vintage car parade will be held on...;This Saturday, a vintage car parade will be held on...
LOST: A Small, White And Grey Kitten Near Elm Street;Lost: a small, white and grey kitten near Elm Street....
The Great Gatsby Performances;This month, the local theater group is putting on performances...
Next Thursday's Job Fair at Convention Center;A job fair will be hosted at the convention center...
The Annual Charity Run This Sunday;The annual charity run will take place this Sunday at...
Meet Bestselling Author Next Wednesday;Book lovers! The library is hosting an author talk next...
Street Cleaning This Week;A reminder to all residents that street cleaning will occur...
Learn How to Budget, Save, and Invest Wisely in Just...;Upcoming workshop on personal finance management offered by our local...
The Local High School's Music Department Concert;The local high school's music department will be giving a...
This Sunday at the community church;For any local artisans, there's a craft fair this Sunday...
Neighborhood Watch Meeting Scheduled;Neighborhood watch meeting scheduled for next Tuesday at the town...
New Italian restaurant 'Bella Cucina' is having its grand opening...;New Italian restaurant 'Bella Cucina' is having its grand opening...
GOLD WRISTWATCH LOST NEAR FITNESS CENTER;Lost: A gold wristwatch near the fitness center. It holds...
For Sports Enthusiasts;For sports enthusiasts, a ping pong tournament will be held...
Coffee and Cake Meetup;Coffee and cake meetup at the senior center this Thursday....
Dog Owners! Consider Adding a Furry Friend to Your Family;Dog owners! There will be a pet adoption day next...
Wellness Weekend Coming Up at the Spa Resort;Wellness weekend coming up at the spa resort. Special rates...
Parcels Left for More Than a Week Will Be Returned...;Reminder: Please collect your post from the mail room regularly....
Jazz Night at the Blue Moon CafÃ© this Saturday;Jazz night at the Blue Moon Café this Saturday from...
Road Closure Alert: Maple Street Will Be Repaved Next Week;Notice of road closure: Maple Street will be repaved next...
Join us for a guided tour of the old fortress...;History buffs! Join us for a guided tour of the...
Help Needed at Food Bank this Friday;Call for volunteers at the food bank this Friday. Help...
LOST: An e-reader device at the town beach.;Lost: An e-reader device at the town beach. It has...
Movie Night at the Public Library - Free Popcorn and...;Kids' movie night at the public library this Friday. Showing...
Upcoming Home Improvement Workshop at Local Hardware Store;Upcoming home improvement workshop at the local hardware store. Learn...
Annual Winter Carnival Announced!;Annual winter carnival announced! Mark your calendars for a fun-filled...
The Neighborhood Watch Group Is Seeking New Members;The neighborhood watch group is seeking new members. If you're...
I'm Offering Lawn Mowing Services This Summer;I’m offering lawn mowing services this summer. I have my...
Urgent: Our local animal shelter is at capacity.;Urgent: Our local animal shelter is at capacity. If you've...
"The Annual ""Books for Kids"" Drive";"The annual ""Books for Kids"" drive is happening now. We're..."
Lost: A Small, Black Leather Wallet;Lost: a small, black leather wallet near the high school...
Attention Gardeners!;Attention gardeners! This weekend, the community center will host a...
Are you looking to refresh your wardrobe without breaking the...;Are you looking to refresh your wardrobe without breaking the...
Needing a Babysitter?;Needing a babysitter? Several local teens have completed the certified...
The Local Library Invites Children Ages 4-8 to Join the...;The local library invites children ages 4-8 to join the...
The City Council Will Hold A Public Hearing On The...;The city council will hold a public hearing on the...
Fresh Produce Alert;Fresh produce alert: The farmers' market will be open this...
Calling all musicians!;Calling all musicians! There's an open mic night every Friday...
Don't Forget to Turn Your Clocks Back One Hour This...;Reminder: Daylight saving time ends this weekend. Don't forget to...
Yoga in the park is back!;Yoga in the park is back! Free sessions every Sunday...
Town Hall Meeting Alert;Town hall meeting alert: A discussion on public transportation improvements...
Driveway Sale This Saturday;Driveway sale happening in Greenwood Lane this Saturday. Great bargains...
Found: A Small Cat with a Blue Collar near Maple...;Found: A small cat with a blue collar near Maple...
The Community Theater Group Announces Auditions for 'The Sound of...;The community theater group announces auditions for 'The Sound of...
Consider Donating Unwanted Items to the Annual Community Garage Sale;Cleaning out your attic? Consider donating unwanted items to the...
The Great Gatsby;Book club meeting notice: This month's read is 'The Great...
One-bedroom apartment overlooking the community park.;For rent: One-bedroom apartment overlooking the community park. Perfect for...
Volunteers Needed for River Clean-up Project;Volunteers needed! The annual river clean-up project is next month....
Avoid Fines by Updating Your Records on Time;Reminder: Pet registration renewal is due at the end of...
Piano Lessons Offered;Piano lessons offered by experienced teacher in the area. Suitable...
Summer Memberships at Discount;The sports complex is offering summer memberships at a discount....
High School Marching Band Performance This Friday;The high school marching band will perform at the city...
Garage Band Competition Next Month;Garage band competition at the community fair next month. Sign...
Main Street Road Closure Notice;Road closure notice: Main Street will be partially closed for...
Job Alert: Local Cafe Hiring Part-Time Baristas;Job alert: Local cafe is hiring part-time baristas. Great work...
Free Art Workshop at the Community Arts Center This Sunday;Free art workshop at the community arts center this Sunday....
Annual Pet Vaccination Drive This Saturday;Reminder: The annual pet vaccination drive is happening this Saturday...
I'm Offering Guitar Lessons;I'm offering guitar lessons in the evenings and weekends. Whether...
FREE CPR and First Aid Training This Month;The community center is offering free CPR and first aid...
COMMUNITY GARDEN PLOTS AVAILABLE;Our community garden plots are now available for the coming...
If anyone is interested in a weekly knitting and crochet...;If anyone is interested in a weekly knitting and crochet...
