A;B
Join us to learn how you can help keep our...;Neighborhood Watch Introduction meeting this Thursday at the town hall...
Annual Pancake Breakfast at the firehouse this weekend.;Annual Pancake Breakfast at the firehouse this weekend. Come enjoy...
LOST KEYS NEAR MARKET STREET;Lost Keys near Market Street. Set of car and house...
I FOUND A SET OF KEYS NEAR THE BUS STOP...;I found a set of keys near the bus stop...
Found: A small pouch containing various crafting tools;Found: A small pouch containing various crafting tools, left behind...
Meet at the town square at 9 AM;Volunteers are needed for the downtown clean-up day next Saturday....
GREASE Auditions Next Week;The local theater is holding auditions for its summer production...
Property Taxes Due;A friendly reminder that property taxes are due at the...
LOST: A Blue and White Striped Beach Towel;Lost: A blue and white striped beach towel, left on...
I'm Trying to Find a Home for a Friendly Stray...;I’m trying to find a home for a friendly stray...
I'm Offering Free Tech Help for Seniors This Friday at...;I'm offering free tech help for seniors this Friday at...
Wallet Found in Central Park;A wallet was found near the outdoor gym in Central...
The Local Art Club's Outdoor Painting Session;The local art club is holding an outdoor painting session...
Attention, gardeners! The community garden is now accepting applications for...;Attention, gardeners! The community garden is now accepting applications for...
GOLD BRACELET LOST AT PINE STREET MARKET;Lost: A gold bracelet in the vicinity of Pine Street...
Financial Literacy Workshops Start Next Week;The community college is offering a series of free workshops...
Meet the Author this Friday;"The public library is starting a new series called ""Meet..."
Every Sunday Morning Cycling Group;We're starting a community cycling group that will meet every...
Our Local History Group Seeks Old Photographs;Our local history group is seeking old photographs and stories...
LOST: A small drone with a camera attachment was last...;Lost: A small drone with a camera attachment was last...
Volunteers Needed!;Volunteers needed! The community garden is looking for extra hands...
Let's Clean Up Our Beaches!;Let's clean up our beaches! I'm organizing a beach clean-up...
Quarterly Homeowner's Association Meeting;Reminder: The quarterly homeowner’s association meeting will be held next...
Found: A set of keys near the playground;Found: A set of keys near the playground. They have...
Gently Used Books Needed for Annual Book Drive;The local school is collecting gently used books for their...
Can anyone recommend a good electrician?;Can anyone recommend a good electrician? My porch lights need...
For Sale: Barely-Used Mountain Bike;For sale: A barely-used mountain bike, suitable for teens or...
The Neighborhood Watch Alerts You to a Recent Increase in...;The neighborhood watch alerts you to a recent increase in...
Pet Adoption Day This Saturday;Pet adoption day this Saturday at the animal shelter! Come...
The Local Jazz Club is Featuring a New Band This...;The local jazz club is featuring a new band this...
ANNUAL CHARITY RUN BENEFITTING THE CHILDREN'S HOSPITAL;Annual charity run benefitting the children's hospital is coming up....
Garage Sale! This Sunday from 8 AM to 12 PM...;Garage sale! This Sunday from 8 AM to 12 PM...
I Lost A Small Drone In The Park Yesterday;"I lost a small drone in the park yesterday; it's..."
LOST: A Silver Wristwatch;Lost: A silver wristwatch near the tennis courts. It has...
The town council is seeking input on the new park...;The town council is seeking input on the new park...
Wednesday's Waste Collection;Reminder: Next week’s waste collection will be on Wednesday, not...
FOUND Cat: An orange tabby with no collar was found...;Found Cat: An orange tabby with no collar was found...
Local Art Exhibition This Weekend;Local art exhibition this weekend at the community center. Come...
Lovely View of Downtown Area;For rent: A two-bedroom apartment with a lovely view of...
Yoga classes starting next month at the park;Yoga classes starting next month at the park. Experienced instructors,...
The Library is Extending its Hours for Finals Week;The library is extending its hours for finals week. Students...
Neighborhood BBQ this Saturday;Neighborhood BBQ this Saturday! Bring your favorite dish and join...
LOST DOG: A black Labrador, last seen near the grocery...;Lost dog: A black Labrador, last seen near the grocery...
Attention all! A red bicycle was found locked outside the...;Attention all! A red bicycle was found locked outside the...
Fellow Crafters Invited;Looking for fellow crafters interested in starting a weekly crafting...
Safety tip: With the recent storms, ensure that all outdoor...;Safety tip: With the recent storms, ensure that all outdoor...
Thrilling Mystery Novel;Traveling book club meets next Monday. This month’s book is...
Hiking Group!;Hiking group! Interested in exploring local trails with fellow outdoor...
Found Blue Children's Bike near Community Hall;Found bicycle near the community hall. It's a children's bike,...
Health Awareness Workshop Next Friday;Health awareness workshop on managing stress, hosted by the wellness...
Artisans Market This Weekend;Artisans market! Local craftspeople will be selling homemade goods this...
Roadworks on Main St. starting next week.;Traffic note: Roadworks on Main St. starting next week. Expect...
Community Cooking Class: Learn How to Make Italian Dishes from...;Community cooking class: Learn how to make Italian dishes from...
The Local Animal Shelter Seeks Donations;The local animal shelter is seeking donations of pet food,...
Join Our Monthly Gardening Club This Saturday;Reminder for all gardening enthusiasts! Join our monthly gardening club...
Join Local Fantasy Football League;Does anyone want to join a fantasy football league? I'm...
Bring Your Favorite Dish to the Community Potluck this Sunday;Community Potluck! Bring your favorite dish and join us at...
Fitness Challenge Next Month;Fitness Challenge: We are starting a community fitness challenge next...
Opportunity to Volunteer!;Opportunity to Volunteer! Local food bank needs volunteers this weekend....
Book Club Alert: 'The Great Adventure';Book Club Alert: Our neighborhood book club is reading 'The...
Jazz Nights are back at the local cafe!;Jazz Nights are back at the local cafe! Come enjoy...
LOST DOG: A Golden Retriever Named Buddy Has Gone Missing...;Lost Dog: A golden retriever named Buddy has gone missing...
Tech Workshop: Learn the basics of computer programming at our...;Tech Workshop: Learn the basics of computer programming at our...
Yard Sale this Saturday! Multiple houses participating on Maple Street.;Yard Sale this Saturday! Multiple houses participating on Maple Street....
Join us for a photography walk next Sunday;Photography Club: Join us for a photography walk next Sunday....
Meet Us At The Community Center This Saturday Morning;Cycling Group: Interested in joining a weekend cycling group? Meet...
Iâ€™m Launching a Local Newsletter;I’m launching a local newsletter focused on community events, small...
Keep our community safe by joining the neighborhood watch;Neighborhood Watch Meeting: Keep our community safe by joining the...
Karaoke Night this Thursday!;Karaoke Night at the local bar this Thursday! Show off...
School Registration Open;Reminder: School registration is open. Please register your children for...
Create your own home decorations;DIY Workshop: Learn how to create your own home decorations...
ROAD CLOSURE ALERT: Main Street will be closed this weekend...;Road Closure Alert: Main Street will be closed this weekend...
Bring your kids to the community theater this weekend for...;Puppet Show for Kids: Bring your kids to the community...
Join us for a lecture on the history of our...;Historical Society Lecture: Join us for a lecture on the...
Get in shape with our morning fitness boot camp at...;Fitness Bootcamp: Get in shape with our morning fitness boot...
Garden Exchange: Swap plants and gardening tips with fellow garden...;Garden Exchange: Swap plants and gardening tips with fellow garden...
Volunteer at the Senior Center;Volunteer at the Senior Center: Spend time with our senior...
Organic Gardening Workshop;Our community garden is hosting a workshop on organic gardening...
Local artists will be showcasing their work at the downtown...;Art Exhibition: Local artists will be showcasing their work at...
Join Us for a Community Cleanup Day;Cleanup Day: Join us for a community cleanup day next...
Enjoy a Night of Laughs at the Comedy Club;Comedy Night: Enjoy a night of laughs at the comedy...
Free Health Screenings and Wellness Tips Available Next Weekend;Health Fair: Free health screenings and wellness tips available at...
Lost Phone Found Near Community Pool;Lost Phone: A recent model smartphone was found near the...
Get Your Flu Shot;Seasonal Flu Shots: Get your flu shot at the local...
Bake Sale Next Monday;Bake Sale: Support our high school band by buying some...
Help green our neighborhood by joining the tree planting event...;Tree Planting: Help green our neighborhood by joining the tree...
Brown Leather Wallet Found Near Outdoor Gym;A wallet was found near the outdoor gym in Central...
LOST CAT: Grey Tabby, Microchipped;Lost cat: My grey tabby, Misty, has been missing since...
Weekly Movie Night at My Place;Anyone interested in a weekly movie night at my place?...
The Annual Food Drive for the Local Pantry Starts Next...;The annual food drive for the local pantry starts next...
LOST: A Small Black Notebook Containing Important Research Notes;Lost: A small black notebook containing important research notes, last...
Our Community Garden Has Plots Available;Our community garden has a few plots available for the...
Found: Set of keys in Lincoln Park.;Found: Set of keys in Lincoln Park. Includes a keychain...
For Sale: Childrenâ€™s Bicycles in Good Condition;For sale: Children’s bicycles in good condition. Available in sizes...
Hunting Season Reminder: Please be aware of increased hunting activity;Hunting Season Reminder: Please be aware of increased hunting activity...
Join Us Every Saturday At 10 AM In The Town...;Community Yoga Meetup: Join us every Saturday at 10 AM...
Garage Sale: Multiple families on Maple Street are coming together...;Garage Sale: Multiple families on Maple Street are coming together...
Blue Parakeet Missing;Missing: Blue parakeet named 'Sky'. Last seen around North Plaza....
Babysitter Needed;Babysitter Needed: Seeking a reliable babysitter for Tuesday and Thursday...
Iâ€™m trying to find a home for a friendly stray...;I’m trying to find a home for a friendly stray...
