Posts;Subject Line A;Subject Line B
Have a green thumb? Help plant new trees at Liberty Park next Saturday. Tools and guidance provided.;Tools and Guidance Provided;Have a green thumb?
Clean Water Project meeting this Thursday at the community office. Come and learn how you can contribute to keeping our waters clean.;Clean Water Project Meeting;Clean Water Project this Thursday
Historic walking tour of Old Town every Saturday morning. Discover hidden gems with local experts.;Historic walking tour of Old Town every Saturday morning;Historic Walking Tour of Old Town
Join our monthly book club at the library this Tuesday. This monthâ€™s read is 'The Great Gatsby.';Join Our Monthly Book Club;The Great Gatsby
Run for a cause! Charity 5K run next Wednesday at City Plaza. Register now to support local charities.;Support local charities now;Run for a cause! Charity 5K run next Wednesday at...
Neighborhood cleanup day is around the corner! Meet at Pine Street this Sunday at 9 AM. Equipment and refreshments provided.;Refreshments Provided;Neighborhood Cleanup Day This Sunday
Chess enthusiasts! Weekly chess nights start this Thursday at the downtown cafe. All skill levels are welcome.;Chess Nights This Thursday;Weekly Chess Nights Start This Thursday
Get ready for the Kids Talent Show! It's going down at the community hall next month. Sign up your little stars now.;Get ready for the Kids Talent Show!;Get Ready for the Kids Talent Show!
Update your wardrobe at the Clothing Swap Event next Friday at the fitness center. Bring items you no longer need and find something new!;Bring items you no longer need;Update Your Wardrobe
Zumba party at Central Gym every Monday at 7 PM. A fun way to stay fit and meet neighbors.;Every Monday at 7 PM;Zumba party every Monday at 7 PM
Harvest Celebration at the Heritage Farm next Saturday. Enjoy local food, crafts, and music.;Harvest Celebration;Harvest Celebration next Saturday.
Learn about local bird species at our Bird Watching Club. First meeting this Sunday at the Nature Reserve.;Bird Watching Club - this Sunday;Learn about Local Bird Species
Film night under the stars at the community park this Friday. We're showing 'Back to the Future.' Free popcorn included!;Film night under the stars;Film Night Under the Stars This Friday
Join our cityâ€™s Citizen Assembly to discuss upcoming projects and city planning. Your voice matters!;Discuss upcoming projects and city planning;Your Voice Matters!
Volunteer with us at the local animal shelter this weekend. Help make a difference for animals in need.;Help make a difference for animals in need;Help Make a Difference for Animals in Need
Urgent: Our local library is at capacity with books waiting for readers! If you've been considering borrowing a book, now is a great time. There are many titles and authors waiting to be discovered. Library fees are waived this month.;Discover new titles;Urgent: Our local library is at capacity with books waiting...
