Posts;Subject Line A;Subject Line B
Get moving with music! Join us for a free outdoor concert this Friday at 7 PM and dance the night away.;This Friday at 7 PM;Get Moving with Music this Friday at 7 PM!
The local animal shelter is hosting a fundraiser bake sale this Saturday from 10am-2pm. Come out and support our furry friends!;Come out and support our furry friends!;The local animal shelter is hosting a fundraiser bake sale...
Join us for a free yoga class at the park next Wednesday at 7:30 PM. All levels welcome!;Free Yoga;Join us for a free yoga class at the park...
"Calling all book lovers! Our monthly book club will meet on Thursday to discuss ""The Nightingale"". Contact me for more info.";Calling all book lovers;The Nightingale
The community center is offering a series of cooking classes starting this month. Learn new recipes and cooking techniques with our expert instructors!;Expert Instructors for Cooking Classes;Learn New Recipes and Cooking Techniques
Get ready for the annual summer festival! We'll have live music, food trucks, and games for all ages. Mark your calendars for July 15th!;Get ready for the summer festival;Get Ready for the Annual Summer Festival
Our local museum is hosting an exhibit on the history of our town's founding families. Don't miss it - runs from June 1st to August 31st.;Exhibit on founding families;Don't Miss Our Town's History
Join us for a free yoga class on Thursdays at 6 PM in the park! All levels welcome - just bring your mat and a smile.;Join us for free yoga;Free Yoga Class in the Park!
Calling all bookworms! Our library is hosting an author reading series starting next Wednesday at 7:30 PM. Meet local authors, get signed copies of their books, and enjoy some great literature!;Meet Local Authors;Meet local authors, get signed copies of their books
Get ready for a night out with friends! The comedy club downtown is offering discounted tickets to our group on Friday nights.;Comedy club discounted tickets;Get Ready for a Night Out with Friends!
Attention all artists! Our community center is hosting an art supply drive next Saturday from 10 AM - 2 PM. Bring your gently used supplies or make a donation to support local creatives!;Support local creatives!;Attention All Artists!
Who's ready for some friendly competition? Join us for a game night at the recreation center on Friday evenings starting at 7:30 PM.;Friday evenings starting at 7:30 PM;Who's Ready for Some Friendly Competition?
The local museum is offering free admission to all students and teachers this month! Take advantage of this great opportunity to explore our town's rich history.;Free museum admission for students and teachers;The local museum is offering free admission to all students...
Join us for a community clean-up event next Saturday at the park. We'll provide gloves, trash bags, and refreshments - you bring your enthusiasm!;Bring your enthusiasm to the park;Join Us For Community Clean-Up Event Next Saturday
Our favorite local bakery is offering a special discount on all orders placed online today only! Use code COOKIES15 at checkout to receive 15% off.;Online orders only;COOKIES15 at Checkout
The town's annual summer concert series kicks off next week with performances by some of our region's best musicians. Bring a blanket, grab a picnic basket, and enjoy the show!;Bring a blanket and enjoy the show;Bring a blanket
Calling all book lovers! Our local library is hosting an author reading event this Friday at 6 PM. Meet the writer behind your favorite novel and get exclusive insights into their creative process.;Get exclusive insights into their creative process;Meet the writer behind your favorite novel
Looking for a unique gift idea? Consider gifting an experience, like tickets to a local show or a cooking class! #giftideas;Gift Tickets;Looking for a unique gift idea?
Did you know that our community has its own beekeeping club? Join us on June 22nd at the park for a honey harvest festival and learn more about these busy bees!;Our Community Has Its Own Beekeeping Club;Did You Know Our Community Has Its Own Beekeeping Club
Need help with your taxes this year? Our annual tax preparation workshop is happening March 10th from 1-4 PM at the library.;Need help with your taxes;Need Help With Your Taxes This Year?
Calling all bookworms! The local bookstore is hosting an author reading series starting April 12th, featuring best-selling authors and exclusive Q&A sessions.;Best-Selling Authors;Author Reading Series
Get ready for a summer of fun in the sun with our annual pool party on July 3rd from 2-6 PM!;Pool Party on July 3rd;Get Ready for a Summer of Fun in the Sun
The local library is hosting a book drive to benefit our community's literacy programs. Please donate gently used books of all genres during business hours.;Support literacy programs;The local library is hosting a book drive
Join us for a free yoga class on the town square this Saturday! All levels welcome, and no registration required.;Join us for yoga this Saturday;Join us for a free yoga class this Saturday!
"Our school district is seeking volunteers to help with their annual charity event, ""Walk-a-Thon."" Contact our office to learn more about how you can participate.";Walk-a-Thon;Walk-a-Thon
The community center is offering a painting class for adults next Wednesday evening. Sign up by Monday to reserve your spot!;Reserve your spot;The community center is offering a painting class for adults...
Help us support local farmers at the weekly farmer's market every Saturday! Fresh produce and artisanal goods available.;Support local farmers;Fresh produce and artisanal goods available.
